eventId,documentCode,gameScores,resultsGameScores
2603,TTEWSINGLES-----------R64-002900----------,"13-15,2-11,11-8,11-6,5-11,7-11,0-0","13-15,2-11,11-8,11-6,5-11,7-11"
2603,TTEWSINGLES-----------R64-003200----------,"2-11,4-11,5-11,2-11,0-0,0-0,0-0","2-11,4-11,5-11,2-11"
2603,TTEMSINGLES-----------R128005800----------,"11-5,11-6,11-5,11-3,0-0,0-0,0-0","11-5,11-6,11-5,11-3"
2603,TTEMSINGLES-----------R64-002500----------,"11-3,11-2,11-3,11-5,0-0,0-0,0-0","11-3,11-2,11-3,11-5"
2603,TTEMSINGLES-----------8FNL000600----------,"9-11,10-12,7-11,7-11,0-0,0-0,0-0","9-11,10-12,7-11,7-11"
2603,TTEMSINGLES-----------R32-000300----------,"11-5,13-11,11-3,11-2,0-0,0-0,0-0","11-5,13-11,11-3,11-2"
2603,TTEMSINGLES-----------8FNL000200----------,"8-11,6-11,12-10,12-10,11-9,11-3,0-0","8-11,6-11,12-10,12-10,11-9,11-3"
2603,TTEWSINGLES-----------R64-001900----------,"11-7,11-6,11-4,11-6,0-0,0-0,0-0","11-7,11-6,11-4,11-6"
2603,TTEMSINGLES-----------R32-000900----------,"11-4,11-7,11-8,4-11,13-15,11-8,0-0","11-4,11-7,11-8,4-11,13-15,11-8"
2603,TTEWSINGLES-----------R64-000100----------,"11-3,11-6,11-6,11-5,0-0,0-0,0-0","11-3,11-6,11-6,11-5"
2603,TTEWSINGLES-----------R64-001200----------,"7-11,9-11,7-11,8-11,0-0,0-0,0-0","7-11,9-11,7-11,8-11"
2603,TTEMSINGLES-----------FNL-000200----------,"6-11,10-12,7-11,6-11,0-0,0-0,0-0","6-11,10-12,7-11,6-11"
2603,TTEMSINGLES-----------R64-003000----------,"11-6,11-8,11-8,11-4,0-0,0-0,0-0","11-6,11-8,11-8,11-4"
2603,TTEWSINGLES-----------R64-000500----------,"7-11,6-11,11-13,9-11,0-0,0-0,0-0","7-11,6-11,11-13,9-11"
2603,TTEWSINGLES-----------QFNL000100----------,"11-7,11-4,19-17,11-5,0-0,0-0,0-0","11-7,11-4,19-17,11-5"
2603,TTEMSINGLES-----------R128003400----------,"11-7,11-9,11-5,11-5,0-0,0-0,0-0","11-7,11-9,11-5,11-5"
2603,TTEWSINGLES-----------FNL-000200----------,"9-11,13-11,12-10,11-7,10-12,11-7,0-0","9-11,13-11,12-10,11-7,10-12,11-7"
2603,TTEMSINGLES-----------8FNL000700----------,"8-11,12-10,11-5,11-8,11-6,0-0,0-0","8-11,12-10,11-5,11-8,11-6"
2603,TTEWSINGLES-----------R64-001500----------,"11-5,11-4,11-6,9-11,11-8,0-0,0-0","11-5,11-4,11-6,9-11,11-8"
2603,TTEWSINGLES-----------8FNL000700----------,"10-12,4-11,11-13,9-11,0-0,0-0,0-0","10-12,4-11,11-13,9-11"
2603,TTEMSINGLES-----------R64-001200----------,"3-11,6-11,7-11,11-13,0-0,0-0,0-0","3-11,6-11,7-11,11-13"
2603,TTEWSINGLES-----------R32-001400----------,"12-10,9-11,7-11,3-11,14-12,7-11,0-0","12-10,9-11,7-11,3-11,14-12,7-11"
2603,TTEMSINGLES-----------8FNL000100----------,"14-16,13-11,11-8,12-10,11-6,0-0,0-0","14-16,13-11,11-8,12-10,11-6"
2603,TTEMSINGLES-----------R64-002700----------,"8-11,7-11,14-16,8-11,0-0,0-0,0-0","8-11,7-11,14-16,8-11"
2603,TTEWSINGLES-----------R64-000800----------,"10-12,5-11,1-11,12-14,0-0,0-0,0-0","10-12,5-11,1-11,12-14"
2603,TTEWSINGLES-----------R64-002200----------,"8-11,10-12,9-11,11-9,5-11,0-0,0-0","8-11,10-12,9-11,11-9,5-11"
2603,TTEMSINGLES-----------R64-001400----------,"3-11,7-11,5-11,10-12,0-0,0-0,0-0","3-11,7-11,5-11,10-12"
2603,TTEWSINGLES-----------R64-002700----------,"11-7,11-9,5-11,7-11,11-8,11-5,0-0","11-7,11-9,5-11,7-11,11-8,11-5"
2603,TTEMSINGLES-----------R64-000800----------,"11-2,3-11,2-11,6-11,10-12,0-0,0-0","11-2,3-11,2-11,6-11,10-12"
2603,TTEWSINGLES-----------R64-001700----------,"14-12,11-4,11-3,11-6,0-0,0-0,0-0","14-12,11-4,11-3,11-6"
2603,TTEWSINGLES-----------R64-001100----------,"8-11,7-11,12-10,7-11,4-11,0-0,0-0","8-11,7-11,12-10,7-11,4-11"
2603,TTEMSINGLES-----------R32-000500----------,"10-12,11-3,11-8,11-3,11-9,0-0,0-0","10-12,11-3,11-8,11-3,11-9"
2603,TTEWSINGLES-----------R128003800----------,"11-4,12-14,5-11,3-11,8-11,0-0,0-0","11-4,12-14,5-11,3-11,8-11"
