eventId,documentCode,resultsGameScores,gameScores,overallScores,resultOverallScores,dnf
2627,TTEWSINGLES-----------8FNL000700----------,"11-9,9-11,11-7,11-5,0-0","11-9,9-11,11-8,11-5,0-0",3-1,3-1,
2487,TTEWSINGLES-----------8FNL000600----------,"11-9,11-6,13-11,0-0,0-0","11-9,11-8,13-11,0-0,0-0",3-0,3-0,
3175,TTEMSINGLES-----------QFNL000300----------,"11-6,13-11,0-0,0-0,0-0","11-6,13-11,11-4,0-0,0-0",3-0,2-0,
2521,TTEMSINGLES-----------R64-002100----------,"11-13,11-6,7-11,11-3,11-7,11-7,11-7","11-13,11-13,7-11,11-3,11-7,11-7,11-7",4-3,5-2,
2479,TTEMSINGLES-----------R64-001400----------,"8-11,11-7,11-5,11-9,0-0","11-8,7-11,5-11,11-9,0-11",3-1,3-1,
2479,TTEWSINGLES-----------R64-002300----------,"11-9,11-5,11-9,0-0,0-0","11-9,5-11,11-0,11-0,0-0",3-0,3-0,
2704,TTEMSINGLES-----------GP07000300----------,"11-6,11-3,10-11,9-11,11-5","11-6,11-3,9-11,9-11,11-5",3-2,3-2,
2704,TTEWSINGLES-----------R64-000900----------,"10-0,9-11,11-9,8-11,7-11","11-8,9-11,11-9,8-11,7-11",2-3,2-3,
2704,TTEWSINGLES-----------8FNL000100----------,"10-6,11-6,11-3,0-0,0-0","11-6,11-6,11-3,0-0,0-0",3-0,3-0,
2704,TTEWSINGLES-----------8FNL000200----------,"11-4,7-11,9-1,11-6,0-0","11-4,7-11,11-1,11-6,0-0",3-1,3-1,
2704,TTEWSINGLES-----------R64-001000----------,"12-14,11-8,11-8,7-11,11-6","12-14,11-8,11-8,8-11,11-6",3-2,3-2,
2704,TTEWSINGLES-----------R64-000300----------,"7-11,13-11,11-6,3-11,8-11","7-11,13-11,11-9,3-11,8-11",2-3,2-3,
2670,TTEWSINGLES-----------SFNL000200----------,"6-11,0-11,1-11,8-11,0-0,0-0,0-0","6-11,1-11,1-11,8-11,0-0,0-0,0-0",0-4,0-4,
2670,TTEWSINGLES-----------SFNL000100----------,"11-2,11-3,11-0,11-0,0-0,0-0,0-0","11-2,11-3,11-3,11-0,0-0,0-0,0-0",4-0,4-0,
2670,TTEMSINGLES-----------34--000100----------,"11-9,11-8,11-4,11-9,0-0,0-0,0-0","11-9,11-8,11-7,11-9,0-0,0-0,0-0",4-0,4-0,
2693,TTEMSINGLES-----------RND1000300----------,"13-15,8-11,4-11,0-0,0-0","13-15,8-11,6-11,0-0,0-0",0-3,0-3,
2502,TTEMSINGLES-----------RND2001000----------,"9-9,6-11,8-11,0-0,0-0","9-11,6-11,8-11,0-0,0-0",0-3,0-2,
2699,TTEWSINGLES-----------8FNL000700----------,"11-6,3-11,12-10,11-8,0-0","11-6,4-11,12-10,11-8,0-0",3-1,3-1,
2697,TTEWSINGLES-----------RND1003100----------,"11-8,11-6,11-6,0-0,0-0","11-9,11-6,11-6,0-0,0-0",3-0,3-0,
2697,TTEWSINGLES-----------8FNL000800----------,"11-9,11-7,7-11,8-11,7-10","11-9,11-7,7-11,8-11,7-11",2-3,2-3,
2480,TTEMSINGLES-----------R32-001200----------,"11-13,11-9,10-12,8-11,11-8,9-11,0-0","13-11,11-9,10-12,8-11,11-8,11-2,0-0",2-4,2-4,
2489,TTEMSINGLES-----------8FNL000300----------,"10-12,11-6,9-6,11-4,0-0","10-12,11-6,11-6,11-4,0-0",3-1,3-1,
