EventName,EventType,Country,City,eventId,Completed,StartDate,EndDate,TableSponsor,BallSponsor
WTT Contender Doha 2021,WTT Contender,Qatar,Doha,2410,True,2021-02-28,2021-03-06,Double Fish,DHS
WTT Star Contender Doha 2021 (Mar 2021),WTT Star Contender,Qatar,Doha,2411,True,2021-03-05,2021-03-13,Double Fish,DHS
Tokyo 2020 Olympic Games,Olympic Games,Japan,Tokyo ,2345,True,2021-07-23,2021-08-08,San-Ei,DHS
WTT Contender Budapest 2021,WTT Contender,Hungary,Budapest,2487,True,2021-08-15,2021-08-20,Joola,DHS
2021 ITTF Czech International Open,ITTF International Open,Czechia,Olomouc,2480,True,2021-08-21,2021-08-25,Joola,DHS
2021 ITTF African Championships,Continental Championships,Cameroon,Yaoundé,2473,True,2021-09-01,2021-09-07,Butterfly,Butterfly
2021 ITTF Kazakhstan International Open,Other Events and Multi Sport Games,Kazakhstan,Karaganda,2484,True,2021-09-15,2021-09-19,Butterfly,DHS
WTT Star Contender Doha 2021 (Sep 2021),WTT Star Contender,Qatar,Doha,2489,True,2021-09-20,2021-09-25,Double Fish,DHS
WTT Contender Tunis 2021,WTT Contender,Tunisia,Tunis,2502,True,2021-10-24,2021-10-30,Tibhar,DHS
WTT Contender Laško 2021 presented by I Feel Slovenia,WTT Contender,Slovenia,Laško,2503,True,2021-11-01,2021-11-07,Tibhar,DHS
2021 ITTF Ecuador International Open,ITTF International Open,Ecuador,Cuenca,2510,True,2021-11-02,2021-11-06,Stag,DHS
WTT Contender Novo Mesto 2021 presented by I Feel Slovenia,WTT Contender,Slovenia,Laško,2504,True,2021-11-08,2021-11-14,Tibhar,DHS
2021 ITTF Pan American Championships,Continental,Peru,Lima,2234,True,2021-11-13,2021-11-19,Donic,
2021 World Table Tennis Championships Finals,World Championship,USA,Houston,2346,True,2021-11-23,2021-11-29,DHS,Butterfly
2021 ITTF Finlandia International Open,Other Events and Multi Sport Games,Finland,Lohja,2479,True,2021-12-02,2021-12-05,Stiga,
WTT Cup Finals Singapore,WTT Finals,Singapore,Singapore,2516,True,2021-12-04,2021-12-07,DHS,Double Fish
WTT Feeder Düsseldorf,WTT Feeder,Germany,Düsseldorf,2519,True,2021-12-07,2021-12-10,Butterfly,
WTT Feeder Düsseldorf I,WTT Feeder,Germany,Düsseldorf,2521,True,2022-01-12,2022-01-15,Butterfly,DHS
WTT Feeder Düsseldorf II,WTT Feeder,Germany,Düsseldorf,2522,True,2022-01-17,2022-01-20,Butterfly,DHS
WTT Macao,WTT Exhibition,"Macao, China",,2537,True,2022-01-19,2022-01-23,DHS,
WTT Contender Muscat 2022 (Feb 2022),WTT Contender,Oman,Muscat,2531,True,2022-02-27,2022-03-05,Stag,DHS
Singapore Smash 2022,WTT Grand Smash,Singapore,Singapore,2536,True,2022-03-07,2022-03-20,DHS,Double Fish
WTT Feeder Doha 2022,WTT Feeder,Qatar,Doha,2534,True,2022-03-13,2022-03-17,Stag,DHS
WTT Contender Doha 2022,WTT Contender,Qatar,Doha,2532,True,2022-03-18,2022-03-24,Double Fish,DHS
WTT Star Contender Doha 2022,WTT Star Contender,Qatar,Doha,2533,True,2022-03-25,2022-03-31,Double Fish,DHS
WTT Feeder Fremont 2022,WTT Feeder,USA,Fremont,2569,True,2022-05-05,2022-05-08,Butterfly,Double Fish
WTT Feeder Westchester 2022,WTT Feeder,USA,Pleasantville,2570,True,2022-05-11,2022-05-15,DHS,Double Fish
ITTF Africa Cup (May 2022),Continental Cups,Nigeria,Lagos,2576,True,2022-05-26,2022-05-28,Butterfly,
WTT Contender Zagreb 2022,WTT Contender,Croatia,Zagreb,2539,True,2022-06-13,2022-06-19,Tibhar,DHS
WTT Contender Lima 2022,WTT Contender,Peru,Lima,2574,True,2022-06-14,2022-06-19,Donic,DHS
WTT Feeder Otocec 2022 Presented by I Feel Slovenia,WTT Feeder,Slovenia,Otocec,2540,True,2022-06-20,2022-06-26,Tibhar,Double Fish
WTT Star Contender European Summer Series 2022,WTT Star Contender,Hungary,Budapest,2591,True,2022-07-11,2022-07-17,DHS,
WTT Champions European Summer Series 2022,WTT Champions,Hungary,Budapest,2593,True,2022-07-18,2022-07-23,DHS,Double Fish
WTT Feeder European Summer Series 2022,WTT Feeder,Hungary,Budapest,2592,True,2022-07-18,2022-07-22,DHS,Double Fish
WTT Contender Tunis 2022,WTT Contender,Tunisia,Tunis,2568,True,2022-08-01,2022-08-06,Tibhar,DHS
