EventName,EventType,Country,City,ContinentCode,eventId,EventStatus,StartDate,EndDate,BallSponsor,TableSponsor
WTT Contender Doha 2021,WTT Contender,Qatar,Doha,asia,2410,Completed,2021-02-28,2021-03-06,DHS,Double Fish
WTT Star Contender Doha 2021 (Mar 2021),WTT Star Contender,Qatar,Doha,asia,2411,Completed,2021-03-05,2021-03-13,DHS,Double Fish
Tokyo 2020 Olympic Games,Olympic Games,Japan,Tokyo ,asia,2345,Completed,2021-07-23,2021-08-08,DHS,San-Ei
WTT Contender Budapest 2021,WTT Contender,Hungary,Budapest,europe,2487,Completed,2021-08-15,2021-08-20,DHS,Joola
2021 ITTF Czech International Open,ITTF International Open,Czechia,Olomouc,europe,2480,Completed,2021-08-21,2021-08-25,DHS,Joola
2021 ITTF African Championships,Continental Championships,Cameroon,Yaoundé,africa,2473,Completed,2021-09-01,2021-09-07,Butterfly,Butterfly
2021 ITTF Kazakhstan International Open,Other Events and Multi Sport Games,Kazakhstan,Karaganda,asia,2484,Completed,2021-09-15,2021-09-19,DHS,Butterfly
WTT Star Contender Doha 2021 (Sep 2021),WTT Star Contender,Qatar,Doha,asia,2489,Completed,2021-09-20,2021-09-25,DHS,Double Fish
WTT Contender Tunis 2021,WTT Contender,Tunisia,Tunis,africa,2502,Completed,2021-10-24,2021-10-30,DHS,Tibhar
WTT Contender Laško 2021 presented by I Feel Slovenia,WTT Contender,Slovenia,Laško,europe,2503,Completed,2021-11-01,2021-11-07,DHS,Tibhar
2021 ITTF Ecuador International Open,ITTF International Open,Ecuador,Cuenca,americas,2510,Completed,2021-11-02,2021-11-06,DHS,Stag
WTT Contender Novo Mesto 2021 presented by I Feel Slovenia,WTT Contender,Slovenia,Laško,europe,2504,Completed,2021-11-08,2021-11-14,DHS,Tibhar
2021 ITTF Pan American Championships,Continental,Peru,Lima,americas,2234,Completed,2021-11-13,2021-11-19,,Donic
2021 World Table Tennis Championships Finals,World Championship,USA,Houston,americas,2346,Completed,2021-11-23,2021-11-29,Butterfly,DHS
2021 ITTF Finlandia International Open,Other Events and Multi Sport Games,Finland,Lohja,europe,2479,Completed,2021-12-02,2021-12-05,,Stiga
WTT Cup Finals Singapore,WTT Finals,Singapore,Singapore,asia,2516,Completed,2021-12-04,2021-12-07,Double Fish,DHS
WTT Feeder Düsseldorf,WTT Feeder,Germany,Düsseldorf,europe,2519,Completed,2021-12-07,2021-12-10,,Butterfly
WTT Feeder Düsseldorf I,WTT Feeder,Germany,Düsseldorf,europe,2521,Completed,2022-01-12,2022-01-15,DHS,Butterfly
WTT Feeder Düsseldorf II,WTT Feeder,Germany,Düsseldorf,europe,2522,Completed,2022-01-17,2022-01-20,DHS,Butterfly
WTT Macao,WTT Exhibition,"Macao, China",,asia,2537,Completed,2022-01-19,2022-01-23,,DHS
WTT Contender Muscat 2022 (Feb 2022),WTT Contender,Oman,Muscat,asia,2531,Completed,2022-02-27,2022-03-05,DHS,Stag
Singapore Smash 2022,WTT Grand Smash,Singapore,Singapore,asia,2536,Completed,2022-03-07,2022-03-20,Double Fish,DHS
WTT Feeder Doha 2022,WTT Feeder,Qatar,Doha,asia,2534,Completed,2022-03-13,2022-03-17,DHS,Stag
WTT Contender Doha 2022,WTT Contender,Qatar,Doha,asia,2532,Completed,2022-03-18,2022-03-24,DHS,Double Fish
WTT Star Contender Doha 2022,WTT Star Contender,Qatar,Doha,asia,2533,Completed,2022-03-25,2022-03-31,DHS,Double Fish
WTT Feeder Fremont 2022,WTT Feeder,USA,Fremont,americas,2569,Completed,2022-05-05,2022-05-08,Double Fish,Butterfly
WTT Feeder Westchester 2022,WTT Feeder,USA,Pleasantville,americas,2570,Completed,2022-05-11,2022-05-15,Double Fish,DHS
ITTF Africa Cup (May 2022),Continental Cups,Nigeria,Lagos,africa,2576,Completed,2022-05-26,2022-05-28,,Butterfly
WTT Contender Zagreb 2022,WTT Contender,Croatia,Zagreb,europe,2539,Completed,2022-06-13,2022-06-19,DHS,Tibhar
WTT Contender Lima 2022,WTT Contender,Peru,Lima,americas,2574,Completed,2022-06-14,2022-06-19,DHS,Donic
WTT Feeder Otocec 2022 Presented by I Feel Slovenia,WTT Feeder,Slovenia,Otocec,europe,2540,Completed,2022-06-20,2022-06-26,Double Fish,Tibhar
WTT Star Contender European Summer Series 2022,WTT Star Contender,Hungary,Budapest,europe,2591,Completed,2022-07-11,2022-07-17,,DHS
WTT Feeder European Summer Series 2022,WTT Feeder,Hungary,Budapest,europe,2592,Completed,2022-07-18,2022-07-22,Double Fish,DHS
WTT Champions European Summer Series 2022,WTT Champions,Hungary,Budapest,europe,2593,Completed,2022-07-18,2022-07-23,Double Fish,DHS
WTT Contender Tunis 2022,WTT Contender,Tunisia,Tunis,africa,2568,Completed,2022-08-01,2022-08-06,DHS,Tibhar
WTT Feeder Olomouc 2022,WTT Feeder,Czechia,Olomouc,europe,2541,Completed,2022-08-23,2022-08-28,Double Fish,Joola
WTT Feeder Panagyurishte Presented by Asarel,WTT Feeder,Bulgaria,Panagyurishte,europe,2542,Completed,2022-08-30,2022-09-04,Double Fish,DHS
2022 ITTF-Africa Senior Championships,Continental Championships,Algeria,,africa,2609,Completed,2022-09-03,2022-09-09,,Joola
ITTF-Oceania Senior Championships,Continental Championships,Australia,Melbourne,oceania,2615,Completed,2022-09-05,2022-09-10,,DHS
WTT Contender Muscat 2022 (Sep 2022),WTT Contender,Oman,Muscat,asia,2605,Completed,2022-09-05,2022-09-10,DHS,Stag
WTT Contender Almaty 2022,WTT Contender,Kazakhstan,Almaty,asia,2606,Completed,2022-09-13,2022-09-18,DHS,Butterfly
2022 ITTF World Team Championships Finals Presented by China Telecom,World Championship,China,Chengdu,asia,2535,Completed,2022-09-30,2022-10-09,Double Fish,DHS
WTT Champions Macao 2022 Presented by Galaxy Entertainment Group,WTT Champions,"Macao, China",Macao,asia,2619,Completed,2022-10-19,2022-10-23,Double Fish,DHS
WTT Cup Finals Xinxiang 2022 Presented by China Construction Bank,WTT Finals,China,Xinxiang,asia,2627,Completed,2022-10-27,2022-10-30,DHS,Double Fish
2022 ITTF Pan American Championships,Continental Championships,Chile,Santiago,americas,2611,Completed,2022-10-31,2022-11-06,,San-Ei
WTT Contender Nova Gorica 2022 Presented by I Feel Slovenia,WTT Contender,Slovenia,Nova Gorica,europe,2589,Completed,2022-10-31,2022-11-06,DHS,Tibhar
WTT Feeder Düsseldorf III 2022,WTT Feeder,Germany,Düsseldorf,europe,2658,Completed,2022-11-22,2022-11-25,,Donic
WTT Feeder Fort Lauderdale 2022,WTT Feeder,USA,Fort Lauderdale,americas,2630,Completed,2022-12-11,2022-12-14,Double Fish,Butterfly
2022 Pacific Cup,Continental Cups,Papua New Guinea,Port Moresby,oceania,2707,Completed,2022-12-17,2022-12-18,,DHS
2022 ITTF-Oceania Cup,Continental Cups,Papua New Guinea,Port Moresby,oceania,2670,Completed,2022-12-17,2022-12-18,,DHS
WTT Contender Durban 2023,WTT Contender,South Africa,Durban,africa,2699,Completed,2023-01-10,2023-01-15,DHS,Stag
WTT Contender Doha 2023,WTT Contender,Qatar,Doha,asia,2698,Completed,2023-01-15,2023-01-21,DHS,Stag
WTT Feeder Doha 2023,WTT Feeder,Qatar,Doha,asia,2701,Completed,2023-01-22,2023-01-26,Double Fish,Stag
WTT Feeder Amman 2023,WTT Feeder,Jordan,Amman,asia,2700,Completed,2023-02-01,2023-02-04,Double Fish,Stag
WTT Contender Amman 2023,WTT Contender,Jordan,Amman,asia,2697,Completed,2023-02-06,2023-02-12,DHS,Stag
