playerId,PlayerName,PlayerFamilyName,PlayerGivenName,PlayerFamilyNameFirst,Gender,Age,DOB,CountryName,CountryCode,NationalityName,NationalityCode,OrganizationName,OrganizationCode,Style,Grip,Hand,HeadShot,flagUrl
90051,Francisco LOPEZ,LOPEZ,Francisco,LOPEZ Francisco,M,63.0,09/19/1962 00:00:00,Venezuela,VEN,Venezuela,VEN,VENEZUELA,VEN,Attacker,Shakehand,Right,./imgs/men_headshot_default.svg,https://flagcdn.com/ve.svg
100001,Amalraj ANTHONY,ANTHONY,Amalraj,ANTHONY Amalraj,M,39.0,01/24/1986 00:00:00,India,IND,India,IND,INDIA,IND,Attacker,Shakehand,Right,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/100001_Headshot_R_AMALRAJ_Anthony.png,https://flagcdn.com/in.svg
100032,Farah ABDELAZIZ,ABDELAZIZ,Farah,ABDELAZIZ Farah,F,33.0,09/01/1992 00:00:00,Egypt,EGY,Egypt,EGY,EGYPT,EGY,Attacker,Shakehand,Right,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/100032_Headshot_R_ABDEL_AZIZ_Farah.png,https://flagcdn.com/eg.svg
100079,Bode ABIODUN,ABIODUN,Bode,ABIODUN Bode,M,45.0,09/10/1980 00:00:00,Nigeria,NGR,Nigeria,NGR,NIGERIA,NGR,Attacker,Shakehand,Right,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/100079_Headshot_R_ABIODUN_Bode.png,https://flagcdn.com/ng.svg
100089,Luke ABRAHAMS,ABRAHAMS,Luke,ABRAHAMS Luke,M,37.0,07/04/1988 00:00:00,South Africa,RSA,South Africa,RSA,SOUTH AFRICA,RSA,Attacker,Shakehand,Right,./imgs/men_headshot_default.svg,https://flagcdn.com/za.svg
100154,Mawussi AGBETOGLO,AGBETOGLO,Mawussi,AGBETOGLO Mawussi,M,31.0,12/24/1993 00:00:00,Togo,TOG,Togo,TOG,TOGO,TOG,Attacker,Shakehand,Right,./imgs/men_headshot_default.svg,https://flagcdn.com/tg.svg
100189,Ahmed ALAWLAQI,ALAWLAQI,Ahmed,ALAWLAQI Ahmed,M,34.0,01/23/1991 00:00:00,Qatar,QAT,Qatar,QAT,QATAR,QAT,Attacker,Shakehand,Right,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/100189_Headshot_R_ALAWLAQI_Ahmed.png,https://flagcdn.com/qa.svg
100190,Faisal AHMAD,AHMAD,Faisal,AHMAD Faisal,M,40.0,04/24/1985 00:00:00,United Arab Emirates,UAE,United Arab Emirates,UAE,UNITED ARAB EMIRATES,UAE,Attacker,Shakehand,Right,./imgs/men_headshot_default.svg,https://flagcdn.com/ae.svg
100196,Moosa AHMED,AHMED,Moosa,AHMED Moosa,M,38.0,07/10/1987 00:00:00,Maldives,MDV,Maldives,MDV,MALDIVES,MDV,Attacker,Shakehand,Left,./imgs/men_headshot_default.svg,https://flagcdn.com/mv.svg
100218,Mohammadreza AKHLAGHPASAND,AKHLAGHPASAND,Mohammadreza,AKHLAGHPASAND Mohammadreza,M,46.0,12/12/1978 00:00:00,USA,USA,USA,USA,USA,USA,Attacker,Shakehand,Left,./imgs/men_headshot_default.svg,https://flagcdn.com/us.svg
100302,Naif AL-JADAI,AL-JADAI,Naif,AL-JADAI Naif,M,40.0,11/14/1984 00:00:00,Saudi Arabia,KSA,Saudi Arabia,KSA,SAUDI ARABIA,KSA,Attacker,Shakehand,Right,./imgs/men_headshot_default.svg,https://flagcdn.com/sa.svg
100329,Fahed ALMUGHANNE,ALMUGHANNE,Fahed,ALMUGHANNE Fahed,M,32.0,04/15/1993 00:00:00,Qatar,QAT,Qatar,QAT,QATAR,QAT,Attacker,Shakehand,Right,./imgs/men_headshot_default.svg,https://flagcdn.com/qa.svg
100439,Ahmed SALEH,SALEH,Ahmed,SALEH Ahmed,M,45.0,11/14/1979 00:00:00,Egypt,EGY,Egypt,EGY,EGYPT,EGY,Attacker,Shakehand,Right,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/100439_Headshot_R_SALEH_Ahmed.png,https://flagcdn.com/eg.svg
100445,Azzam ALIM,ALIM,Azzam,ALIM Azzam,M,33.0,01/29/1992 00:00:00,Saudi Arabia,KSA,Saudi Arabia,KSA,SAUDI ARABIA,KSA,Attacker,Shakehand,Right,./imgs/men_headshot_default.svg,https://flagcdn.com/sa.svg
100486,Gaston ALTO,ALTO,Gaston,ALTO Gaston,M,40.0,07/06/1985 00:00:00,Argentina,ARG,Argentina,ARG,ARGENTINA,ARG,Attacker,Shakehand,Right,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/100486_Headshot_R_ALTO_Gaston.png,https://flagcdn.com/ar.svg
100534,Jimoh AMUSA,AMUSA,Jimoh,AMUSA Jimoh,M,45.0,01/04/1980 00:00:00,Benin,BEN,Benin,BEN,BENIN,BEN,,,,./imgs/men_headshot_default.svg,https://flagcdn.com/bj.svg
100621,Tiago APOLONIA,APOLONIA,Tiago,APOLONIA Tiago,M,39.0,07/28/1986 00:00:00,Portugal,POR,Portugal,POR,PORTUGAL,POR,Attacker,Shakehand,Right,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/100621_Headshot_R_APOLONIA_Tiago.png,https://flagcdn.com/pt.svg
100642,Angie ARAYA,ARAYA,Angie,ARAYA Angie,F,34.0,03/20/1991 00:00:00,Costa Rica,CRC,Costa Rica,CRC,COSTA RICA,CRC,Attacker,Shakehand,Right,./imgs/women_headshot_default.svg,https://flagcdn.com/cr.svg
100696,Omar ASSAR,ASSAR,Omar,ASSAR Omar,M,34.0,07/22/1991 00:00:00,Egypt,EGY,Egypt,EGY,EGYPT,EGY,Attacker,Shakehand,Right,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/100696_HEADSHOT_R_Omar_ASSAR.png,https://flagcdn.com/eg.svg
100817,Andrew BAGGALEY,BAGGALEY,Andrew,BAGGALEY Andrew,M,42.0,02/26/1983 00:00:00,England,ENG,England,ENG,ENGLAND,ENG,Attacker,Shakehand,Right,./imgs/men_headshot_default.svg,https://flagcdn.com/gb-eng.svg
100868,Barbora VARADY,VARADY,Barbora,VARADY Barbora,F,33.0,03/18/1992 00:00:00,Slovak Republic,SVK,Slovak Republic,SVK,SLOVAK REPUBLIC,SVK,Attacker,Shakehand,Left,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/100868_Headshot_R_BALAZOVA_Barbora.png,https://flagcdn.com/sk.svg
101000,Michelle BROMLEY,BROMLEY,Michelle,BROMLEY Michelle,F,37.0,12/24/1987 00:00:00,Australia,AUS,Australia,AUS,AUSTRALIA,AUS,Attacker,Shakehand,Right,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/101000_Headshot_R_BROMLEY_Michelle.png,https://flagcdn.com/au.svg
101031,Aissa BELKADI,BELKADI,Aissa,BELKADI Aissa,M,36.0,08/19/1989 00:00:00,Algeria,ALG,Algeria,ALG,ALGERIA,ALG,Attacker,Shakehand,Right,./imgs/men_headshot_default.svg,https://flagcdn.com/dz.svg
101040,Ocean BELROSE,BELROSE,Ocean,BELROSE Ocean,M,32.0,08/05/1993 00:00:00,Tahiti,PYF,Tahiti,PYF,TAHITI,PYF,Attacker,Shakehand,Right,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/101040_HEADSHOT_R_BELROSE_Ocean.png,https://flagcdn.com/pyf.svg
101168,Bryan BLAS,BLAS,Bryan,BLAS Bryan,M,36.0,05/23/1989 00:00:00,Peru,PER,Peru,PER,PERU,PER,Attacker,Shakehand,Right,./imgs/men_headshot_default.svg,https://flagcdn.com/pe.svg
101192,Mihai BOBOCICA,BOBOCICA,Mihai,BOBOCICA Mihai,M,39.0,09/08/1986 00:00:00,Italy,ITA,Italy,ITA,ITALY,ITA,Attacker,Shakehand,Right,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/101192_Headshot_R_BOBOCICA_Mihai.png,https://flagcdn.com/it.svg
101222,Timo BOLL,BOLL,Timo,BOLL Timo,M,44.0,03/08/1981 00:00:00,Germany,GER,Germany,GER,GERMANY,GER,Attacker,Shakehand,Left,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/101222_Headshot_R_BOLL_Timo.png,https://flagcdn.com/de.svg
101247,Jerusa BORGES,BORGES,Jerusa,BORGES Jerusa,F,37.0,08/23/1988 00:00:00,Angola,ANG,Angola,ANG,ANGOLA,ANG,,,,./imgs/women_headshot_default.svg,https://flagcdn.com/ao.svg
101276,Sofiene BOUDJADJA,BOUDJADJA,Sofiene,BOUDJADJA Sofiene,M,42.0,11/08/1983 00:00:00,Algeria,ALG,Algeria,ALG,ALGERIA,ALG,Attacker,Penhold,Right,./imgs/men_headshot_default.svg,https://flagcdn.com/dz.svg
101480,Jesus CANTERO,CANTERO,Jesus,CANTERO Jesus,M,43.0,03/09/1982 00:00:00,Spain,ESP,Spain,ESP,SPAIN,ESP,Attacker,Penhold,Right,./imgs/men_headshot_default.svg,https://flagcdn.com/es.svg
101514,Diogo CARVALHO,CARVALHO,Diogo,CARVALHO Diogo,M,33.0,10/10/1992 00:00:00,Portugal,POR,Portugal,POR,PORTUGAL,POR,Attacker,Shakehand,Right,./imgs/men_headshot_default.svg,https://flagcdn.com/pt.svg
101545,Alexandru CAZACU,CAZACU,Alexandru,CAZACU Alexandru,M,37.0,10/06/1988 00:00:00,Romania,ROU,Romania,ROU,ROMANIA,ROU,Attacker,Shakehand,Right,./imgs/men_headshot_default.svg,https://flagcdn.com/ro.svg
101648,CHEN Chien-An,CHEN,Chien-An,CHEN Chien-An,M,34.0,06/16/1991 00:00:00,Chinese Taipei,TPE,Chinese Taipei,TPE,CHINESE TAIPEI,TPE,Attacker,Shakehand,Left,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/101648_Headshot_R_CHEN_Chien_An.png,https://flagcdn.com/tw.svg
101820,CHUANG Chih-Yuan,CHUANG,Chih-Yuan,CHUANG Chih-Yuan,M,44.0,04/02/1981 00:00:00,Chinese Taipei,TPE,Chinese Taipei,TPE,CHINESE TAIPEI,TPE,Attacker,Shakehand,Right,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/101820_Headshot_R_CHUANG Chih-Yuan.png,https://flagcdn.com/tw.svg
101836,Rheann CHUNG,CHUNG,Rheann,CHUNG Rheann,F,40.0,03/27/1985 00:00:00,Trinidad and Tobago,TTO,Trinidad and Tobago,TTO,TRINIDAD AND TOBAGO,TTO,Attacker,Shakehand,Right,./imgs/women_headshot_default.svg,https://flagcdn.com/tt.svg
