playerId,TotalWins (Overall),TotalLosses (Overall),TotalMatches (Overall),WinRate (Overall)
143600,1,0,1,100.0
131472,1,0,1,100.0
135288,1,0,1,100.0
200382,1,0,1,100.0
137427,1,0,1,100.0
145484,1,0,1,100.0
111964,1,0,1,100.0
131791,1,0,1,100.0
131163,167,16,183,91.26
121558,141,22,163,86.5
114947,12,2,14,85.71
121404,79,14,93,84.95
210318,5,1,6,83.33
144877,5,1,6,83.33
133000,65,13,78,83.33
137458,5,1,6,83.33
119529,48,10,58,82.76
121411,126,27,153,82.35
115439,28,6,34,82.35
145264,9,2,11,81.82
112019,81,19,100,81.0
105472,8,2,10,80.0
116846,8,2,10,80.0
133251,8,2,10,80.0
136808,8,2,10,80.0
135086,4,1,5,80.0
144870,4,1,5,80.0
206221,4,1,5,80.0
122387,4,1,5,80.0
146262,4,1,5,80.0
123560,4,1,5,80.0
134240,4,1,5,80.0
137073,4,1,5,80.0
120233,4,1,5,80.0
131140,8,2,10,80.0
136440,8,2,10,80.0
200558,4,1,5,80.0
132096,12,3,15,80.0
123848,49,13,62,79.03
133405,101,28,129,78.29
137237,126,35,161,78.26
131231,25,7,32,78.12
124110,127,36,163,77.91
220446,7,2,9,77.78
144861,7,2,9,77.78
119588,107,31,138,77.54
144633,24,7,31,77.42
109480,10,3,13,76.92
117332,40,12,52,76.92
123847,10,3,13,76.92
105649,62,19,81,76.54
213286,16,5,21,76.19
121403,115,36,151,76.16
123120,83,26,109,76.15
115641,149,47,196,76.02
132132,91,29,120,75.83
135179,28,9,37,75.68
122261,65,21,86,75.58
123112,37,12,49,75.51
137574,6,2,8,75.0
120557,3,1,4,75.0
209954,3,1,4,75.0
101514,3,1,4,75.0
221708,3,1,4,75.0
202405,3,1,4,75.0
137800,3,1,4,75.0
101877,3,1,4,75.0
222184,3,1,4,75.0
134903,3,1,4,75.0
123221,3,1,4,75.0
131371,6,2,8,75.0
100302,6,2,8,75.0
200839,3,1,4,75.0
204138,6,2,8,75.0
203068,3,1,4,75.0
135371,3,1,4,75.0
202723,3,1,4,75.0
132870,3,1,4,75.0
206049,3,1,4,75.0
133739,3,1,4,75.0
114976,3,1,4,75.0
122197,3,1,4,75.0
210321,3,1,4,75.0
135074,3,1,4,75.0
114158,3,1,4,75.0
117797,9,3,12,75.0
135841,3,1,4,75.0
112073,3,1,4,75.0
119382,3,1,4,75.0
202414,3,1,4,75.0
209021,12,4,16,75.0
222052,9,3,12,75.0
134848,3,1,4,75.0
122337,3,1,4,75.0
136711,145,49,194,74.74
121408,44,15,59,74.58
133901,23,8,31,74.19
123672,126,44,170,74.12
135049,93,33,126,73.81
123962,39,14,53,73.58
135977,116,42,158,73.42
115559,11,4,15,73.33
133528,11,4,15,73.33
111628,11,4,15,73.33
204288,19,7,26,73.08
117821,105,39,144,72.92
133707,8,3,11,72.73
209007,8,3,11,72.73
119542,48,18,66,72.73
136309,48,18,66,72.73
119730,61,23,84,72.62
117345,39,15,54,72.22
134583,39,15,54,72.22
119850,18,7,25,72.0
123980,128,51,179,71.51
145035,5,2,7,71.43
132994,5,2,7,71.43
136564,5,2,7,71.43
105482,5,2,7,71.43
205891,5,2,7,71.43
133529,50,20,70,71.43
120108,5,2,7,71.43
136539,50,20,70,71.43
135935,60,24,84,71.43
135941,5,2,7,71.43
114856,10,4,14,71.43
119533,79,32,111,71.17
136543,22,9,31,70.97
124576,12,5,17,70.59
135370,26,11,37,70.27
123114,7,3,10,70.0
115063,7,3,10,70.0
209955,7,3,10,70.0
136587,7,3,10,70.0
133695,14,6,20,70.0
131413,34,15,49,69.39
122320,34,15,49,69.39
137465,52,23,75,69.33
108581,9,4,13,69.23
118886,9,4,13,69.23
202746,9,4,13,69.23
133813,47,21,68,69.12
115910,80,36,116,68.97
134295,11,5,16,68.75
100079,11,5,16,68.75
122044,96,44,140,68.57
133894,52,24,76,68.42
200908,45,21,66,68.18
119797,77,36,113,68.14
113472,17,8,25,68.0
202064,17,8,25,68.0
134790,53,25,78,67.95
135050,74,35,109,67.89
106050,61,29,90,67.78
121582,103,49,152,67.76
136101,35,17,52,67.31
135922,39,19,58,67.24
144628,45,22,67,67.16
117113,55,27,82,67.07
123977,114,56,170,67.06
135888,79,39,118,66.95
133671,14,7,21,66.67
222625,2,1,3,66.67
110411,2,1,3,66.67
209663,2,1,3,66.67
112016,2,1,3,66.67
135893,12,6,18,66.67
203619,2,1,3,66.67
137434,2,1,3,66.67
144827,2,1,3,66.67
143605,2,1,3,66.67
131779,2,1,3,66.67
210320,2,1,3,66.67
135623,2,1,3,66.67
113782,2,1,3,66.67
124591,82,41,123,66.67
123931,14,7,21,66.67
135627,16,8,24,66.67
120154,8,4,12,66.67
137528,2,1,3,66.67
132554,2,1,3,66.67
209464,2,1,3,66.67
106600,2,1,3,66.67
137577,2,1,3,66.67
117330,2,1,3,66.67
145671,2,1,3,66.67
200632,2,1,3,66.67
204799,2,1,3,66.67
135839,2,1,3,66.67
146141,2,1,3,66.67
211760,2,1,3,66.67
211656,2,1,3,66.67
211738,2,1,3,66.67
146050,2,1,3,66.67
132800,2,1,3,66.67
145694,2,1,3,66.67
143934,2,1,3,66.67
90051,2,1,3,66.67
110367,2,1,3,66.67
202443,2,1,3,66.67
135920,2,1,3,66.67
119069,2,1,3,66.67
135900,2,1,3,66.67
221420,2,1,3,66.67
202361,2,1,3,66.67
222011,2,1,3,66.67
120791,2,1,3,66.67
136607,2,1,3,66.67
144529,2,1,3,66.67
146231,2,1,3,66.67
137298,2,1,3,66.67
146294,2,1,3,66.67
203078,2,1,3,66.67
112950,2,1,3,66.67
146060,2,1,3,66.67
113893,2,1,3,66.67
119273,2,1,3,66.67
135923,32,16,48,66.67
208351,8,4,12,66.67
119813,6,3,9,66.67
135701,6,3,9,66.67
117822,6,3,9,66.67
134316,6,3,9,66.67
136403,42,21,63,66.67
202981,8,4,12,66.67
133475,8,4,12,66.67
211410,4,2,6,66.67
202971,4,2,6,66.67
117954,4,2,6,66.67
110730,4,2,6,66.67
202982,4,2,6,66.67
136406,4,2,6,66.67
116818,34,17,51,66.67
132886,4,2,6,66.67
134982,4,2,6,66.67
114123,4,2,6,66.67
107156,4,2,6,66.67
145033,4,2,6,66.67
111772,4,2,6,66.67
110267,4,2,6,66.67
202869,4,2,6,66.67
136044,4,2,6,66.67
131148,55,28,83,66.27
123113,43,22,65,66.15
135919,52,27,79,65.82
136757,50,26,76,65.79
119794,23,12,35,65.71
202747,21,11,32,65.62
137733,38,20,58,65.52
133893,53,28,81,65.43
117820,70,37,107,65.42
121706,17,9,26,65.38
134085,17,9,26,65.38
200907,47,25,72,65.28
114715,95,51,146,65.07
116820,59,32,91,64.84
119284,68,37,105,64.76
123971,90,49,139,64.75
202561,20,11,31,64.52
136377,20,11,31,64.52
135674,20,11,31,64.52
135391,29,16,45,64.44
145304,9,5,14,64.29
132366,9,5,14,64.29
123128,9,5,14,64.29
135894,9,5,14,64.29
101040,9,5,14,64.29
112368,68,38,106,64.15
131375,73,41,114,64.04
107028,80,45,125,64.0
135887,32,18,50,64.0
136613,23,13,36,63.89
131036,67,38,105,63.81
135996,72,41,113,63.72
136653,7,4,11,63.64
132632,28,16,44,63.64
145267,19,11,30,63.33
119749,31,18,49,63.27
136712,31,18,49,63.27
131722,17,10,27,62.96
135745,39,23,62,62.9
203067,22,13,35,62.86
132137,27,16,43,62.79
133848,57,34,91,62.64
113336,5,3,8,62.5
133808,5,3,8,62.5
221705,5,3,8,62.5
121179,5,3,8,62.5
145759,5,3,8,62.5
133661,5,3,8,62.5
122046,15,9,24,62.5
119746,5,3,8,62.5
104257,5,3,8,62.5
134239,33,20,53,62.26
114410,36,22,58,62.07
121412,54,33,87,62.07
137734,13,8,21,61.9
200044,21,13,34,61.76
109272,8,5,13,61.54
144528,24,15,39,61.54
144488,8,5,13,61.54
116675,8,5,13,61.54
112599,8,5,13,61.54
123282,8,5,13,61.54
137238,38,24,62,61.29
134442,79,50,129,61.24
115621,11,7,18,61.11
144705,22,14,36,61.11
101222,22,14,36,61.11
137242,22,14,36,61.11
114936,72,46,118,61.02
134380,25,16,41,60.98
132992,70,45,115,60.87
131559,14,9,23,60.87
136536,14,9,23,60.87
112446,14,9,23,60.87
122052,70,45,115,60.87
201466,28,18,46,60.87
136987,45,29,74,60.81
110752,23,15,38,60.53
133694,79,52,131,60.31
131412,15,10,25,60.0
119532,12,8,20,60.0
133835,12,8,20,60.0
131466,3,2,5,60.0
120850,63,42,105,60.0
112075,3,2,5,60.0
134268,3,2,5,60.0
118856,3,2,5,60.0
100154,3,2,5,60.0
203041,3,2,5,60.0
111033,3,2,5,60.0
144712,3,2,5,60.0
145615,3,2,5,60.0
200209,3,2,5,60.0
114865,3,2,5,60.0
145804,3,2,5,60.0
133347,42,28,70,60.0
202748,6,4,10,60.0
118983,3,2,5,60.0
131790,3,2,5,60.0
206575,3,2,5,60.0
134906,3,2,5,60.0
212495,3,2,5,60.0
211037,6,4,10,60.0
137006,3,2,5,60.0
206219,3,2,5,60.0
118683,3,2,5,60.0
200075,3,2,5,60.0
136657,3,2,5,60.0
221517,3,2,5,60.0
145027,3,2,5,60.0
201872,3,2,5,60.0
124027,3,2,5,60.0
123305,51,34,85,60.0
121591,12,8,20,60.0
116530,24,16,40,60.0
110673,51,34,85,60.0
131429,3,2,5,60.0
136571,3,2,5,60.0
145544,12,8,20,60.0
