playerId,TotalWins (Overall),TotalLosses (Overall),TotalMatches (Overall),MatchWinRate (Overall),TotalSetsWon (Overall),TotalSetsLost (Overall),TotalSetsPlayed (Overall),SetWinRate (Overall),TotalPointsWon (Overall),TotalPointsLost (Overall),TotalPointsPlayed (Overall),PointWinRate (Overall)
90051,2,1,3,66.67,6,4,10,60.0,86,73,159,54.09
100001,8,21,29,27.59,45,74,119,37.82,1033,1133,2166,47.69
100032,2,5,7,28.57,11,17,28,39.29,253,287,540,46.85
100079,11,5,16,68.75,44,25,69,63.77,649,527,1176,55.19
100089,2,2,4,50.0,8,8,16,50.0,138,142,280,49.29
100154,3,2,5,60.0,13,11,24,54.17,223,224,447,49.89
100189,2,7,9,22.22,7,24,31,22.58,205,303,508,40.35
100190,0,1,1,0.0,0,3,3,0.0,14,33,47,29.79
100196,0,4,4,0.0,3,12,15,20.0,95,152,247,38.46
100218,1,1,2,50.0,5,4,9,55.56,93,80,173,53.76
100302,6,2,8,75.0,24,13,37,64.86,351,288,639,54.93
100329,0,5,5,0.0,3,15,18,16.67,146,195,341,42.82
100439,20,23,43,46.51,94,93,187,50.27,1644,1683,3327,49.41
100445,1,5,6,16.67,5,17,22,22.73,165,228,393,41.98
100486,10,17,27,37.04,46,67,113,40.71,1023,1118,2141,47.78
100534,0,1,1,0.0,0,4,4,0.0,24,44,68,35.29
100621,54,58,112,48.21,223,233,456,48.9,4216,4136,8352,50.48
100642,0,1,1,0.0,3,4,7,42.86,70,74,144,48.61
100696,60,51,111,54.05,264,227,491,53.77,4548,4325,8873,51.26
100817,5,5,10,50.0,18,22,40,45.0,369,385,754,48.94
100868,46,70,116,39.66,220,266,486,45.27,4476,4608,9084,49.27
101000,0,3,3,0.0,0,12,12,0.0,65,133,198,32.83
101031,2,4,6,33.33,9,14,23,39.13,189,183,372,50.81
101040,9,5,14,64.29,35,26,61,57.38,566,526,1092,51.83
101168,0,2,2,0.0,2,6,8,25.0,68,76,144,47.22
101192,32,35,67,47.76,137,147,284,48.24,2644,2684,5328,49.62
101222,22,14,36,61.11,91,67,158,57.59,1492,1357,2849,52.37
101247,0,1,1,0.0,0,4,4,0.0,22,44,66,33.33
101276,2,2,4,50.0,9,10,19,47.37,174,176,350,49.71
101480,0,2,2,0.0,1,6,7,14.29,39,68,107,36.45
101514,3,1,4,75.0,9,3,12,75.0,128,107,235,54.47
101545,4,4,8,50.0,14,13,27,51.85,245,213,458,53.49
101648,23,19,42,54.76,95,81,176,53.98,1705,1573,3278,52.01
101820,58,49,107,54.21,247,205,452,54.65,4263,4049,8312,51.29
101836,3,5,8,37.5,19,21,40,47.5,354,387,741,47.77
101877,3,1,4,75.0,12,8,20,60.0,198,168,366,54.1
101879,0,3,3,0.0,2,11,13,15.38,69,142,211,32.7
102201,0,1,1,0.0,0,3,3,0.0,26,34,60,43.33
102213,10,17,27,37.04,44,69,113,38.94,915,1028,1943,47.09
102316,1,3,4,25.0,6,9,15,40.0,140,133,273,51.28
102367,0,1,1,0.0,2,4,6,33.33,56,63,119,47.06
102380,30,32,62,48.39,131,141,272,48.16,2577,2620,5197,49.59
102427,0,4,4,0.0,4,14,18,22.22,150,186,336,44.64
102441,0,3,3,0.0,3,12,15,20.0,129,167,296,43.58
102445,10,11,21,47.62,49,52,101,48.51,881,902,1783,49.41
102486,32,27,59,54.24,120,116,236,50.85,2103,2058,4161,50.54
102671,0,3,3,0.0,0,9,9,0.0,42,99,141,29.79
102680,0,1,1,0.0,0,4,4,0.0,14,44,58,24.14
102712,8,7,15,53.33,36,33,69,52.17,666,627,1293,51.51
102761,32,33,65,49.23,135,129,264,51.14,2465,2445,4910,50.2
102827,1,1,2,50.0,2,4,6,33.33,46,58,104,44.23
102832,76,51,127,59.84,302,254,556,54.32,5242,5019,10261,51.09
102841,33,40,73,45.21,142,159,301,47.18,2774,2865,5639,49.19
102863,40,39,79,50.63,150,152,302,49.67,2772,2671,5443,50.93
102891,47,51,98,47.96,199,203,402,49.5,3768,3704,7472,50.43
102949,16,18,34,47.06,70,72,142,49.3,1272,1310,2582,49.26
102968,32,41,73,43.84,157,168,325,48.31,3050,2987,6037,50.52
102983,0,2,2,0.0,1,8,9,11.11,70,100,170,41.18
103047,1,1,2,50.0,4,6,10,40.0,89,95,184,48.37
103070,1,2,3,33.33,5,7,12,41.67,120,125,245,48.98
103075,1,1,2,50.0,3,4,7,42.86,56,59,115,48.7
103093,0,1,1,0.0,0,3,3,0.0,17,33,50,34.0
103107,25,18,43,58.14,114,77,191,59.69,1846,1715,3561,51.84
103126,63,57,120,52.5,249,214,463,53.78,4378,4162,8540,51.26
103163,1,18,19,5.26,11,55,66,16.67,430,704,1134,37.92
103175,10,25,35,28.57,54,85,139,38.85,1138,1358,2496,45.59
103182,0,2,2,0.0,1,6,7,14.29,51,81,132,38.64
103189,0,1,1,0.0,0,3,3,0.0,11,33,44,25.0
103230,1,1,2,50.0,3,4,7,42.86,61,68,129,47.29
