EventName,EventType,Country,City,ContinentCode,Subcontinent,Tags,EventCode,EventId,Mens Match Count,Womens Match Count,Total Match Count,BallSponsor,TableSponsor,StartDate
Tokyo 2020 Olympic Games,Olympic Games,Japan,Tokyo ,asia,east asia,,0.0,2345,65,70,135,,,2021-07-23
Paris 2024 Olympic Games,Olympic Games,France,Paris,europe,western europe,,,2603,67,67,134,,,2024-07-26
WTT Champions European Summer Series 2022,WTT Champions,Hungary,Budapest,europe,eastern europe,,,2593,31,31,62,Double Fish,DHS,2022-07-18
WTT Champions Macao 2022 Presented by Galaxy Entertainment Group,WTT Champions,"Macao, China",Macao,asia,east asia,,,2619,31,31,62,Double Fish,,2022-10-19
WTT Champions Xinxiang 2023 Presented by Industrial and Commercial Bank of China,WTT Champions,China,Xinxiang,asia,east asia,,,2737,31,31,62,,Double Fish,2023-04-09
WTT Champions Macao 2023 Presented by Galaxy Entertainment Group,WTT Champions,"Macao, China",Macao,asia,east asia,,,2728,31,31,62,Double Fish,,2023-04-17
WTT Champions Frankfurt 2023,WTT Champions,Germany,Frankfurt,europe,western europe,,,2705,31,31,62,DHS,Double Fish,2023-10-29
WTT Champions Incheon 2024 Presented by Shinhan Bank,WTT Champions,Korea Republic,Incheon,asia,east asia,,,2899,31,31,62,,Double Fish,2024-03-27
WTT Champions Chongqing 2024 Presented by Changan,WTT Champions,China,Chongqing,asia,east asia,,,2941,30,31,61,Double Fish,,2024-05-30
WTT Champions Macao 2024 Presented by Galaxy Entertainment Group,WTT Champions,"Macao, China",Macao,asia,east asia,,,2983,31,31,62,Double Fish,,2024-09-09
WTT Champions Montpellier 2024,WTT Champions,France,Montpellier,europe,western europe,,,2940,31,31,62,,,2024-10-22
WTT Champions Frankfurt 2024,WTT Champions,Germany,Frankfurt,europe,western europe,,,2877,31,31,62,DHS,Double Fish,2024-11-03
WTT Champions Chongqing 2025 Presented by AITO,WTT Champions,China,Chongqing,asia,east asia,,,3086,31,31,62,Double Fish,,2025-03-11
