PageLink,EventName,EventType,EventTypeId,Country,City,ContinentCode,Subcontinent,StartDateTime,EndDateTime,Tags,EventCode,Comments,EventDateChangeId,eventId,FromStartDate,FromEndDate,ToStartDate,ToEndDate,ShowInCalendar,Type,Event_Tier_Name
,ITTF Fa20 Chile Para Open 2020,Para Open,54,Chile,Santiago de Chile,americas,south america,2020-01-24T00:00:00,2020-01-26T00:00:00,,20129.0,,,2238,,,,,,,
,ITTF Fa20 Egypt Para Open 2020,Para Open,54,Egypt,Alexandria,africa,north africa,2020-02-01T00:00:00,2020-02-04T00:00:00,,20130.0,,,2240,,,,,,,
,Central American Junior & Cadet Championships,Continental Games,71,Belize,Belize,americas,central america,2020-02-04T00:00:00,2020-02-08T00:00:00,,5255.0,,,2242,,,,,,,
,ITTF Junior Circuit Premium Czech Junior and Cadet Open,World Junior Circuit,15,Czechia,Hodonin,europe,eastern europe,2020-02-12T00:00:00,2020-02-16T00:00:00,,5189.0,,,2139,,,,,,,
,ITTF World Junior Circuit Swedish Junior & Cadet Open,Junior & Cadet Championships,13,Sweden,Orebro,europe,northern europe,2020-02-19T00:00:00,2020-02-23T00:00:00,,5190.0,,,2248,,,,,,,
,ITTF Fa20 Polish Para Open,Para Open,54,Poland,Wladyslawowo,europe,eastern europe,2020-02-20T00:00:00,2020-02-22T00:00:00,,20131.0,,,2249,,,,,,,
,South American Junior & Cadet Championships,Other Events and Multi Sport Games,39,Peru,Lima,americas,south america,2020-03-04T00:00:00,2020-03-08T00:00:00,,5256.0,,,2186,,,,,,,
,ITTF World Junior Circuit Congo Junior & Cadet Open,Junior & Cadet Championships,13,Congo Democratic,Kinshasa,africa,central africa,2020-03-04T00:00:00,2020-03-08T00:00:00,,5191.0,,,2255,,,,,,,
,European Under 21 Championships,Continental Games,71,Croatia,Varaždin,europe,southern europe,2020-03-04T00:00:00,2020-03-08T00:00:00,,5176.0,,,2254,,,,,,,
,ITTF Fa40 Costa Brava Para Open,Para Open,54,Spain,Platja D'Aro,europe,southern europe,2020-03-05T00:00:00,2020-03-08T00:00:00,,20132.0,,,2257,,,,,,,
,ITTF World Junior Circuit Peru Junior & Cadet Open,Junior & Cadet Championships,13,Peru,Lima,americas,south america,2020-03-10T00:00:00,2020-03-14T00:00:00,,5195.0,,,2259,,,,,,,
,African Junior & Cadet Championships,Continental,36,Madagascar,Antananarivo,africa,east africa,2020-04-07T00:00:00,2020-04-13T00:00:00,,5239.0,Postponed to 2021,8.0,2188,2020-04-07T00:00:00,2020-04-13T00:00:00,,,True,Postponed,
,ITTF Oceania Junior Championships,Continental,36,Australia,Brisbane Queensland,oceania,australasia,2020-04-20T00:00:00,2020-04-25T00:00:00,,5229.0,,12.0,2183,2020-04-20T00:00:00,2020-04-25T00:00:00,,,True,Postponed,
,2020 Asian Junior & Cadet Championships Qualification,Junior & Cadet Championships,13,China,Macao,asia,east asia,2020-04-21T00:00:00,2020-04-23T00:00:00,,,,97.0,2355,2020-04-21T00:00:00,2020-04-23T00:00:00,,,True,Postponed,
,Caribbean Junior and Cadet Championships,Other Events and Multi Sport Games,39,Dominican Republic,Santo Domingo,americas,caribbean,2020-04-25T00:00:00,2020-04-30T00:00:00,,5257.0,Postponed to 2021,15.0,2177,2020-04-25T00:00:00,2020-04-30T00:00:00,,,True,Postponed,
,ITTF Paralympic World Qualification Tournament,Qualification Tournament,23,Slovenia,Laško ,europe,southern europe,2020-05-09T00:00:00,2020-05-17T00:00:00,,,Postponed to 2021,100.0,2358,2020-05-09T00:00:00,2020-05-17T00:00:00,,,True,Postponed,
,Pan American Junior Championships,Continental,36,Argentina,Rosario,americas,south america,2020-06-22T00:00:00,2020-06-27T00:00:00,,5180.0,Postponed to 2021,26.0,2104,2020-06-22T00:00:00,2020-06-27T00:00:00,,,True,Postponed,
,ITTF Junior Circuit Golden Hong Kong Junior and Cadet Open,World Junior Circuit,15,"Hong Kong, China",Hong Kong,asia,east asia,2020-07-08T00:00:00,2020-07-12T00:00:00,,5205.0,,176.0,2155,2020-07-08T00:00:00,2020-07-12T00:00:00,,,True,Cancelled,
,European Youth Championships,Continental,36,Croatia,Zagreb,europe,southern europe,2020-07-10T00:00:00,2020-07-19T00:00:00,,5181.0,,,2105,,,,,,,
,Asian Junior & Cadet Table Tennis Championships,Continental,36,Laos,Vientiane,asia,south east asia,2020-08-25T00:00:00,2020-08-30T00:00:00,,5183.0,,29.0,2107,2020-08-25T00:00:00,2020-08-30T00:00:00,,,True,Postponed,
,ITTF Junior Circuit Indonesia Junior and Cadet Open,World Junior Circuit,15,Indonesia,Jakarta,asia,south east asia,2020-09-09T00:00:00,2020-09-12T00:00:00,,5211.0,,,2161,,,,,,,
,European Youth Top 10,European Cups,59,Germany,Berlin ,europe,western europe,2020-10-09T00:00:00,2020-10-11T00:00:00,,5184.0,,,2278,,,,,,,
,Hungarian Youth Open 2020,Youth Open,56,Hungary,Szombathely,europe,eastern europe,2020-11-05T00:00:00,2020-11-08T00:00:00,,20134.0,,,2262,,,,,,,
,Central American Youth Championships (U15 & U19),Junior & Cadet Championships,13,Guatemala,Guatemala City ,americas,central america,2021-04-20T00:00:00,2021-04-24T00:00:00,,0.0,,,2344,,,,,,,
,"Caribbean Teams Qualification to Cali 2021 Pan American Junior Games, Havana",Pan American Junior Games,51,Cuba,Havana,americas,caribbean,2021-04-27T00:00:00,2021-04-29T00:00:00,,21002.0,,174.0,2209,2021-04-27T00:00:00,2021-04-29T00:00:00,,,True,Cancelled,
,Central American Teams Qualification to Cali 2021 Pan American Junior Games,Pan American Junior Games,51,Costa Rica,San Jose ,americas,central america,2021-05-10T00:00:00,2021-05-11T00:00:00,,21009.0,,,2215,,,,,,,
,WTT Youth Contender Vila Real 2021,WTT Youth Contender,69,Portugal,Vila Real ,europe,southern europe,2021-05-11T00:00:00,2021-05-17T00:00:00,,0.0,,,2462,,,,,,,WTT Youth Series
,Pan American Singles Qualification to Cali 2021 Pan American Junior Games,Pan American Junior Games,51,Costa Rica,San Jose ,americas,central america,2021-05-12T00:00:00,2021-05-13T00:00:00,,21010.0,,,2216,,,,,,,
,WTT Youth Star Contender Tunis 2021,WTT Youth Star Contender,68,Tunisia,Radès,africa,north africa,2021-05-26T00:00:00,2021-05-30T00:00:00,,0.0,,,2465,,,,,,,WTT Youth Series
,ITTF Fa40 Slovenia Para Open 2021,Para Open,54,Slovenia,Laško,europe,southern europe,2021-05-29T00:00:00,2021-06-01T00:00:00,,0.0,Dates TBC,152.0,2448,2021-05-29T00:00:00,2021-06-01T00:00:00,,,True,Postponed,
,Paralympic World Qualification Tournament,Paralympic Games,52,Slovenia,Laško,europe,southern europe,2021-06-03T00:00:00,2021-06-05T00:00:00,,0.0,,,2449,,,,,,,
,WTT Youth Contender Havirov 2021,WTT Youth Contender,69,Czechia,Havirov,europe,eastern europe,2021-06-07T00:00:00,2021-06-13T00:00:00,,0.0,,,2466,,,,,,,WTT Youth Series
