PageLink,EventName,EventType,EventTypeId,Country,City,ContinentCode,Subcontinent,StartDateTime,EndDateTime,Tags,EventCode,Comments,EventDateChangeId,eventId,FromStartDate,FromEndDate,ToStartDate,ToEndDate,ShowInCalendar,Type,Event_Tier_Name,EventStatus
,ITTF World Team Qualification Tournament,World Team Qualification,57,Portugal,Gondomar,europe,southern europe,2020-01-22 00:00:00,2020-01-26 00:00:00,,5171.0,,,2237,,,,,,,,Completed
,ITTF World Tour Platinum German Open,World Tour,12,Germany,Magdeburg,europe,western europe,2020-01-28 00:00:00,2020-02-02 00:00:00,,5139.0,,,2239,,,,,,,,Completed
,ITTF Challenge Spanish Open,Challenge,10,Spain,Granada,europe,southern europe,2020-02-04 00:00:00,2020-02-08 00:00:00,,5158.0,,,2241,,,,,,,,Completed
,Universal ITTF Pan America Cup,Continental Games,71,Puerto Rico,Guaynabo City,americas,caribbean,2020-02-07 00:00:00,2020-02-09 00:00:00,,5172.0,,,2243,,,,,,,,Completed
,CCB 2020 ITTF Europe Top 16 Cup,Continental Games,71,Switzerland,Montreux,europe,western europe,2020-02-08 00:00:00,2020-02-09 00:00:00,,5173.0,,,2244,,,,,,,,Completed
,ITTF Challenge Plus Portugal Open,Challenge Plus,11,Portugal,Lisbon,europe,southern europe,2020-02-12 00:00:00,2020-02-16 00:00:00,,5159.0,,,2245,,,,,,,,Completed
,ITTF World Tour Hungarian Open,World Tour,12,Hungary,Budapest,europe,eastern europe,2020-02-18 00:00:00,2020-02-23 00:00:00,,5145.0,,,2247,,,,,,,,Completed
,Western Asia Olympic Qualification Tournament,Olympic Qualification,47,Jordan,Amman,asia,west asia,2020-02-23 00:00:00,2020-02-26 00:00:00,,5259.0,,,2251,,,,,,,,Completed
,ITTF-Africa Top 16 Cup,Continental Games,71,Tunisia,Tunisia,africa,north africa,2020-02-24 00:00:00,2020-02-26 00:00:00,,5236.0,,,2250,,,,,,,,Completed
,African Singles and Mixed Doubles Olympic Qualification Tournament,Olympic Qualification,47,Tunisia,Tunisia,africa,north africa,2020-02-27 00:00:00,2020-02-29 00:00:00,,5237.0,,,2252,,,,,,,,Completed
