,tokyo_id,tokyo_name,tokyo_country,matched_id,matched_name,matched_country,country_match,match_score,playerId
421,1420765,Lkhagvasuren ENKHBAT,MGL,,VAN LANGE Jonathan,GUY,False,53,
418,1280978,Sally YEE,FIJ,135693,YEE Joshua,FIJ,True,63,135693
439,1433976,Yoshua SHING,VAN,,HU Heming,AUS,False,67,
479,1483909,David POWELL,AUS,,LOI David,PNG,False,67,
474,1307874,Kamal ACHANTA,IND,104314,Sharath Kamal ACHANTA,IND,True,76,104314
440,1311225,Maria Paulina VEGA,CHI,109777,Paulina VEGA,CHI,True,80,109777
521,1317845,Juan LIU,USA,121226,LIU  Dan,USA,True,80,121226
419,1331456,Jia LIU,AUT,,LI  Jian,USA,False,86,
430,1346155,Christina KAELLBERG,SWE,118507,Christina KALLBERG,SWE,True,97,118507
437,1346157,Linda BERGSTROEM,SWE,114905,BERGSTROM Linda,SWE,True,97,114905
470,1346156,Anton KAELLBERG,SWE,116853,Anton KALLBERG,SWE,True,97,116853
417,1420762,Bolorerdene BATMUNKH,MGL,132126,BATMUNKH Bolor-Erdene,MGL,True,98,132126
423,1366937,Ibrahima DIAW,SEN,113681,Ibrahima DIAW,SEN,True,100,113681
424,1428854,Yana NOSKOVA,ROC,106788,Yana NOSKOVA,RUS,False,100,106788
417,1373900,Fadwa GARCI,TUN,117150,GARCI Fadwa,TUN,True,100,117150
425,1381569,Andrej GACINA,CRO,102891,GACINA Andrej,CRO,True,100,102891
430,1451440,Jieni SHAO,POR,121401,SHAO Jieni,POR,True,100,121401
429,1310781,Natalia PARTYKA,POL,107177,PARTYKA Natalia,POL,True,100,107177
433,1429516,Bojan TOKIC,SLO,109459,Bojan TOKIC,SLO,True,100,109459
431,1296772,Ovidiu IONESCU,ROU,103903,Ovidiu IONESCU,ROU,True,100,103903
434,1296235,Brian AFANADOR,PUR,115000,Brian AFANADOR,PUR,True,100,115000
435,1350873,Jia Nan YUAN,FRA,137894,Jia Nan YUAN,FRA,True,100,137894
436,1440074,Paul DRINKHALL,GBR,102380,DRINKHALL Paul,ENG,False,100,102380
432,1308383,Manika BATRA,IND,115920,Manika BATRA,IND,True,100,115920
438,1353440,Galia DVORAK,ESP,102427,Galia DVORAK,ESP,True,100,102427
439,1362843,Horacio CIFUENTES,ARG,119316,Horacio CIFUENTES,ARG,True,100,119316
441,1462483,Lei KOU,UKR,113165,KOU Lei,UKR,True,100,113165
426,1328228,Melanie DIAZ,PUR,112463,Melanie DIAZ,PUR,True,100,112463
427,1466603,Panagiotis GIONIS,GRE,103107,GIONIS Panagiotis,GRE,True,100,103107
428,1403898,Lubomir JANCARIK,CZE,104036,JANCARIK Lubomir,CZE,True,100,104036
416,1483907,Jian Fang LAY,AUS,105111,LAY Jian Fang,AUS,True,100,105111
420,1421588,Sarah HANFFOU,CMR,103425,HANFFOU Sarah,CMR,True,100,103425
446,1340909,Debora VIVARELLI,ITA,110995,Debora VIVARELLI,ITA,True,100,110995
445,1428851,Kirill SKACHKOV,ROC,108742,Kirill SKACHKOV,RUS,False,100,108742
447,1473939,Alberto MINO,ECU,106151,Alberto MINO,ECU,True,100,106151
448,1353443,Maria XIAO,ESP,111072,XIAO Maria,ESP,True,100,111072
451,1365387,Bence MAJOROS,HUN,114860,Bence MAJOROS,HUN,True,100,114860
452,1451437,Tiago APOLONIA,POR,100621,Tiago APOLONIA,POR,True,100,100621
449,1462482,Ganna GAPONOVA,UKR,102949,Ganna GAPONOVA,UKR,True,100,102949
450,1341401,Sarah DE NUTTE,LUX,112280,DE NUTTE Sarah,LUX,True,100,112280
455,1308376,Sathiyan GNANASEKARAN,IND,103126,Sathiyan GNANASEKARAN,IND,True,100,103126
456,1296360,Dina MESHREF,EGY,111656,Dina MESHREF,EGY,True,100,111656
457,1433351,Mo ZHANG,CAN,110560,ZHANG Mo,CAN,True,100,110560
458,1331454,Daniel HABESOHN,AUT,103345,HABESOHN Daniel,AUT,True,100,103345
459,1296765,Ahmed SALEH,EGY,100439,Ahmed SALEH,EGY,True,100,100439
460,1360557,YU Mengyu,SGP,111628,YU Mengyu,SGP,True,100,111628
453,1350875,Emmanuel LEBESSON,FRA,105136,Emmanuel LEBESSON,FRA,True,100,105136
454,1365390,Georgina POTA,HUN,107525,POTA Georgina,HUN,True,100,107525
462,1462481,Margaryta PESOTSKA,UKR,107321,Margaryta PESOTSKA,UKR,True,100,107321
461,1338650,CHUANG Chih Yuan,TPE,101820,CHUANG Chih-Yuan,TPE,True,100,101820
465,1331453,Robert GARDOS,AUT,102968,Robert GARDOS,AUT,True,100,102968
463,1304776,Kirill GERASSIMENKO,KAZ,117890,Kirill GERASSIMENKO,KAZ,True,100,117890
466,1403899,Hana MATELOVA,CZE,105913,Hana MATELOVA,CZE,True,100,105913
467,1407909,SOO Wai Yam Minnie,HKG,115037,SOO Wai Yam Minnie,HKG,True,100,115037
468,1352554,Gustavo TSUBOI,BRA,109581,Gustavo TSUBOI,BRA,True,100,109581
464,1331511,Xia Lian NI,LUX,106706,NI Xia Lian,LUX,True,100,106706
469,1352550,Bruna TAKAHASHI,BRA,121623,Bruna TAKAHASHI,BRA,True,100,121623
471,1476595,Suthasini SAWETTABUT,THA,111833,Suthasini SAWETTABUT,THA,True,100,111833
472,1429261,Darko JORGIC,SLO,118927,Darko JORGIC,SLO,True,100,118927
442,1365386,Dora MADARASZ,HUN,111213,MADARASZ Dora,HUN,True,100,111213
443,1336254,SHIN Yubin,KOR,123977,SHIN Yubin,KOR,True,100,123977
444,1353442,Alvaro ROBLES,ESP,111050,ROBLES Alvaro,ESP,True,100,111050
421,1317879,Nikhil KUMAR,USA,119463,KUMAR Nikhil,USA,True,100,119463
415,1322090,Olufunke OSHONAIKE,NGR,106995,OSHONAIKE Olufunke,NGR,True,100,106995
478,1317861,Lily ZHANG,USA,112221,Lily ZHANG,USA,True,100,112221
477,1381582,Tomislav PUCAR,CRO,116532,Tomislav PUCAR,CRO,True,100,116532
476,1317850,Kanak JHA,USA,116021,JHA Kanak,USA,True,100,116021
475,1310780,Qian LI,POL,111882,LI Qian,POL,True,100,111882
473,1379776,Barbora BALAZOVA,SVK,100868,BALAZOVA Barbora,SVK,True,100,100868
479,1379882,Yang WANG,SVK,112735,Yang WANG,SVK,True,100,112735
481,1428853,Polina MIKHAILOVA,ROC,106114,Polina MIKHAILOVA,RUS,False,100,106114
480,1280344,Xiaoxin YANG,MON,112868,Xiaoxin YANG,MON,True,100,112868
487,1321088,Petrissa SOLJA,GER,111065,SOLJA Petrissa,GER,True,100,111065
488,1336249,JANG Woojin,KOR,114936,JANG Woojin,KOR,True,100,114936
489,1407904,WONG Chun Ting,HKG,112620,WONG Chun Ting,HKG,True,100,112620
482,1451439,Fu YU,POR,102863,YU Fu,POR,True,100,102863
483,1366629,Jonathan GROTH,DEN,112409,GROTH Jonathan,DEN,True,100,112409
484,1296561,Omar ASSAR,EGY,100696,Omar ASSAR,EGY,True,100,100696
485,1322041,CHEN Meng,CHN,112019,CHEN Meng,CHN,True,100,112019
486,1321082,Timo BOLL,GER,101222,BOLL Timo,GER,True,100,101222
495,1288650,FENG Tianwei,SGP,102712,FENG Tianwei,SGP,True,100,102712
