,tokyo_id,tokyo_name,tokyo_country,matched_id,matched_name,matched_country,country_match,match_score,playerId
424,1657161,Prithika PAVADE,FRA,131100,Prithika PAVADE,FRA,True,100,131100
428,1484401,Ali ALKHADRAWI,KSA,113376,ALKHADRAWI Ali,KSA,True,100,113376
431,1483910,Xin YAN,AUS,117797,YAN  Xin,AUS,True,100,117797
549,1483909,David POWELL,AUS,,LOI David,PNG,False,67,111286
416,1483907,Jian Fang LAY,AUS,105111,LAY Jian Fang,AUS,True,100,105111
429,1483903,Michelle BROMLEY,AUS,101000,BROMLEY Michelle,AUS,True,100,101000
426,1476606,Orawan PARANANG,THA,120972,Orawan PARANANG,THA,True,100,120972
471,1476595,Suthasini SAWETTABUT,THA,111833,Suthasini SAWETTABUT,THA,True,100,111833
447,1473939,Alberto MINO,ECU,106151,Alberto MINO,ECU,True,100,106151
427,1466603,Panagiotis GIONIS,GRE,103107,GIONIS Panagiotis,GRE,True,100,103107
422,1466039,Rachel MORET,SUI,111416,Rachel MORET,SUI,True,100,111416
441,1462483,Lei KOU,UKR,113165,Lei KOU,UKR,True,100,113165
449,1462482,Ganna GAPONOVA,UKR,102949,Ganna GAPONOVA,UKR,True,100,102949
462,1462481,Margaryta PESOTSKA,UKR,107321,Margaryta PESOTSKA,UKR,True,100,107321
500,1456447,Britt EERLAND,NED,113701,EERLAND Britt,NED,True,100,113701
492,1451443,Marcos FREITAS,POR,102841,FREITAS Marcos,POR,True,100,102841
430,1451440,Jieni SHAO,POR,121401,SHAO Jieni,POR,True,100,121401
482,1451439,Fu YU,POR,102863,YU Fu,POR,True,100,102863
452,1451437,Tiago APOLONIA,POR,100621,Tiago APOLONIA,POR,True,100,100621
491,1440076,Liam PITCHFORD,GBR,112442,PITCHFORD Liam,ENG,False,100,112442
432,1440075,Tin-Tin HO,GBR,115430,Tin-Tin HO,ENG,False,100,115430
436,1440074,Paul DRINKHALL,GBR,102380,Paul DRINKHALL,ENG,False,100,102380
439,1433976,Yoshua SHING,VAN,,LIN Yishiuan,USA,False,67,108602
433,1433352,Jeremy HAZIN,CAN,117604,Jeremy HAZIN,CAN,True,100,117604
457,1433351,Mo ZHANG,CAN,110560,ZHANG Mo,CAN,True,100,110560
420,1432732,Polina TRIFONOVA,BUL,112866,TRIFONOVA Polina,BUL,True,100,112866
433,1429516,Bojan TOKIC,SLO,109459,TOKIC Bojan,SLO,True,100,109459
472,1429261,Darko JORGIC,SLO,118927,Darko JORGIC,SLO,True,100,118927
424,1428854,Yana NOSKOVA,ROC,106788,Yana NOSKOVA,RUS,False,100,106788
481,1428853,Polina MIKHAILOVA,ROC,106114,MIKHAILOVA Polina,RUS,False,100,106114
445,1428851,Kirill SKACHKOV,ROC,108742,Kirill SKACHKOV,RUS,False,100,108742
420,1421588,Sarah HANFFOU,CMR,103425,HANFFOU Sarah,CMR,True,100,103425
421,1420765,Lkhagvasuren ENKHBAT,MGL,,VAN LANGE Jonathan,GUY,False,53,105508
417,1420762,Bolorerdene BATMUNKH,MGL,132126,BATMUNKH Bolor-Erdene,MGL,True,98,132126
467,1407909,SOO Wai Yam Minnie,HKG,115037,SOO Wai Yam Minnie,HKG,True,100,115037
501,1407907,DOO Hoi Kem,HKG,115543,DOO Hoi Kem,HKG,True,100,115543
434,1407906,LAM Siu Hang,HKG,115546,LAM Siu Hang,HKG,True,100,115546
489,1407904,WONG Chun Ting,HKG,112620,WONG Chun Ting,HKG,True,100,112620
419,1407844,Hend ZAZA,SYR,135310,ZAZA Hend,SYR,True,100,135310
549,1403900,Pavel SIRUCEK,CZE,113243,Pavel SIRUCEK,CZE,True,100,113243
466,1403899,Hana MATELOVA,CZE,105913,Hana MATELOVA,CZE,True,100,105913
428,1403898,Lubomir JANCARIK,CZE,104036,JANCARIK Lubomir,CZE,True,100,104036
451,1382514,Larbi BOURIAH,ALG,114202,BOURIAH Larbi,ALG,True,100,114202
477,1381582,Tomislav PUCAR,CRO,116532,Tomislav PUCAR,CRO,True,100,116532
425,1381569,Andrej GACINA,CRO,102891,GACINA Andrej,CRO,True,100,102891
479,1379882,Yang WANG,SVK,112735,Yang WANG,SVK,True,100,112735
473,1379776,Barbora BALAZOVA,SVK,100868,Barbora BALAZOVA,SVK,True,100,100868
417,1373900,Fadwa GARCI,TUN,117150,GARCI Fadwa,TUN,True,100,117150
441,1373895,Adam HMAM,TUN,103621,HMAM Adam,TUN,True,100,103621
423,1366937,Ibrahima DIAW,SEN,113681,Ibrahima DIAW,SEN,True,100,113681
483,1366629,Jonathan GROTH,DEN,112409,GROTH Jonathan,DEN,True,100,112409
454,1365390,Georgina POTA,HUN,107525,POTA Georgina,HUN,True,100,107525
451,1365387,Bence MAJOROS,HUN,114860,Bence MAJOROS,HUN,True,100,114860
442,1365386,Dora MADARASZ,HUN,111213,MADARASZ Dora,HUN,True,100,111213
439,1362843,Horacio CIFUENTES,ARG,119316,Horacio CIFUENTES,ARG,True,100,119316
444,1362840,Gaston ALTO,ARG,100486,ALTO Gaston,ARG,True,100,100486
423,1360559,CHEW Zhe Yu Clarence,SGP,113395,CHEW Zhe Yu Clarence,SGP,True,100,113395
460,1360557,YU Mengyu,SGP,111628,YU Mengyu,SGP,True,100,111628
448,1353443,Maria XIAO,ESP,111072,Maria XIAO,ESP,True,100,111072
444,1353442,Alvaro ROBLES,ESP,111050,Alvaro ROBLES,ESP,True,100,111050
438,1353440,Galia DVORAK,ESP,102427,Galia DVORAK,ESP,True,100,102427
422,1352557,Jessica YAMADA,BRA,110286,YAMADA Jessica,BRA,True,100,110286
507,1352555,Hugo CALDERANO,BRA,115641,Hugo CALDERANO,BRA,True,100,115641
468,1352554,Gustavo TSUBOI,BRA,109581,Gustavo TSUBOI,BRA,True,100,109581
469,1352550,Bruna TAKAHASHI,BRA,121623,Bruna TAKAHASHI,BRA,True,100,121623
453,1350875,Emmanuel LEBESSON,FRA,105136,Emmanuel LEBESSON,FRA,True,100,105136
512,1350874,Simon GAUZY,FRA,112062,Simon GAUZY,FRA,True,100,112062
435,1350873,Jia Nan YUAN,FRA,137894,Jia Nan YUAN,FRA,True,100,137894
437,1346157,Linda BERGSTROEM,SWE,114905,BERGSTROM Linda,SWE,True,97,114905
470,1346156,Anton KAELLBERG,SWE,116853,Anton KALLBERG,SWE,True,97,116853
430,1346155,Christina KAELLBERG,SWE,118507,Christina KALLBERG,SWE,True,97,118507
516,1346147,Mattias FALCK,SWE,112074,Mattias FALCK,SWE,True,100,112074
427,1344090,Zsolt PETO,SRB,107324,PETO Zsolt,SRB,True,100,107324
445,1344082,Dimitrije LEVAJAC,SRB,123192,LEVAJAC Dimitrije,SRB,True,100,123192
450,1341401,Sarah DE NUTTE,LUX,112280,Sarah DE NUTTE,LUX,True,100,112280
446,1340909,Debora VIVARELLI,ITA,110995,VIVARELLI Debora,ITA,True,100,110995
506,1338657,CHEN Szu Yu,TPE,114105,CHEN Szu-Yu,TPE,True,100,114105
504,1338655,CHENG I Ching,TPE,110797,CHENG I-Ching,TPE,True,100,110797
461,1338650,CHUANG Chih Yuan,TPE,101820,CHUANG Chih-Yuan,TPE,True,100,101820
499,1338649,LIN Yun Ju,TPE,121582,LIN Yun-Ju,TPE,True,100,121582
418,1338000,Chelsea EDGHILL,GUY,115498,EDGHILL Chelsea,GUY,True,100,115498
510,1336258,JEON Jihee,KOR,118994,JEON Jihee,KOR,True,100,118994
443,1336254,SHIN Yubin,KOR,123977,SHIN Yubin,KOR,True,100,123977
488,1336249,JANG Woojin,KOR,114936,JANG Woojin,KOR,True,100,114936
498,1336248,JEOUNG Youngsik,KOR,104257,JEOUNG Youngsik,KOR,True,100,104257
425,1331836,Kokou Dodji FANNY,TOG,118722,FANNY Kokou Dodji,TOG,True,100,118722
464,1331511,Xia Lian NI,LUX,106706,NI Xia Lian,LUX,True,100,106706
493,1331459,Sofia POLCANOVA,AUT,107477,POLCANOVA Sofia,AUT,True,100,107477
419,1331456,Jia LIU,AUT,,LI  Jian,USA,False,86,105472
458,1331454,Daniel HABESOHN,AUT,103345,Daniel HABESOHN,AUT,True,100,103345
465,1331453,Robert GARDOS,AUT,102968,Robert GARDOS,AUT,True,100,102968
426,1328228,Melanie DIAZ,PUR,112463,Melanie DIAZ,PUR,True,100,112463
442,1322093,Offiong EDEM,NGR,102445,EDEM Offiong,NGR,True,100,102445
415,1322090,Olufunke OSHONAIKE,NGR,106995,OSHONAIKE Olufunke,NGR,True,100,106995
452,1322085,Olajide OMOTAYO,NGR,113563,Olajide OMOTAYO,NGR,True,100,113563
502,1322079,Quadri ARUNA,NGR,112092,Quadri ARUNA,NGR,True,100,112092
513,1322049,SUN Yingsha,CHN,131163,SUN Yingsha,CHN,True,100,131163
485,1322041,CHEN Meng,CHN,112019,CHEN Meng,CHN,True,100,112019
503,1321133,FAN Zhendong,CHN,121404,FAN Zhendong,CHN,True,100,121404
487,1321088,Petrissa SOLJA,GER,111065,SOLJA Petrissa,GER,True,100,111065
515,1321086,Ying HAN,GER,118762,HAN Ying,GER,True,100,118762
511,1321084,Dimitrij OVTCHAROV,GER,107028,Dimitrij OVTCHAROV,GER,True,100,107028
486,1321082,Timo BOLL,GER,101222,BOLL Timo,GER,True,100,101222
508,1321054,MA Long,CHN,105649,MA Long,CHN,True,100,105649
421,1317879,Nikhil KUMAR,USA,119463,KUMAR Nikhil,USA,True,100,119463
478,1317861,Lily ZHANG,USA,112221,ZHANG Lily,USA,True,100,112221
476,1317850,Kanak JHA,USA,116021,JHA Kanak,USA,True,100,116021
415,1317845,Juan LIU,USA,121226,LIU  Dan,USA,True,80,121226
490,1316128,Kasumi ISHIKAWA,JPN,110752,Kasumi ISHIKAWA,JPN,True,100,110752
505,1316127,Mima ITO,JPN,117821,Mima ITO,JPN,True,100,117821
514,1316124,Koki NIWA,JPN,110729,NIWA Koki,JPN,True,100,110729
494,1316120,Tomokazu HARIMOTO,JPN,123980,Tomokazu HARIMOTO,JPN,True,100,123980
440,1311225,Maria Paulina VEGA,CHI,109777,VEGA Paulina,CHI,True,80,109777
429,1310781,Natalia PARTYKA,POL,107177,PARTYKA Natalia,POL,True,100,107177
475,1310780,Qian LI,POL,111882,LI Qian,POL,True,100,111882
437,1308388,Sutirtha MUKHERJEE,IND,117365,Sutirtha MUKHERJEE,IND,True,100,117365
432,1308383,Manika BATRA,IND,115920,Manika BATRA,IND,True,100,115920
455,1308376,Sathiyan GNANASEKARAN,IND,103126,Sathiyan GNANASEKARAN,IND,True,100,103126
416,1308284,Daniela FONSECA,CUB,124042,FONSECA Daniela,CUB,True,100,124042
474,1307874,Kamal ACHANTA,IND,104314,Sharath Kamal ACHANTA,IND,True,76,104314
448,1304779,Anastassiya LAVROVA,KAZ,117891,Anastassiya LAVROVA,KAZ,True,100,117891
463,1304776,Kirill GERASSIMENKO,KAZ,117890,Kirill GERASSIMENKO,KAZ,True,100,117890
431,1296772,Ovidiu IONESCU,ROU,103903,Ovidiu IONESCU,ROU,True,100,103903
496,1296770,Elizabeta SAMARA,ROU,108226,Elizabeta SAMARA,ROU,True,100,108226
497,1296766,Bernadette SZOCS,ROU,111012,Bernadette SZOCS,ROU,True,100,111012
459,1296765,Ahmed SALEH,EGY,100439,Ahmed SALEH,EGY,True,100,100439
484,1296561,Omar ASSAR,EGY,100696,ASSAR Omar,EGY,True,100,100696
435,1296531,Yousra HELMY,EGY,113908,HELMY Yousra,EGY,True,100,113908
456,1296360,Dina MESHREF,EGY,111656,Dina MESHREF,EGY,True,100,111656
434,1296235,Brian AFANADOR,PUR,115000,Brian AFANADOR,PUR,True,100,115000
509,1296234,Adriana DIAZ,PUR,115009,Adriana DIAZ,PUR,True,100,115009
495,1288650,FENG Tianwei,SGP,102712,FENG Tianwei,SGP,True,100,102712
436,1283546,Nima ALAMIAN,IRI,112035,Nima ALAMIAN,IRI,True,100,112035
418,1280978,Sally YEE,FIJ,135693,YEE Joshua,FIJ,True,63,121017
480,1280344,Xiaoxin YANG,MON,112868,YANG Xiaoxin,MON,True,100,112868
