IttfId,PlayerName,CountryCode,Gender,Age,DOB,Handedness,Grip,HeadShot,Style
100032,Farah ABDELAZIZ,EGY,F,33,09/01/1992 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/100032_Headshot_R_ABDEL_AZIZ_Farah.png,Attack
100079,Bode ABIODUN,NGR,M,45,09/10/1980 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/100079_Headshot_R_ABIODUN_Bode.png,Attack
100089,Luke ABRAHAMS,RSA,M,37,07/04/1988 00:00:00,,,,Attack
100189,Ahmed ALAWLAQI,QAT,M,34,01/23/1991 00:00:00,,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/100189_Headshot_R_ALAWLAQI_Ahmed.png,Attack
100196,Moosa AHMED,MDV,M,38,07/10/1987 00:00:00,,,,Attack
100218,Mohammadreza AKHLAGHPASAND,USA,M,46,12/12/1978 00:00:00,,,,Attack
100329,Fahed ALMUGHANNE,QAT,M,32,04/15/1993 00:00:00,,,,Attack
101040,Ocean BELROSE,PYF,M,32,08/05/1993 00:00:00,,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/101040_HEADSHOT_R_BELROSE_Ocean.png,Attack
101168,Bryan BLAS,PER,M,36,05/23/1989 00:00:00,Right Hand,Shakehand,,Attack
101192,Mihai BOBOCICA,ITA,M,39,09/08/1986 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/101192_Headshot_R_BOBOCICA_Mihai.png,Attack
101222,Timo BOLL,GER,M,44,03/08/1981 00:00:00,Left Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/101222_Headshot_R_BOLL_Timo.png,Attack
101480,Jesus CANTERO,ESP,M,43,03/09/1982 00:00:00,Right Hand,Penhold,,Attack
101514,Diogo CARVALHO,POR,M,32,10/10/1992 00:00:00,Right Hand,Shakehand,,Attack
101545,Alexandru CAZACU,ROU,M,37,10/06/1988 00:00:00,Right Hand,Shakehand,,Attack
101648,CHEN Chien-An,TPE,M,34,06/16/1991 00:00:00,Left Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/101648_Headshot_R_CHEN_Chien_An.png,Attack
101820,CHUANG Chih-Yuan,TPE,M,44,04/02/1981 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/101820_Headshot_R_CHUANG Chih-Yuan.png,Attack
101836,Rheann CHUNG,TTO,F,40,03/27/1985 00:00:00,Right Hand,Shakehand,,Attack
101879,Theo COGILL,RSA,M,38,02/23/1987 00:00:00,Left Hand,Shakehand,,Attack
102201,Divya DESHPANDE,IND,F,35,03/29/1990 00:00:00,Right Hand,Shakehand,,Attack
102213,Jeremy DEY,NCL,M,37,03/27/1988 00:00:00,,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/102213_Headshot_R_Jeremy DEY.png,Attack
102316,Daniela DODEAN,ROU,F,37,01/13/1988 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/102316_Headshot_R_MONTEIRO_DODEAN_Daniela.png,Attack
102380,Paul DRINKHALL,ENG,M,35,01/16/1990 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/102380_Headshot_R_DRINKHALL_Paul.png,Attack
102427,Galia DVORAK,ESP,F,37,04/01/1988 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/102427_Headshot_R_DVORAK_Galia.png,Attack
102445,Offiong EDEM,NGR,F,38,12/31/1986 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/102445_Headshot_R_EDEM_Offiong.png,Attack
102486,Mohamed ELBEIALI,EGY,M,37,07/02/1988 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/102486_HEADSHOT_R_ELBEIALY_Mohamed.png,Attack
102671,Maha FARAMARZI,QAT,F,32,03/01/1993 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/102671_Headshot_R_FARAMARZI_Maha.png,Attack
102712,FENG Tianwei,SGP,F,39,08/31/1986 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/102712_Headshot_R_FENG_Tianwei.png,Attack
102761,Ruwen FILUS,GER,M,37,02/14/1988 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/102761_Headshot_R_FILUS_Ruwen.png,Defence
102827,Christopher FRANKLIN,GUY,M,40,11/18/1984 00:00:00,Right Hand,Shakehand,,Attack
102832,Patrick FRANZISKA,GER,M,33,06/11/1992 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/102832_Headshot_R_Patrick FRANZISKA.png,Attack
102841,Marcos FREITAS,POR,M,37,04/08/1988 00:00:00,Left Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/102841_Headshot_R_FREITAS_Marcos.png,Attack
102863,Fu YU,POR,F,46,11/29/1978 00:00:00,Right Hand,Penhold,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/102863_Headshot_R_YU_Fu.png,Attack
102891,Andrej GACINA,CRO,M,39,05/21/1986 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/102891_Headshot_R_GACINA_Andrej.png,Attack
102949,Hanna HAPONOVA,UKR,F,39,10/28/1985 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/102949_Headshot_R_GAPONOVA_Ganna.png,Defence
102968,Robert GARDOS,AUT,M,46,01/16/1979 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/102968_Headshot_R_GARDOS_Robert.png,Attack
103070,Soumyajit GHOSH,IND,M,32,05/10/1993 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/103070_Headshot_R_GHOSH_Soumyajit.png,Attack
103075,Antonio GIANNINI,VEN,M,50,07/09/1975 00:00:00,,,,Attack
103093,Rodrigo GILABERT,ARG,M,34,09/16/1991 00:00:00,Right Hand,Shakehand,,Attack
103107,Panagiotis GIONIS,GRE,M,45,01/07/1980 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/103107_Headshot_R_GIONIS_Panagiotis.png,Defence
103126,Sathiyan GNANASEKARAN,IND,M,32,01/08/1993 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/103126_Headshot_R_GNANASEKARAN_Sathiyan.png,Attack
103163,Ludovic GOMBOS,USA,M,48,06/22/1977 00:00:00,,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/103163_Headshot_R_GOMBOS_Ludovic.png,Attack
103175,Tessy GONDERINGER,LUX,F,32,05/18/1993 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/103175_HEADSHOT_R_GONDERINGER_Tessy.png,Attack
103182,Oscar Enrique GONZALES,ARG,M,58,03/07/1967 00:00:00,,,,Attack
103189,Eliana GONZALEZ,PER,F,56,06/01/1969 00:00:00,,,,Attack
103230,Rafael GRANADILLO,VEN,M,40,04/29/1985 00:00:00,,,,Attack
103308,Martin GUMAN,SVK,M,39,11/29/1985 00:00:00,Right Hand,Shakehand,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/103308_Headshot_R_GUMAN_Martin.png,Attack
