,id,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
0,262763,2502,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2021-10-30T14:13:00.583
1,262550,2502,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2021-10-30T13:02:57.512
4,261719,2502,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2021-10-29T22:04:20.597
5,261400,2502,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2021-10-29T21:23:35.159
6,261183,2502,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2021-10-29T20:34:39.018
7,260925,2502,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2021-10-29T19:26:36.217
9,260325,2502,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2021-10-29T16:31:05.444
10,260117,2502,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2021-10-29T15:59:19.358
11,259952,2502,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2021-10-29T15:19:17.191
12,259733,2502,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2021-10-29T14:29:20.949
14,259326,2502,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2021-10-29T12:19:55.947
16,259004,2502,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2021-10-29T11:37:06.489
18,258554,2502,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2021-10-29T11:10:09.694
20,258293,2502,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2021-10-29T10:33:09.032
25,257116,2502,TTEMSINGLES-----------8FNL000800----------,,Men Singles,OFFICIAL,,,2021-10-28T20:27:22.926
26,257078,2502,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2021-10-28T20:15:49.205
27,256847,2502,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,2021-10-28T19:45:05.266
28,256741,2502,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,2021-10-28T19:38:20.098
29,256427,2502,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,2021-10-28T19:13:40.184
30,256355,2502,TTEWSINGLES-----------8FNL000300----------,,Women Singles,OFFICIAL,,,2021-10-28T19:10:08.045
31,256108,2502,TTEWSINGLES-----------8FNL000600----------,,Women Singles,OFFICIAL,,,2021-10-28T18:31:59.527
32,256090,2502,TTEMSINGLES-----------8FNL000700----------,,Men Singles,OFFICIAL,,,2021-10-28T18:31:27.126
33,255696,2502,TTEWSINGLES-----------8FNL000500----------,,Women Singles,OFFICIAL,,,2021-10-28T16:54:50.188
34,255616,2502,TTEMSINGLES-----------8FNL000600----------,,Men Singles,OFFICIAL,,,2021-10-28T16:46:24.901
36,255316,2502,TTEWSINGLES-----------8FNL000800----------,,Women Singles,OFFICIAL,,,2021-10-28T16:17:26.843
37,255178,2502,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,2021-10-28T16:01:36.192
39,254771,2502,TTEMSINGLES-----------8FNL000500----------,,Men Singles,OFFICIAL,,,2021-10-28T15:54:26.826
40,254487,2502,TTEMSINGLES-----------8FNL000300----------,,Men Singles,OFFICIAL,,,2021-10-28T15:31:17.593
41,254375,2502,TTEMSINGLES-----------8FNL000200----------,,Men Singles,OFFICIAL,,,2021-10-28T15:20:38.82
43,253999,2502,TTEWSINGLES-----------8FNL000100----------,,Women Singles,OFFICIAL,,,2021-10-28T14:55:46.873
47,253036,2502,TTEWSINGLES-----------R32-001100----------,,Women Singles,OFFICIAL,,,2021-10-28T12:22:53.563
48,252793,2502,TTEWSINGLES-----------R32-001000----------,,Women Singles,OFFICIAL,,,2021-10-28T11:55:43.277
49,252728,2502,TTEMSINGLES-----------R32-001600----------,,Men Singles,OFFICIAL,,,2021-10-28T11:42:30.809
51,252463,2502,TTEMSINGLES-----------R32-001400----------,,Men Singles,OFFICIAL,,,2021-10-28T10:55:44.553
52,252249,2502,TTEMSINGLES-----------R32-001500----------,,Men Singles,OFFICIAL,,,2021-10-28T10:53:58.516
54,251572,2502,TTEMSINGLES-----------R32-001300----------,,Men Singles,OFFICIAL,,,2021-10-28T10:01:28.571
56,251518,2502,TTEWSINGLES-----------R32-001400----------,,Women Singles,OFFICIAL,,,2021-10-28T10:27:27.713
57,251179,2502,TTEWSINGLES-----------R32-001300----------,,Women Singles,OFFICIAL,,,2021-10-28T10:00:02.675
59,250456,2502,TTEMSINGLES-----------R32-000200----------,,Men Singles,OFFICIAL,,,2021-10-27T20:21:43.774
60,250436,2502,TTEWSINGLES-----------R32-001200----------,,Women Singles,OFFICIAL,,,2021-10-27T20:09:49.322
61,250309,2502,TTEMSINGLES-----------R32-000300----------,,Men Singles,OFFICIAL,,,2021-10-27T20:18:03.294
62,249891,2502,TTEMSINGLES-----------R32-001000----------,,Men Singles,OFFICIAL,,,2021-10-27T19:34:19.558
64,249805,2502,TTEMSINGLES-----------R32-001100----------,,Men Singles,OFFICIAL,,,2021-10-27T19:32:59.778
65,249637,2502,TTEWSINGLES-----------R32-001600----------,,Women Singles,OFFICIAL,,,2021-10-27T19:44:38.219
70,248913,2502,TTEWSINGLES-----------R32-001500----------,,Women Singles,OFFICIAL,,,2021-10-27T18:52:34.352
74,247968,2502,TTEWSINGLES-----------R32-000900----------,,Women Singles,OFFICIAL,,,2021-10-27T18:30:36.528
75,247250,2502,TTEMSINGLES-----------R32-000700----------,,Men Singles,OFFICIAL,,,2021-10-27T17:09:08.019
76,247101,2502,TTEMSINGLES-----------R32-000800----------,,Men Singles,OFFICIAL,,,2021-10-27T16:40:32.953
77,247080,2502,TTEMSINGLES-----------R32-000500----------,,Men Singles,OFFICIAL,,,2021-10-27T16:16:55.377
78,246841,2502,TTEWSINGLES-----------R32-000700----------,,Women Singles,OFFICIAL,,,2021-10-27T16:08:02.398
79,246744,2502,TTEMSINGLES-----------R32-000600----------,,Men Singles,OFFICIAL,,,2021-10-27T16:01:57.59
80,246335,2502,TTEWSINGLES-----------R32-000800----------,,Women Singles,OFFICIAL,,,2021-10-27T15:58:02.495
81,246248,2502,TTEMSINGLES-----------R32-000900----------,,Men Singles,OFFICIAL,,,2021-10-27T15:29:28.83
82,246025,2502,TTEWSINGLES-----------R32-000300----------,,Women Singles,OFFICIAL,,,2021-10-27T15:36:31.967
83,245882,2502,TTEMSINGLES-----------R32-000400----------,,Men Singles,OFFICIAL,,,2021-10-27T15:16:17.553
84,245804,2502,TTEWSINGLES-----------R32-000200----------,,Women Singles,OFFICIAL,,,2021-10-27T15:33:22.406
85,245308,2502,TTEWSINGLES-----------R32-000100----------,,Women Singles,OFFICIAL,,,2021-10-27T15:09:29.784
86,245250,2502,TTEWSINGLES-----------R32-000400----------,,Women Singles,OFFICIAL,,,2021-10-27T15:07:17.124
87,245162,2502,TTEMSINGLES-----------R32-000100----------,,Men Singles,OFFICIAL,,,2021-10-27T14:34:11.589
88,244897,2502,TTEMSINGLES-----------R32-001200----------,,Men Singles,OFFICIAL,,,2021-10-27T14:33:08.023
89,244770,2502,TTEWSINGLES-----------R32-000500----------,,Women Singles,OFFICIAL,,,2021-10-27T14:32:15.044
90,244721,2502,TTEWSINGLES-----------R32-000600----------,,Women Singles,OFFICIAL,,,2021-10-27T14:31:19.105
107,240832,2502,TTEMSINGLES-----------RND3000600----------,,Men Singles,OFFICIAL,,,2021-10-26T17:04:36.07
108,240738,2502,TTEMSINGLES-----------RND3000800----------,,Men Singles,OFFICIAL,,,2021-10-26T16:57:56.263
109,240666,2502,TTEMSINGLES-----------RND3000700----------,,Men Singles,OFFICIAL,,,2021-10-26T16:59:41.406
110,240430,2502,TTEMSINGLES-----------RND3000500----------,,Men Singles,OFFICIAL,,,2021-10-26T16:53:22.035
111,239981,2502,TTEMSINGLES-----------RND3000200----------,,Men Singles,OFFICIAL,,,2021-10-26T16:21:03.064
112,239877,2502,TTEMSINGLES-----------RND3000400----------,,Men Singles,OFFICIAL,,,2021-10-26T16:20:22.348
113,239873,2502,TTEMSINGLES-----------RND3000300----------,,Men Singles,OFFICIAL,,,2021-10-26T16:16:15.106
114,239745,2502,TTEMSINGLES-----------RND3000100----------,,Men Singles,OFFICIAL,,,2021-10-26T16:19:22.465
115,239217,2502,TTEWSINGLES-----------RND3000600----------,,Women Singles,OFFICIAL,,,2021-10-26T15:42:28.84
116,239193,2502,TTEWSINGLES-----------RND3000800----------,,Women Singles,OFFICIAL,,,2021-10-26T15:38:50.694
117,239183,2502,TTEWSINGLES-----------RND3000500----------,,Women Singles,OFFICIAL,,,2021-10-26T15:41:52.751
118,239124,2502,TTEWSINGLES-----------RND3000700----------,,Women Singles,OFFICIAL,,,2021-10-26T15:37:33.906
119,238468,2502,TTEWSINGLES-----------RND3000200----------,,Women Singles,OFFICIAL,,,2021-10-26T15:01:16.996
120,238458,2502,TTEWSINGLES-----------RND3000100----------,,Women Singles,OFFICIAL,,,2021-10-26T15:00:24.995
121,238359,2502,TTEWSINGLES-----------RND3000300----------,,Women Singles,OFFICIAL,,,2021-10-26T15:01:42.302
122,238261,2502,TTEWSINGLES-----------RND3000400----------,,Women Singles,OFFICIAL,,,2021-10-26T15:00:54.772
128,237037,2502,TTEMSINGLES-----------RND2001400----------,,Men Singles,OFFICIAL,,,2021-10-25T19:10:49.027
129,236991,2502,TTEMSINGLES-----------RND2001500----------,,Men Singles,OFFICIAL,,,2021-10-25T19:11:16.208
130,236980,2502,TTEMSINGLES-----------RND2001300----------,,Men Singles,OFFICIAL,,,2021-10-25T18:46:07.66
131,236575,2502,TTEMSINGLES-----------RND2001600----------,,Men Singles,OFFICIAL,,,2021-10-25T18:52:25.105
132,236508,2502,TTEMSINGLES-----------RND2001200----------,,Men Singles,OFFICIAL,,,2021-10-25T18:28:52.085
133,236493,2502,TTEMSINGLES-----------RND2001100----------,,Men Singles,OFFICIAL,,,2021-10-25T18:28:22.215
134,234102,2502,TTEMSINGLES-----------RND2001000----------,,Men Singles,OFFICIAL,,,2021-10-25T18:21:00.613
135,233949,2502,TTEMSINGLES-----------RND2000900----------,,Men Singles,OFFICIAL,,,2021-10-25T18:12:40.7
136,233716,2502,TTEMSINGLES-----------RND2000600----------,,Men Singles,OFFICIAL,,,2021-10-25T17:38:25.468
137,233681,2502,TTEMSINGLES-----------RND2000700----------,,Men Singles,OFFICIAL,,,2021-10-25T17:41:44.359
138,233533,2502,TTEMSINGLES-----------RND2000800----------,,Men Singles,OFFICIAL,,,2021-10-25T17:47:16.912
139,233178,2502,TTEMSINGLES-----------RND2000500----------,,Men Singles,OFFICIAL,,,2021-10-25T19:45:00
140,232969,2502,TTEMSINGLES-----------RND2000400----------,,Men Singles,OFFICIAL,,,2021-10-25T17:00:13.846
141,232892,2502,TTEMSINGLES-----------RND2000300----------,,Men Singles,OFFICIAL,,,2021-10-25T17:00:30.851
142,232861,2502,TTEMSINGLES-----------RND2000200----------,,Men Singles,OFFICIAL,,,2021-10-25T17:00:38.818
143,232743,2502,TTEMSINGLES-----------RND2000100----------,,Men Singles,OFFICIAL,,,2021-10-25T17:00:56.328
144,229263,2502,TTEWSINGLES-----------RND2001300----------,,Women Singles,OFFICIAL,,,2021-10-25T15:37:47.646
145,229245,2502,TTEWSINGLES-----------RND2001500----------,,Women Singles,OFFICIAL,,,2021-10-25T15:38:36.895
146,229124,2502,TTEWSINGLES-----------RND2001400----------,,Women Singles,OFFICIAL,,,2021-10-25T15:38:00.961
147,229062,2502,TTEWSINGLES-----------RND2001600----------,,Women Singles,OFFICIAL,,,2021-10-25T15:37:44.267
148,228593,2502,TTEWSINGLES-----------RND2001000----------,,Women Singles,OFFICIAL,,,2021-10-25T15:03:14.262
149,228575,2502,TTEWSINGLES-----------RND2001100----------,,Women Singles,OFFICIAL,,,2021-10-25T15:00:44.811
150,228548,2502,TTEWSINGLES-----------RND2000900----------,,Women Singles,OFFICIAL,,,2021-10-25T15:00:53.51
151,228474,2502,TTEWSINGLES-----------RND2001200----------,,Women Singles,OFFICIAL,,,2021-10-25T15:01:08.772
152,227916,2502,TTEWSINGLES-----------RND2000800----------,,Women Singles,OFFICIAL,,,2021-10-25T11:19:12.091
153,227798,2502,TTEWSINGLES-----------RND2000700----------,,Women Singles,OFFICIAL,,,2021-10-25T11:15:22.739
154,227591,2502,TTEWSINGLES-----------RND2000500----------,,Women Singles,OFFICIAL,,,2021-10-25T10:38:56.386
155,227488,2502,TTEWSINGLES-----------RND2000400----------,,Women Singles,OFFICIAL,,,2021-10-25T10:37:58.228
156,227447,2502,TTEWSINGLES-----------RND2000600----------,,Women Singles,OFFICIAL,,,2021-10-25T10:35:44.46
157,227105,2502,TTEWSINGLES-----------RND2000200----------,,Women Singles,OFFICIAL,,,2021-10-25T10:02:08.735
158,227050,2502,TTEWSINGLES-----------RND2000300----------,,Women Singles,OFFICIAL,,,2021-10-25T10:02:26.604
159,227014,2502,TTEWSINGLES-----------RND2000100----------,,Women Singles,OFFICIAL,,,2021-10-25T10:00:44.847
160,226654,2502,TTEMSINGLES-----------RND1003000----------,,Men Singles,OFFICIAL,,,2021-10-24T20:26:00.133
161,226591,2502,TTEMSINGLES-----------RND1003100----------,,Men Singles,OFFICIAL,,,2021-10-24T20:25:50.536
162,226526,2502,TTEMSINGLES-----------RND1002900----------,,Men Singles,OFFICIAL,,,2021-10-24T20:27:37.197
163,226377,2502,TTEMSINGLES-----------RND1002800----------,,Men Singles,OFFICIAL,,,2021-10-24T20:18:28.621
164,226024,2502,TTEMSINGLES-----------RND1002600----------,,Men Singles,OFFICIAL,,,2021-10-24T11:35:00
165,225978,2502,TTEMSINGLES-----------RND1002500----------,,Men Singles,OFFICIAL,,,2021-10-24T19:44:17.689
166,225952,2502,TTEMSINGLES-----------RND1002700----------,,Men Singles,OFFICIAL,,,2021-10-24T19:46:18.164
167,225879,2502,TTEMSINGLES-----------RND1002300----------,,Men Singles,OFFICIAL,,,2021-10-24T19:51:36.281
168,225641,2502,TTEMSINGLES-----------RND1002100----------,,Men Singles,OFFICIAL,,,2021-10-24T19:32:51.496
169,225373,2502,TTEMSINGLES-----------RND1001900----------,,Men Singles,OFFICIAL,,,2021-10-24T19:08:00.534
170,225304,2502,TTEMSINGLES-----------RND1002200----------,,Men Singles,OFFICIAL,,,2021-10-24T19:26:31.006
171,225123,2502,TTEMSINGLES-----------RND1002000----------,,Men Singles,OFFICIAL,,,2021-10-24T19:11:09.099
172,225049,2502,TTEMSINGLES-----------RND1001700----------,,Men Singles,OFFICIAL,,,2021-10-24T18:59:20.993
173,224902,2502,TTEMSINGLES-----------RND1001800----------,,Men Singles,OFFICIAL,,,2021-10-24T18:45:08.365
174,224549,2502,TTEMSINGLES-----------RND1001600----------,,Men Singles,OFFICIAL,,,2021-10-24T18:46:22.345
175,224369,2502,TTEMSINGLES-----------RND1001300----------,,Men Singles,OFFICIAL,,,2021-10-24T18:21:50.672
176,224305,2502,TTEMSINGLES-----------RND1001500----------,,Men Singles,OFFICIAL,,,2021-10-24T18:32:11.041
177,224106,2502,TTEMSINGLES-----------RND1001400----------,,Men Singles,OFFICIAL,,,2021-10-24T18:11:51.401
178,224071,2502,TTEMSINGLES-----------RND1001200----------,,Men Singles,OFFICIAL,,,2021-10-24T18:07:28.18
179,223780,2502,TTEMSINGLES-----------RND1001100----------,,Men Singles,OFFICIAL,,,2021-10-24T17:57:22.223
180,223539,2502,TTEMSINGLES-----------RND1000800----------,,Men Singles,OFFICIAL,,,2021-10-24T17:36:27.686
181,223392,2502,TTEMSINGLES-----------RND1001000----------,,Men Singles,OFFICIAL,,,2021-10-24T17:37:26.481
182,223283,2502,TTEMSINGLES-----------RND1000700----------,,Men Singles,OFFICIAL,,,2021-10-24T17:25:11.697
183,222897,2502,TTEMSINGLES-----------RND1000500----------,,Men Singles,OFFICIAL,,,2021-10-24T17:21:24.46
184,222787,2502,TTEMSINGLES-----------RND1000400----------,,Men Singles,OFFICIAL,,,2021-10-24T16:47:37.977
185,222759,2502,TTEMSINGLES-----------RND1000600----------,,Men Singles,OFFICIAL,,,2021-10-24T16:47:03.914
186,222464,2502,TTEMSINGLES-----------RND1000300----------,,Men Singles,OFFICIAL,,,2021-10-24T16:47:03.37
187,222427,2502,TTEMSINGLES-----------RND1000200----------,,Men Singles,OFFICIAL,,,2021-10-24T16:54:19.239
188,222014,2502,TTEWSINGLES-----------RND1002600----------,,Women Singles,OFFICIAL,,,2021-10-24T16:12:29.304
189,221751,2502,TTEWSINGLES-----------RND1000200----------,,Women Singles,OFFICIAL,,,2021-10-24T15:37:35.299
190,221673,2502,TTEWSINGLES-----------RND1002300----------,,Women Singles,OFFICIAL,,,2021-10-24T15:38:48.622
191,221636,2502,TTEWSINGLES-----------RND1003100----------,,Women Singles,OFFICIAL,,,2021-10-24T11:35:00
192,221504,2502,TTEWSINGLES-----------RND1001000----------,,Women Singles,OFFICIAL,,,2021-10-24T15:01:45.365
193,221396,2502,TTEWSINGLES-----------RND1001800----------,,Women Singles,OFFICIAL,,,2021-10-24T15:01:20.176
194,221374,2502,TTEWSINGLES-----------RND1001500----------,,Women Singles,OFFICIAL,,,2021-10-24T15:01:47.843
195,221235,2502,TTEWSINGLES-----------RND1000700----------,,Women Singles,OFFICIAL,,,2021-10-24T14:59:44.74
