,iD,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
0,11729910,3131,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2025-08-15T17:45:00
1,11729191,3131,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2025-08-15T17:10:00
5,11724175,3131,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2025-08-15T11:45:00
6,11724022,3131,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2025-08-15T11:10:00
7,11723724,3131,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2025-08-15T10:35:00
8,11723556,3131,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2025-08-15T10:00:00
10,11710502,3131,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2025-08-14T19:25:00
12,11708823,3131,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2025-08-14T18:50:00
13,11708553,3131,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2025-08-14T19:25:00
14,11707364,3131,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2025-08-14T18:15:00
15,11707177,3131,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2025-08-14T18:50:00
16,11706234,3131,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2025-08-14T18:15:00
17,11705672,3131,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2025-08-14T17:40:00
18,11705278,3131,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2025-08-14T17:40:00
23,11700429,3131,TTEMSINGLES-----------8FNL000200----------,,Men Singles,OFFICIAL,,,2025-08-14T13:55:00
24,11700197,3131,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,2025-08-14T13:55:00
25,11700159,3131,TTEMSINGLES-----------8FNL000300----------,,Men Singles,OFFICIAL,,,2025-08-14T13:55:00
26,11700064,3131,TTEMSINGLES-----------8FNL000600----------,,Men Singles,OFFICIAL,,,2025-08-14T13:20:00
27,11699859,3131,TTEMSINGLES-----------8FNL000800----------,,Men Singles,OFFICIAL,,,2025-08-14T13:55:00
28,11699048,3131,TTEMSINGLES-----------8FNL000500----------,,Men Singles,OFFICIAL,,,2025-08-14T13:20:00
29,11699038,3131,TTEMSINGLES-----------8FNL000700----------,,Men Singles,OFFICIAL,,,2025-08-14T13:20:00
30,11698921,3131,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,2025-08-14T13:20:00
31,11698623,3131,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,2025-08-14T12:45:00
32,11698178,3131,TTEWSINGLES-----------8FNL000800----------,,Women Singles,OFFICIAL,,,2025-08-14T12:45:00
33,11697968,3131,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,2025-08-14T12:45:00
34,11697702,3131,TTEWSINGLES-----------8FNL000500----------,,Women Singles,OFFICIAL,,,2025-08-14T12:45:00
35,11697315,3131,TTEWSINGLES-----------8FNL000300----------,,Women Singles,OFFICIAL,,,2025-08-14T12:10:00
36,11697283,3131,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2025-08-14T12:10:00
37,11697074,3131,TTEWSINGLES-----------8FNL000600----------,,Women Singles,OFFICIAL,,,2025-08-14T12:10:00
38,11697024,3131,TTEWSINGLES-----------8FNL000100----------,,Women Singles,OFFICIAL,,,2025-08-14T12:10:00
51,11694129,3131,TTEMSINGLES-----------R32-001300----------,,Men Singles,OFFICIAL,,,2025-08-13T21:05:00
52,11694119,3131,TTEMSINGLES-----------R32-001400----------,,Men Singles,OFFICIAL,,,2025-08-13T21:05:00
53,11693742,3131,TTEMSINGLES-----------R32-000300----------,,Men Singles,OFFICIAL,,,2025-08-13T21:05:00
54,11693667,3131,TTEMSINGLES-----------R32-000200----------,,Men Singles,OFFICIAL,,,2025-08-13T20:30:00
55,11693594,3131,TTEMSINGLES-----------R32-000900----------,,Men Singles,OFFICIAL,,,2025-08-13T20:30:00
56,11693423,3131,TTEMSINGLES-----------R32-001600----------,,Men Singles,OFFICIAL,,,2025-08-13T21:05:00
57,11693197,3131,TTEMSINGLES-----------R32-000800----------,,Men Singles,OFFICIAL,,,2025-08-13T19:55:00
58,11693120,3131,TTEMSINGLES-----------R32-001100----------,,Men Singles,OFFICIAL,,,2025-08-13T20:30:00
59,11693057,3131,TTEMSINGLES-----------R32-000600----------,,Men Singles,OFFICIAL,,,2025-08-13T19:55:00
60,11692785,3131,TTEMSINGLES-----------R32-000500----------,,Men Singles,OFFICIAL,,,2025-08-13T20:30:00
61,11692751,3131,TTEMSINGLES-----------R32-001000----------,,Men Singles,OFFICIAL,,,2025-08-13T19:20:00
62,11692414,3131,TTEMSINGLES-----------R32-001500----------,,Men Singles,OFFICIAL,,,2025-08-13T19:55:00
63,11692291,3131,TTEMSINGLES-----------R32-001200----------,,Men Singles,OFFICIAL,,,2025-08-13T19:55:00
64,11692098,3131,TTEMSINGLES-----------R32-000100----------,,Men Singles,OFFICIAL,,,2025-08-13T19:20:00
65,11691793,3131,TTEMSINGLES-----------R32-000700----------,,Men Singles,OFFICIAL,,,2025-08-13T19:20:00
66,11691716,3131,TTEWSINGLES-----------R32-000600----------,,Women Singles,OFFICIAL,,,2025-08-13T18:45:00
67,11691706,3131,TTEMSINGLES-----------R32-000400----------,,Men Singles,OFFICIAL,,,2025-08-13T19:20:00
68,11691580,3131,TTEWSINGLES-----------R32-000900----------,,Women Singles,OFFICIAL,,,2025-08-13T18:45:00
69,11691182,3131,TTEWSINGLES-----------R32-001500----------,,Women Singles,OFFICIAL,,,2025-08-13T18:10:00
70,11691030,3131,TTEWSINGLES-----------R32-001600----------,,Women Singles,OFFICIAL,,,2025-08-13T18:45:00
71,11690822,3131,TTEWSINGLES-----------R32-000300----------,,Women Singles,OFFICIAL,,,2025-08-13T18:45:00
72,11690800,3131,TTEWSINGLES-----------R32-000700----------,,Women Singles,OFFICIAL,,,2025-08-13T18:10:00
73,11690571,3131,TTEWSINGLES-----------R32-001300----------,,Women Singles,OFFICIAL,,,2025-08-13T18:10:00
74,11690291,3131,TTEWSINGLES-----------R32-001200----------,,Women Singles,OFFICIAL,,,2025-08-13T17:35:00
75,11690244,3131,TTEWSINGLES-----------R32-001100----------,,Women Singles,OFFICIAL,,,2025-08-13T18:10:00
76,11689939,3131,TTEWSINGLES-----------R32-000500----------,,Women Singles,OFFICIAL,,,2025-08-13T17:35:00
77,11689798,3131,TTEWSINGLES-----------R32-001400----------,,Women Singles,OFFICIAL,,,2025-08-13T17:00:00
78,11689555,3131,TTEWSINGLES-----------R32-000400----------,,Women Singles,OFFICIAL,,,2025-08-13T17:35:00
