eventId,BallSponsor,TableSponsor
2234,,Donic
2345,DHS,San-Ei
2346,Butterfly,DHS
2410,DHS,Double Fish
2411,DHS,Double Fish
2473,Butterfly,Butterfly
2479,,Stiga
2480,DHS,Joola
2484,DHS,Butterfly
2487,DHS,Joola
2489,DHS,Double Fish
2502,DHS,Tibhar
2503,DHS,Tibhar
2504,DHS,Tibhar
2510,DHS,Stag
2516,Double Fish,DHS
2519,,Butterfly
2521,DHS,Butterfly
2522,DHS,Butterfly
2531,DHS,Stag
2532,DHS,Double Fish
2533,DHS,Double Fish
2534,DHS,Stag
2535,Double Fish,DHS
2536,Double Fish,DHS
2537,,DHS
2539,DHS,Tibhar
2540,Double Fish,Tibhar
2541,Double Fish,Joola
2542,Double Fish,DHS
2568,DHS,Tibhar
2569,Double Fish,Butterfly
2570,Double Fish,DHS
2574,DHS,Donic
2576,,Butterfly
2589,DHS,Tibhar
2591,,DHS
2592,Double Fish,DHS
2593,Double Fish,DHS
2603,,DHS
2605,DHS,Stag
2606,DHS,Butterfly
2609,,Joola
2611,,San-Ei
2615,,DHS
2619,Double Fish,DHS
2627,DHS,Double Fish
2629,Double Fish,DHS
2630,Double Fish,Butterfly
2658,,Donic
2660,Double Fish,DHS
2670,,DHS
2691,DHS,Stag
2692,DHS,Tibhar
2693,DHS,Butterfly
2694,DHS,Tibhar
2695,DHS,Joola
2696,DHS,Stag
2697,DHS,Stag
2698,DHS,Stag
2699,DHS,Stag
2700,Double Fish,Stag
2701,Double Fish,Stag
2702,Double Fish,Donic
2703,Double Fish,Donic
2704,Double Fish,Butterfly
2705,DHS,Double Fish
2707,,DHS
2714,,DHS
2717,,DHS
2721,DHS,Donic
2722,DHS,Tibhar
2723,Double Fish,DHS
2724,Double Fish,Joola
2728,Double Fish,DHS
2732,Double Fish,Stag
2733,Double Fish,Tibhar
2734,Double Fish,Stag
2735,Double Fish,Butterfly
2737,DHS,Double Fish
2738,Double Fish,Stiga
2739,DHS,Butterfly
2740,Double Fish,Yinhe
2742,DHS,Butterfly
2745,,Butterfly
2750,Double Fish,Joola
2751,Butterfly,DHS
2755,Double Fish,Donic
2775,DHS,Stag
2776,DHS,Double Fish
2777,DHS,Stiga
2787,,Butterfly
2789,,Stag
2794,DHS,Stiga
2860,Ownwin,DHS
2861,DHS,Yinhe
2862,DHS,DHS
2863,DHS,Stiga
2865,DHS,Stiga
2866,DHS,DHS
2867,DHS,Tibhar
2868,DHS,Butterfly
2869,DHS,Tibhar
2870,DHS,Tibhar
2871,DHS,DHS
2872,DHS,Donic
2873,DHS,Butterfly
2877,DHS,Double Fish
2878,Double Fish,Butterfly
2879,Double Fish,Butterfly
2880,Double Fish,Tibhar
2881,Double Fish,Andro
2882,Double Fish,Tibhar
2883,Double Fish,Joola
2884,Double Fish,Joola
2885,Double Fish,DHS
2886,Double Fish,Stiga
2887,Double Fish,Stag
2889,Double Fish,Stag
2890,Double Fish,Andro
2891,Double Fish,Butterfly
2893,Double Fish,Stag
2894,Double Fish,Stag
2899,DHS,Double Fish
2900,DHS,Yinhe
2904,Yinhe,DHS
2905,,DHS
2911,Double Fish,Butterfly
2912,Double Fish,DHS
2915,,Stag
2916,,Stag
2917,,Butterfly
2932,Double Fish,DHS
2934,DHS,Double Fish
2937,,DHS
2940,Tibhar,Tibhar
2941,Double Fish,DHS
2942,Double Fish,DHS
2947,DHS,Double Fish
2959,,Stag
2964,Double Fish,Stag
2965,Double Fish,Stag
2979,Ownwin,DHS
2983,Double Fish,DHS
2997,DHS,Stag
3020,Yinhe,Donic
3023,Yinhe,Butterfly
3024,Yinhe,Tibhar
3025,Yinhe,Tibhar
3026,Yinhe,Stag
3027,Yinhe,DHS
3028,Yinhe,Joola
3030,Yinhe,Butterfly
3031,Yinhe,Butterfly
3058,Yinhe,Stag
3066,,Butterfly
3069,Yinhe,Joola
3082,DHS,Joola
3083,DHS,Stag
3084,DHS,Stag
3085,Yinhe,DHS
3086,Double Fish,DHS
3087,Yinhe,DHS
3088,DHS,Stiga
3089,DHS,Stag
3090,DHS,Tibhar
3091,DHS,Tibhar
3092,DHS,Tibhar
3093,DHS,Tibhar
3094,Nittaku,Nittaku
3096,DHS,Butterfly
3097,Double Fish,DHS
3098,Double Fish,DHS
3099,Tibhar,Tibhar
3100,DHS,Donic
3108,Butterfly,DHS
3109,,DHS
3110,DHS,Donic
3121,DHS,Butterfly
3128,DHS,Double Fish
3131,Yinhe,Yinhe
3133,DHS,Stiga
3175,DHS,Double Fish
3177,Double Fish,Butterfly
3178,Double Fish,Butterfly
3191,Yinhe,
3199,Yinhe,Stag
