eventId,BallSponsor,TableSponsor,EventName
2234,,Donic,2021 ITTF Pan American Championships
2345,DHS,San-Ei,Tokyo 2020 Olympic Games
2346,Butterfly,DHS,2021 World Table Tennis Championships Finals
2410,DHS,Double Fish,WTT Contender Doha 2021
2411,DHS,Double Fish,WTT Star Contender Doha 2021 (Mar 2021)
2473,Butterfly,Butterfly,2021 ITTF African Championships
2479,,Stiga,2021 ITTF Finlandia International Open
2480,DHS,Joola,2021 ITTF Czech International Open
2484,DHS,Butterfly,2021 ITTF Kazakhstan International Open
2487,DHS,Joola,WTT Contender Budapest 2021
2489,DHS,Double Fish,WTT Star Contender Doha 2021 (Sep 2021)
2502,DHS,Tibhar,WTT Contender Tunis 2021
2503,DHS,Tibhar,WTT Contender Laško 2021 presented by I Feel Slovenia
2504,DHS,Tibhar,WTT Contender Novo Mesto 2021 presented by I Feel Slovenia
2510,DHS,Stag,2021 ITTF Ecuador International Open
2516,Double Fish,DHS,WTT Cup Finals Singapore
2519,,Butterfly,WTT Feeder Düsseldorf
2521,DHS,Butterfly,WTT Feeder Düsseldorf I
2522,DHS,Butterfly,WTT Feeder Düsseldorf II
2531,DHS,Stag,WTT Contender Muscat 2022 (Feb 2022)
2532,DHS,Double Fish,WTT Contender Doha 2022
2533,DHS,Double Fish,WTT Star Contender Doha 2022
2534,DHS,Stag,WTT Feeder Doha 2022
2535,Double Fish,DHS,2022 ITTF World Team Championships Finals Presented by China Telecom
2536,Double Fish,DHS,Singapore Smash 2022
2537,,DHS,WTT Macao
2539,DHS,Tibhar,WTT Contender Zagreb 2022
2540,Double Fish,Tibhar,WTT Feeder Otocec 2022 Presented by I Feel Slovenia
2541,Double Fish,Joola,WTT Feeder Olomouc 2022
2542,Double Fish,DHS,WTT Feeder Panagyurishte Presented by Asarel
2568,DHS,Tibhar,WTT Contender Tunis 2022
2569,Double Fish,Butterfly,WTT Feeder Fremont 2022
2570,Double Fish,DHS,WTT Feeder Westchester 2022
2574,DHS,Donic,WTT Contender Lima 2022
2576,,Butterfly,ITTF Africa Cup (May 2022)
2589,DHS,Tibhar,WTT Contender Nova Gorica 2022 Presented by I Feel Slovenia
2591,,DHS,WTT Star Contender European Summer Series 2022
2592,Double Fish,DHS,WTT Feeder European Summer Series 2022
2593,Double Fish,DHS,WTT Champions European Summer Series 2022
2603,,DHS,Paris 2024 Olympic Games
2605,DHS,Stag,WTT Contender Muscat 2022 (Sep 2022)
2606,DHS,Butterfly,WTT Contender Almaty 2022
2609,,Joola,2022 ITTF-Africa Senior Championships
2611,,San-Ei,2022 ITTF Pan American Championships
2615,,DHS,ITTF-Oceania Senior Championships
2619,Double Fish,DHS,WTT Champions Macao 2022 Presented by Galaxy Entertainment Group
2627,DHS,Double Fish,WTT Cup Finals Xinxiang 2022 Presented by China Construction Bank
2629,Double Fish,DHS,Singapore Smash 2023
2630,Double Fish,Butterfly,WTT Feeder Fort Lauderdale 2022
2658,,Donic,WTT Feeder Düsseldorf III 2022
2660,Double Fish,DHS,2023 ITTF World Table Tennis Championships Finals
2670,,DHS,2022 ITTF-Oceania Cup
2691,DHS,Stag,WTT Contender Tunis 2023 Presented by KIA
2692,DHS,Tibhar,WTT Contender Zagreb 2023
2693,DHS,Butterfly,WTT Contender Lagos 2023
2694,DHS,Tibhar,WTT Star Contender Ljubljana 2023 Presented by I Feel Slovenia
2695,DHS,Joola,WTT Star Contender Bangkok 2023
2696,DHS,Stag,WTT Star Contender Goa 2023
2697,DHS,Stag,WTT Contender Amman 2023
2698,DHS,Stag,WTT Contender Doha 2023
2699,DHS,Stag,WTT Contender Durban 2023
2700,Double Fish,Stag,WTT Feeder Amman 2023
2701,Double Fish,Stag,WTT Feeder Doha 2023
2702,Double Fish,Donic,WTT Feeder Düsseldorf 2023
2703,Double Fish,Donic,WTT Feeder Düsseldorf II 2023
2704,Double Fish,Butterfly,WTT Feeder Antalya 2023
2705,DHS,Double Fish,WTT Champions Frankfurt 2023
2707,,DHS,2022 Pacific Cup
2714,,DHS,2023 ITTF-Oceania Cup
2717,,DHS,2023 ITTF-Oceania Olympic Team & Mixed Doubles Qualification
2721,DHS,Donic,WTT Contender Lima 2023
2722,DHS,Tibhar,WTT Contender Rio de Janeiro 2023
2723,Double Fish,DHS,WTT Feeder Panagyurishte 2023 presented by ASAREL 
