PageLink,EventName,EventType,EventTypeId,Country,City,ContinentCode,Subcontinent,StartDateTime,EndDateTime,Tags,EventCode,Comments,EventDateChangeId,EventId,FromStartDate,FromEndDate,ToStartDate,ToEndDate,ShowInCalendar,Type,Event_Tier_Name
,Paris 2024 Olympic Games,Olympic Games,85,France,Paris,europe,western europe,2024-07-26T00:00:00,2024-08-11T00:00:00,,,,,2603,,,,,,,WTT Series
,ITTF World Team Table Tennis Championships Finals Busan 2024 Presented by BNK Busan Bank,WTTC,37,Korea Republic,Busan,asia,east asia,2024-02-16T00:00:00,2024-02-25T00:00:00,,,,,2751,,,,,,,
,WTT Youth Contender Linz 2024,WTT Youth Contender,69,Austria,Linz,europe,western europe,2024-01-11T00:00:00,2024-01-14T00:00:00,,0,,,2801,,,,,,,WTT Youth Series
,WTT Youth Contender Doha 2024,WTT Youth Contender,69,Qatar,Doha,asia,west asia,2024-01-22T00:00:00,2024-01-25T00:00:00,,0,,,2802,,,,,,,WTT Youth Series
,WTT Youth Star Contender Tunis 2024,WTT Youth Star Contender,68,Tunisia,Rades,africa,north africa,2024-01-31T00:00:00,2024-02-04T00:00:00,,0,,,2803,,,,,,,WTT Youth Series
,WTT Youth Contender Vila Real 2024,WTT Youth Contender,69,Portugal,Vila Real,europe,southern europe,2024-02-10T00:00:00,2024-02-16T00:00:00,,0,,,2804,,,,,,,WTT Youth Series
,WTT Youth Contender Tunis 2024,WTT Youth Contender,69,Tunisia,Rades,africa,north africa,2024-02-23T00:00:00,2024-02-26T00:00:00,,0,,,2805,,,,,,,WTT Youth Series
,WTT Youth Contender Algiers 2024,WTT Youth Contender,69,Algeria,Algiers,africa,north africa,2024-02-28T00:00:00,2024-03-02T00:00:00,,0,,,2806,,,,,,,WTT Youth Series
,WTT Youth Contender Panagyurishte 2024 Presented by Asarel,WTT Youth Contender,69,Bulgaria,Panagyurishte,europe,eastern europe,2024-03-07T00:00:00,2024-03-10T00:00:00,,0,,,2807,,,,,,,WTT Youth Series
,WTT Youth Contender Luxembourg 2024,WTT Youth Contender,69,Luxembourg,Luxembourg,europe,western europe,2024-04-17T00:00:00,2024-04-20T00:00:00,,0,,,2809,,,,,,,WTT Youth Series
,WTT Youth Star Contender Singapore 2024 ,WTT Youth Star Contender,68,Singapore,Singapore,asia,south east asia,2024-03-14T00:00:00,2024-03-17T00:00:00,,0,,,2810,,,,,,,WTT Youth Series
,WTT Youth Star Contender Podgorica 2024,WTT Youth Star Contender,68,Montenegro,Podgorica,europe,southern europe,2024-04-10T00:00:00,2024-04-14T00:00:00,,0,,,2811,,,,,,,WTT Youth Series
,WTT Youth Contender Spa 2024,WTT Youth Contender,69,Belgium,Spa,europe,western europe,2024-04-22T00:00:00,2024-04-28T00:00:00,,0,,,2812,,,,,,,WTT Youth Series
,WTT Youth Contender Metz 2024,WTT Youth Contender,69,France,Metz,europe,western europe,2024-04-22T00:00:00,2024-04-28T00:00:00,,0,,,2813,,,,,,,WTT Youth Series
,WTT Youth Contender Gangneung 2024 Presented by SeAH,WTT Youth Contender,69,Korea Republic,Gangneung,asia,east asia,2024-05-08T00:00:00,2024-05-11T00:00:00,,0,,,2814,,,,,,,WTT Youth Series
,WTT Youth Contender Platja D'Aro 2024,WTT Youth Contender,69,Spain,"Platja d'Aro, Girona",europe,southern europe,2024-05-13T00:00:00,2024-05-19T00:00:00,,0,,,2815,,,,,,,WTT Youth Series
,WTT Youth Contender Wladyslawowo 2024,WTT Youth Contender,69,Poland,Wladyslawowo,europe,eastern europe,2024-05-22T00:00:00,2024-05-25T00:00:00,,0,,,2816,,,,,,,WTT Youth Series
,WTT Youth Contender Puerto Princesa 2024,WTT Youth Contender,69,Philippines,Puerto Princesa,asia,south east asia,2024-04-29T00:00:00,2024-05-05T00:00:00,,0,,,2817,,,,,,,WTT Youth Series
,WTT Youth Contender Berlin 2024,WTT Youth Contender,69,Germany,Berlin,europe,western europe,2024-05-27T00:00:00,2024-06-02T00:00:00,,0,,,2819,,,,,,,WTT Youth Series
,WTT Youth Contender Havirov 2024,WTT Youth Contender,69,Czechia,Havirov,europe,eastern europe,2024-05-27T00:00:00,2024-06-02T00:00:00,,0,,,2820,,,,,,,WTT Youth Series
,WTT Youth Contender Helsingborg 2024,WTT Youth Contender,69,Sweden,Helsingborg,europe,northern europe,2024-06-05T00:00:00,2024-06-08T00:00:00,,0,,,2821,,,,,,,WTT Youth Series
,WTT Youth Contender Sandefjord 2024,WTT Youth Contender,69,Norway,Sandefjord,europe,northern europe,2024-06-10T00:00:00,2024-06-13T00:00:00,,0,,,2822,,,,,,,WTT Youth Series
,WTT Youth Star Contender Lima 2024,WTT Youth Star Contender,68,Peru,Lima,americas,south america,2024-06-19T00:00:00,2024-06-23T00:00:00,,0,,,2825,,,,,,,WTT Youth Series
,WTT Youth Contender Hong Kong 2024 Presented by Sunflex,WTT Youth Contender,69,"Hong Kong, China",,asia,east asia,2024-07-08T00:00:00,2024-07-14T00:00:00,,0,,,2826,,,,,,,WTT Youth Series
,WTT Youth Contender Sulaymaniyah 2024,WTT Youth Contender,69,Iraq,Sulaymaniyah,asia,west asia,2024-07-17T00:00:00,2024-07-20T00:00:00,,0,,,2827,,,,,,,WTT Youth Series
,WTT Youth Contender Amman 2024,WTT Youth Contender,69,Jordan,Amman,asia,west asia,2024-07-22T00:00:00,2024-07-25T00:00:00,,0,,,2828,,,,,,,WTT Youth Series
,WTT Youth Contender Almaty 2024,WTT Youth Contender,69,Kazakhstan,Almaty,asia,middle asia,2024-07-27T00:00:00,2024-07-30T00:00:00,,0,,,2829,,,,,,,WTT Youth Series
,WTT Youth Contender Varazdin 2024,WTT Youth Contender,69,Croatia,Varaždin,europe,southern europe,2024-08-27T00:00:00,2024-09-02T00:00:00,,0,,,2830,,,,,,,WTT Youth Series
,WTT Youth Contender Otocec 2024 Presented by I Feel Slovenia,WTT Youth Contender,69,Slovenia,Otocec,europe,southern europe,2024-08-27T00:00:00,2024-09-02T00:00:00,,0,,,2831,,,,,,,WTT Youth Series
,WTT Youth Star Contender Skopje 2024,WTT Youth Star Contender,68,North Macedonia,Skopje,europe,southern europe,2024-09-04T00:00:00,2024-09-08T00:00:00,,0,,,2832,,,,,,,WTT Youth Series
,WTT Youth Contender Bangkok 2024,WTT Youth Contender,69,Thailand,Bangkok,asia,south east asia,2024-09-09T00:00:00,2024-09-15T00:00:00,,0,,,2833,,,,,,,WTT Youth Series
,WTT Youth Contender Podgorica 2024,WTT Youth Contender,69,Montenegro,Podgorica,europe,southern europe,2024-09-10T00:00:00,2024-09-13T00:00:00,,0,,,2834,,,,,,,WTT Youth Series
,WTT Youth Contender Buenos Aires 2024,WTT Youth Contender,69,Argentina,Buenos Aires,americas,south america,2024-11-14T00:00:00,2024-11-17T00:00:00,,0,,,2835,,,,,,,WTT Youth Series
,WTT Youth Contender Vientiane 2024,WTT Youth Contender,69,Laos,Vientiane,asia,south east asia,2024-09-18T00:00:00,2024-09-21T00:00:00,,0,,,2836,,,,,,,WTT Youth Series
,WTT Youth Contender Asunción 2024,WTT Youth Contender,69,Paraguay,Asunción,americas,south america,2024-11-09T00:00:00,2024-11-12T00:00:00,,0,,,2837,,,,,,,WTT Youth Series
