PageLink,EventName,EventType,EventTypeId,Country,City,ContinentCode,Subcontinent,StartDateTime,EndDateTime,Tags,EventCode,Comments,EventDateChangeId,EventId,FromStartDate,FromEndDate,ToStartDate,ToEndDate,ShowInCalendar,Type
,Liebherr 2019 World Table Tennis Championships,WTTC,37,Hungary,Budapest,europe,eastern europe,2019-04-21T00:00:00,2019-04-28T00:00:00,,5000,,,1987,,,,,,
,Seamaster 2019 ITTF World Tour Hungarian Open,World Tour,12,Hungary,Budapest,europe,eastern europe,2019-01-15T00:00:00,2019-01-20T00:00:00,,5001,,,1998,,,,,,
,Universal ITTF Pan American Cup,Continental,36,Puerto Rico,Guaynabo,americas,caribbean,2019-02-01T00:00:00,2019-02-03T00:00:00,,5058,,,1999,,,,,,
,CCB ITTF Europe Top 16 Cup,Continental,36,Switzerland,Montreux,europe,western europe,2019-02-02T00:00:00,2019-02-03T00:00:00,,5059,,,2000,,,,,,
,Butterfly European U21 Championships,Continental,36,Portugal,Gondomar,europe,southern europe,2019-03-07T00:00:00,2019-03-10T00:00:00,,5060,,,2001,,,,,,
,LION 32nd ITTF-ATTU Asian Cup,Continental,36,Japan,Yokohama,asia,east asia,2019-04-05T00:00:00,2019-04-07T00:00:00,,5061,,,2002,,,,,,
,African Junior & Cadet Championships  Accra,Continental,36,Ghana,Accra,africa,west africa,2019-04-07T00:00:00,2019-04-13T00:00:00,,5062,,,2003,,,,,,
,ITTF Oceania Cup,Continental,36,Tahiti,Bora Bora,oceania,polynesia,2019-05-25T00:00:00,2019-05-26T00:00:00,,5063,,,2004,,,,,,
,European Games,Continental Games,71,Belarus,Minsk,europe,eastern europe,2019-06-22T00:00:00,2019-06-29T00:00:00,,5073,,,2005,,,,,,
,ITTF Pan American Junior Championships ,Continental,36,Mexico,Mexico City,americas,central america,2019-06-24T00:00:00,2019-06-29T00:00:00,,5064,,,2006,,,,,,
,European Youth Championships,Continental,36,Czechia,Ostrava,europe,eastern europe,2019-07-07T00:00:00,2019-07-16T00:00:00,,5065,,,2007,,,,,,
,ITTF Africa Cup,Continental,36,Nigeria,Lagos,africa,west africa,2019-08-03T00:00:00,2019-08-05T00:00:00,,5066,,,2009,,,,,,
,LIEBHERR 2019 ITTF European Championships,Continental,36,France,Nantes,europe,western europe,2019-09-03T00:00:00,2019-09-08T00:00:00,,5067,,,2010,,,,,,
,All Africa Games,Continental Games,71,Morocco,Rabat,africa,north africa,2019-08-20T00:00:00,2019-08-30T00:00:00,,5075,,,2012,,,,,,
,Uncle Pop Women's World Cup,World Cup,29,China,Chengdu,asia,east asia,2019-10-18T00:00:00,2019-10-20T00:00:00,,5070,,,2014,,,,,,
,Chengdu Airlines 2019 ITTF Men’s World Cup,World Cup,29,China,Chengdu,asia,east asia,2019-11-29T00:00:00,2019-12-01T00:00:00,,5071,,,2015,,,,,,
,ZEN-NOH 2019 ITTF Team World Cup,World Cup,29,Japan,Tokyo,asia,east asia,2019-11-06T00:00:00,2019-11-10T00:00:00,,5072,,,2016,,,,,,
,NSDF World Junior Table Tennis Championships,WJTTC,40,Thailand,Korat,asia,south east asia,2019-11-24T00:00:00,2019-12-01T00:00:00,,5057,,,2017,,,,,,
,Seamaster 2019 ITTF World Tour Platinum Qatar Open,World Tour,12,Qatar,Doha,asia,west asia,2019-03-26T00:00:00,2019-03-31T00:00:00,,5002,,,2018,,,,,,
,Seamaster 2019 ITTF World Tour Platinum China Open,World Tour,12,China,Shenzhen,asia,east asia,2019-05-28T00:00:00,2019-06-02T00:00:00,,5003,,,2019,,,,,,
,Seamaster 2019 ITTF World Tour Hang Seng Hong Kong Open,World Tour,12,"Hong Kong, China",Hong Kong,asia,east asia,2019-06-04T00:00:00,2019-06-09T00:00:00,,5004,,,2020,,,,,,
,Seamaster 2019 ITTF World Tour Platinum LION Japan Open,World Tour,12,Japan,Sapporo,asia,east asia,2019-06-12T00:00:00,2019-06-16T00:00:00,,5005,,,2021,,,,,,
,Seamaster 2019 ITTF World Tour SHINHAN Korea Open,World Tour,12,Korea Republic,Busan,asia,east asia,2019-07-02T00:00:00,2019-07-07T00:00:00,,5006,,,2022,,,,,,
,Seamaster 2019 ITTF World Tour Platinum Australian Open,World Tour,12,Australia,Geelong,oceania,australasia,2019-07-09T00:00:00,2019-07-14T00:00:00,,5007,,,2023,,,,,,
,ITTF World Tour ASAREL Bulgaria Open,World Tour,12,Bulgaria,Panagyurishte,europe,eastern europe,2019-08-13T00:00:00,2019-08-18T00:00:00,,5008,,,2024,,,,,,
,ITTF World Tour Czech Open,World Tour,12,Czechia,Olomouc,europe,eastern europe,2019-08-20T00:00:00,2019-08-25T00:00:00,,5009,,,2025,,,,,,
,ITTF World Tour Swedish Open,World Tour,12,Sweden,Stockholm,europe,northern europe,2019-10-01T00:00:00,2019-10-06T00:00:00,,5010,,,2026,,,,,,
,ITTF World Tour Platinum German Open,World Tour,12,Germany,Bremen,europe,western europe,2019-10-08T00:00:00,2019-10-13T00:00:00,,5011,,,2027,,,,,,
,2019 ITTF World Tour Platinum bet-at-home.com Austrian Open,World Tour,12,Austria,Linz,europe,western europe,2019-11-12T00:00:00,2019-11-17T00:00:00,,5012,,,2028,,,,,,
,Agricultural Bank of China ITTF World Tour Grand Finals  Zhengzhou,World Tour,12,China,Zhengzhou,asia,east asia,2019-12-12T00:00:00,2019-12-15T00:00:00,,5013,,,2029,,,,,,
,Seamaster 2019 ITTF Challenge Plus Portugal Open,Challenge,10,Portugal,Lisboa,europe,southern europe,2019-02-13T00:00:00,2019-02-17T00:00:00,,5014,,,2030,,,,,,
,Seamaster 2019 ITTF Challenge Plus Oman Open,Challenge,10,Oman,Muscat,asia,west asia,2019-03-20T00:00:00,2019-03-24T00:00:00,,5015,,,2031,,,,,,
,Seamaster 2019 ITTF Challenge Spanish Open,Challenge,10,Spain,Guadalajara,europe,southern europe,2019-03-20T00:00:00,2019-03-24T00:00:00,,5016,,,2032,,,,,,
,Seamaster 2019 ITTF Challenge Serbia Open,Challenge,10,Serbia,Belgrade,europe,southern europe,2019-05-01T00:00:00,2019-05-05T00:00:00,,5017,,,2033,,,,,,
,Seamaster 2019 ITTF Challenge Slovenia Open,Challenge,10,Slovenia,Otocec,europe,southern europe,2019-05-08T00:00:00,2019-05-12T00:00:00,,5018,,,2034,,,,,,
,Seamaster 2019 ITTF Challenge Croatia Open,Challenge,10,Croatia,Zagreb,europe,southern europe,2019-05-14T00:00:00,2019-05-18T00:00:00,,5019,,,2035,,,,,,
,ITTF Challenge Thailand Open,Challenge,10,Thailand,Bangkok,asia,south east asia,2019-05-22T00:00:00,2019-05-26T00:00:00,,5020,,,2036,,,,,,
,Seamaster 2019 ITTF Challenge Plus Pyongyang Open,Challenge,10,Korea DPR,Pyongyang,asia,east asia,2019-07-24T00:00:00,2019-07-28T00:00:00,,5021,,,2037,,,,,,
,ITTF Challenge Plus Nigeria Open,Challenge,10,Nigeria,Lagos,africa,west africa,2019-08-07T00:00:00,2019-08-11T00:00:00,,5022,,,2038,,,,,,
,ITTF Challenge Plus Paraguay Open,Challenge,10,Paraguay,Asuncion,americas,south america,2019-09-10T00:00:00,2019-09-14T00:00:00,,5023,,,2039,,,,,,
,ITTF Challenge Polish Open,Challenge,10,Poland,Wladyslawowo,europe,eastern europe,2019-10-16T00:00:00,2019-10-20T00:00:00,,5025,,,2041,,,,,,
,2019 ITTF Challenge Belgosstrakh Belarus Open,Challenge,10,Belarus,Minsk,europe,eastern europe,2019-10-30T00:00:00,2019-11-03T00:00:00,,5026,,,2042,,,,,,
,ITTF Challenge Indonesia Open,Challenge,10,Indonesia,Jogjakarta,asia,south east asia,2019-11-13T00:00:00,2019-11-17T00:00:00,,5028,,,2044,,,,,,
,2019 ITTF Challenge Plus Benemax-Virgo North American Open,Challenge,10,Canada,Markham,americas,northern america,2019-12-04T00:00:00,2019-12-08T00:00:00,,5030,,,2046,,,,,,
,ITTF Junior Circuit Premium Bahrain Junior & Cadet Open,World Junior Circuit,15,Bahrain,Manama,asia,west asia,2019-02-07T00:00:00,2019-02-11T00:00:00,,5031,,,2047,,,,,,
