PageLink,EventName,EventType,EventTypeId,Country,City,ContinentCode,Subcontinent,StartDateTime,EndDateTime,Tags,EventCode,Comments,EventDateChangeId,EventId,FromStartDate,FromEndDate,ToStartDate,ToEndDate,ShowInCalendar,Type,Event_Tier_Name
,WTT Feeder Düsseldorf I,WTT Feeder,81,Germany,Düsseldorf,europe,western europe,2022-01-12T00:00:00,2022-01-15T00:00:00,,,,,2521,,,,,,,WTT Feeder Series
,WTT Feeder Düsseldorf II,WTT Feeder,81,Germany,Düsseldorf,europe,western europe,2022-01-17T00:00:00,2022-01-20T00:00:00,,,,,2522,,,,,,,WTT Feeder Series
,WTT Youth Star Contender Tunis 2022,WTT Youth Star Contender,68,Tunisia,Rades,africa,north africa,2022-02-02T00:00:00,2022-02-06T00:00:00,,0,,,2523,,,,,,,WTT Youth Series
,WTT Youth Contender Spa 2022,WTT Youth Contender,69,Belgium,Spa,europe,western europe,2022-02-14T00:00:00,2022-02-20T00:00:00,,0,,,2525,,,,,,,WTT Youth Series
,WTT Youth Contender Metz 2022,WTT Youth Contender,69,France,Metz,europe,western europe,2022-02-14T00:00:00,2022-02-20T00:00:00,,0,,,2526,,,,,,,WTT Youth Series
,WTT Youth Contender Vila Real 2022,WTT Youth Contender,69,Portugal,Vila Real,europe,southern europe,2022-02-26T00:00:00,2022-03-04T00:00:00,,0,,,2527,,,,,,,WTT Youth Series
,WTT Youth Star Contender Doha 2022,WTT Youth Star Contender,68,Qatar,Doha,asia,west asia,2022-03-07T00:00:00,2022-03-11T00:00:00,,0,,,2528,,,,,,,WTT Youth Series
,WTT Youth Contender Sulaymaniyah 2022,WTT Youth Contender,69,Iraq,Sulaymaniyah,asia,west asia,2022-03-14T00:00:00,2022-03-20T00:00:00,,0,,,2529,,,,,,,WTT Youth Series
,WTT Contender Muscat 2022,WTT Contender,34,Oman,Muscat,asia,west asia,2022-02-27T00:00:00,2022-03-05T00:00:00,,,,,2531,,,,,,,WTT Series
,WTT Contender Doha 2022,WTT Contender,34,Qatar,Doha,asia,west asia,2022-03-18T00:00:00,2022-03-24T00:00:00,,,,,2532,,,,,,,WTT Series
,WTT Star Contender Doha 2022,WTT Star Contender,35,Qatar,Doha,asia,west asia,2022-03-25T00:00:00,2022-03-31T00:00:00,,,,,2533,,,,,,,WTT Series
,WTT Feeder Doha 2022,WTT Feeder,81,Qatar,Doha,asia,west asia,2022-03-13T00:00:00,2022-03-17T00:00:00,,,,,2534,,,,,,,WTT Feeder Series
,2022 ITTF World Team Championships Finals Presented by China Telecom,WTTC,37,China,Chengdu,asia,east asia,2022-09-30T00:00:00,2022-10-09T00:00:00,,,,,2535,,,,,,,
,Singapore Smash 2022,WTT Grand Smash,64,Singapore,Singapore,asia,south east asia,2022-03-07T00:00:00,2022-03-20T00:00:00,,,,,2536,,,,,,,WTT Series
