PageLink,EventName,EventType,EventTypeId,Country,City,ContinentCode,Subcontinent,StartDateTime,EndDateTime,Tags,EventCode,Comments,EventDateChangeId,EventId,FromStartDate,FromEndDate,ToStartDate,ToEndDate,ShowInCalendar,Type,Event_Tier_Name
https://asia.ittf.com/pages/37/1st%20asian%20veteran%20table%20tennis%20championships_8675,ITTF-Americas Masters Championships Asuncion 2026 ,Veteran Championships,55,Paraguay,Asunción,americas,south america,2026-02-02T00:00:00,2026-02-07T00:00:00,,,,,3163,,,,,,,
,ITTF World Team Table Tennis Championships Finals London 2026,WTTC,37,England,London,europe,northern europe,2026-04-28T00:00:00,2026-05-10T00:00:00,,,,,3216,,,,,,,
,WTT Champions Doha 2026,WTT Champions,65,Qatar,Doha,asia,west asia,2026-01-07T00:00:00,2026-01-11T00:00:00,,,,,3231,,,,,,,WTT Series
,WTT Star Contender Doha 2026,WTT Star Contender,35,Qatar,Doha,asia,west asia,2026-01-13T00:00:00,2026-01-18T00:00:00,,,,,3232,,,,,,,WTT Series
,WTT Star Contender Chennai 2026,WTT Star Contender,35,India,Chennai,asia,south asia,2026-02-10T00:00:00,2026-02-15T00:00:00,,,,,3233,,,,,,,WTT Series
,Singapore Smash 2026 Presented by Resorts World Sentosa ,WTT Grand Smash,64,Singapore,Singapore,asia,south east asia,2026-02-19T00:00:00,2026-03-01T00:00:00,,,,,3234,,,,,,,WTT Series
,WTT Champions Chongqing 2026,WTT Champions,65,China,Chongqing,asia,east asia,2026-03-10T00:00:00,2026-03-15T00:00:00,,,,,3235,,,,,,,WTT Series
,WTT Contender Tunisia 2026,WTT Contender,34,Tunisia,,africa,north africa,2026-03-23T00:00:00,2026-03-28T00:00:00,,,,,3236,,,,,,,WTT Series
,WTT Contender Taiyuan 2026,WTT Contender,34,China,Taiyuan,asia,east asia,2026-04-07T00:00:00,2026-04-12T00:00:00,,,,,3237,,,,,,,WTT Series
,WTT Contender Lagos 2026,WTT Contender,34,Nigeria,Lagos,africa,west africa,2026-05-19T00:00:00,2026-05-24T00:00:00,,,,,3238,,,,,,,WTT Series
,WTT Contender Skopje 2026,WTT Contender,34,North Macedonia,Skopje,europe,southern europe,2026-06-01T00:00:00,2026-06-07T00:00:00,,,,,3239,,,,,,,WTT Series
,WTT Contender Zagreb 2026,WTT Contender,34,Croatia,Zagreb,europe,southern europe,2026-06-09T00:00:00,2026-06-14T00:00:00,,,,,3240,,,,,,,WTT Series
,WTT Star Contender Ljubljana 2026,WTT Star Contender,35,Slovenia,Ljubljana,europe,southern europe,2026-06-16T00:00:00,2026-06-21T00:00:00,,,,,3241,,,,,,,WTT Series
,United States Smash 2026,WTT Grand Smash,64,USA,,americas,northern america,2026-06-25T00:00:00,2026-07-05T00:00:00,,,,,3242,,,,,,,WTT Series
,WTT Contender Buenos Aires 2026,WTT Contender,34,Argentina,Buenos Aires,americas,south america,2026-07-14T00:00:00,2026-07-19T00:00:00,,,,,3243,,,,,,,WTT Series
,WTT Star Contender Brazil 2026,WTT Star Contender,35,Brazil,TBC,americas,south america,2026-07-21T00:00:00,2026-07-26T00:00:00,,,,,3244,,,,,,,WTT Series
,WTT Champions Yokohama 2026,WTT Champions,65,Japan,Yokohama,asia,east asia,2026-08-05T00:00:00,2026-08-09T00:00:00,,,,,3245,,,,,,,WTT Series
,Europe Smash - Sweden 2026,WTT Grand Smash,64,Sweden,Malmö,europe,northern europe,2026-08-13T00:00:00,2026-08-23T00:00:00,,,,,3246,,,,,,,WTT Series
,WTT Contender Almaty 2026,WTT Contender,34,Kazakhstan,Almaty,asia,middle asia,2026-09-01T00:00:00,2026-09-06T00:00:00,,,,,3247,,,,,,,WTT Series
,WTT Champions Macao 2026,WTT Champions,65,"Macao, China",Macao,asia,east asia,2026-09-08T00:00:00,2026-09-13T00:00:00,,,,,3248,,,,,,,WTT Series
,China Smash 2026,WTT Grand Smash,64,China,,asia,east asia,2026-10-01T00:00:00,2026-10-11T00:00:00,,,,,3249,,,,,,,WTT Series
,WTT Champions Montpellier 2026,WTT Champions,65,France,Montpellier,europe,western europe,2026-10-27T00:00:00,2026-11-01T00:00:00,,,,,3250,,,,,,,WTT Series
,WTT Contender Muscat 2026,WTT Contender,34,Oman,Muscat,asia,west asia,2026-01-19T00:00:00,2026-01-24T00:00:00,,,,,3251,,,,,,,WTT Series
,WTT Champions Germany 2026,WTT Champions,65,Germany,,europe,western europe,2026-11-03T00:00:00,2026-11-08T00:00:00,,,,,3252,,,,,,,WTT Series
,WTT Contender Panagyurishte 2026,WTT Contender,34,Bulgaria,Panagyurishte,europe,eastern europe,2026-09-08T00:00:00,2026-09-13T00:00:00,,,,,3253,,,,,,,WTT Series
,WTT Star Contender London 2026,WTT Star Contender,35,England,London,europe,northern europe,2026-09-15T00:00:00,2026-09-20T00:00:00,,,,,3254,,,,,,,WTT Series
,WTT Finals Hong Kong 2026,WTT Finals,75,"Hong Kong, China",,asia,east asia,2026-12-08T00:00:00,2026-12-13T00:00:00,,,,,3255,,,,,,,WTT Series
,WTT Star Contender Muscat 2026,WTT Star Contender,35,Oman,Muscat,asia,west asia,2026-11-16T00:00:00,2026-11-21T00:00:00,,,,,3256,,,,,,,WTT Series
,WTT Contender Istanbul 2026,WTT Contender,34,Türkiye,Istanbul,europe,southern europe,2026-11-10T00:00:00,2026-11-15T00:00:00,,,,,3257,,,,,,,WTT Series
,WTT Feeder Cappadocia 2026,WTT Feeder,81,Türkiye,Cappadocia - Nevsehir,europe,southern europe,2026-02-02T00:00:00,2026-02-06T00:00:00,,,,,3266,,,,,,,WTT Feeder Series
,WTT Feeder Düsseldorf 2026,WTT Feeder,81,Germany,Düsseldorf,europe,western europe,2026-03-02T00:00:00,2026-03-06T00:00:00,,,,,3267,,,,,,,WTT Feeder Series
,WTT Feeder Otocec 2026,WTT Feeder,81,Slovenia,Otocec,europe,southern europe,2026-03-07T00:00:00,2026-03-11T00:00:00,,,,,3268,,,,,,,WTT Feeder Series
