iD,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
6764715,2882,TTEWDOUBLES-----------FNL-000100----------,,Women Doubles,OFFICIAL,,,2024-04-07T17:40:00
6764559,2882,TTEMDOUBLES-----------FNL-000100----------,,Men Doubles,OFFICIAL,,,2024-04-07T18:15:00
6764494,2882,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2024-04-07T17:05:00
6764195,2882,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2024-04-07T16:30:00
6763965,2882,TTEXDOUBLES-----------FNL-000100----------,,Mixed Doubles,OFFICIAL,,,2024-04-06T19:00:00
6763718,2882,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2024-04-06T18:15:00
6763464,2882,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2024-04-06T17:40:00
6763318,2882,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2024-04-06T17:05:00
6763201,2882,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2024-04-06T16:30:00
6762964,2882,TTEMDOUBLES-----------SFNL000100----------,,Men Doubles,OFFICIAL,,,2024-04-06T13:45:00
6762828,2882,TTEMDOUBLES-----------SFNL000200----------,,Men Doubles,OFFICIAL,,,2024-04-06T13:45:00
6762594,2882,TTEWDOUBLES-----------SFNL000100----------,,Women Doubles,OFFICIAL,,,2024-04-06T13:10:00
6762307,2882,TTEWDOUBLES-----------SFNL000200----------,,Women Doubles,OFFICIAL,,,2024-04-06T13:10:00
6762071,2882,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2024-04-06T12:35:00
6762063,2882,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2024-04-06T12:35:00
6761709,2882,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2024-04-06T12:00:00
6761699,2882,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2024-04-06T12:00:00
6761261,2882,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2024-04-06T11:25:00
6761112,2882,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2024-04-06T11:25:00
6760849,2882,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2024-04-06T10:50:00
6760812,2882,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2024-04-06T10:50:00
6760509,2882,TTEXDOUBLES-----------SFNL000100----------,,Mixed Doubles,OFFICIAL,,,2024-04-06T10:00:00
6760472,2882,TTEXDOUBLES-----------SFNL000200----------,,Mixed Doubles,OFFICIAL,,,2024-04-06T10:00:00
6759933,2882,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2024-04-05T20:35:00
6759829,2882,TTEWSINGLES-----------8FNL000800----------,,Women Singles,OFFICIAL,,,2024-04-05T20:35:00
6759786,2882,TTEWSINGLES-----------8FNL000600----------,,Women Singles,OFFICIAL,,,2024-04-05T20:35:00
6759645,2882,TTEWSINGLES-----------8FNL000500----------,,Women Singles,OFFICIAL,,,2024-04-05T20:35:00
6759317,2882,TTEWSINGLES-----------8FNL000300----------,,Women Singles,OFFICIAL,,,2024-04-05T20:00:00
6759132,2882,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,2024-04-05T20:00:00
6758931,2882,TTEWSINGLES-----------8FNL000100----------,,Women Singles,OFFICIAL,,,2024-04-05T20:00:00
6758908,2882,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,2024-04-05T20:00:00
6758343,2882,TTEMSINGLES-----------8FNL000700----------,,Men Singles,OFFICIAL,,,2024-04-05T19:25:00
6758282,2882,TTEMSINGLES-----------8FNL000800----------,,Men Singles,OFFICIAL,,,2024-04-05T19:25:00
6758257,2882,TTEMSINGLES-----------8FNL000500----------,,Men Singles,OFFICIAL,,,2024-04-05T19:25:00
6758223,2882,TTEMSINGLES-----------8FNL000300----------,,Men Singles,OFFICIAL,,,2024-04-05T19:25:00
6757716,2882,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,2024-04-05T18:50:00
6757581,2882,TTEMSINGLES-----------8FNL000200----------,,Men Singles,OFFICIAL,,,2024-04-05T18:50:00
6757399,2882,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,2024-04-05T18:50:00
6757346,2882,TTEMSINGLES-----------8FNL000600----------,,Men Singles,OFFICIAL,,,2024-04-05T18:50:00
6756753,2882,TTEWDOUBLES-----------QFNL000200----------,,Women Doubles,OFFICIAL,,,2024-04-05T18:15:00
6756712,2882,TTEWDOUBLES-----------QFNL000100----------,,Women Doubles,OFFICIAL,,,2024-04-05T18:15:00
6756491,2882,TTEWDOUBLES-----------QFNL000300----------,,Women Doubles,OFFICIAL,,,2024-04-05T18:15:00
6756456,2882,TTEWDOUBLES-----------QFNL000400----------,,Women Doubles,OFFICIAL,,,2024-04-05T18:15:00
