id,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
1756716,2541,TTEMDOUBLES-----------FNL-000100----------,,Men Doubles,OFFICIAL,,,2022-08-28T16:02:19.5
1756711,2541,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2022-08-28T17:41:09.385
1756448,2541,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2022-08-28T16:46:35.818
1754919,2541,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2022-08-28T12:28:41.902
1754588,2541,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2022-08-28T11:41:05.646
1754362,2541,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2022-08-28T10:47:48.521
1754090,2541,TTEWDOUBLES-----------FNL-000100----------,,Women Doubles,OFFICIAL,,,2022-08-28T20:35:00
1754084,2541,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2022-08-28T18:35:00
1753850,2541,TTEXDOUBLES-----------FNL-000100----------,,Mixed Doubles,OFFICIAL,,,2022-08-27T18:46:18.244
1753590,2541,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2022-08-27T17:42:55.828
1752893,2541,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2022-08-27T16:45:26.109
1752452,2541,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2022-08-27T16:00:11.771
1752243,2541,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2022-08-27T14:48:55.756
1751897,2541,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2022-08-27T13:44:11.344
1751642,2541,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2022-08-27T12:46:34.353
1751392,2541,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2022-08-27T11:41:51.618
1751076,2541,TTEMDOUBLES-----------SFNL000200----------,,Men Doubles,OFFICIAL,,,2022-08-27T11:06:38.937
1751058,2541,TTEMDOUBLES-----------SFNL000100----------,,Men Doubles,OFFICIAL,,,2022-08-27T11:02:51.584
1750735,2541,TTEWDOUBLES-----------SFNL000100----------,,Women Doubles,OFFICIAL,,,2022-08-27T10:28:32.225
1750730,2541,TTEWDOUBLES-----------SFNL000200----------,,Women Doubles,OFFICIAL,,,2022-08-27T10:23:18.32
1750397,2541,TTEXDOUBLES-----------SFNL000200----------,,Mixed Doubles,OFFICIAL,,,2022-08-27T09:59:32.153
1750366,2541,TTEXDOUBLES-----------SFNL000100----------,,Mixed Doubles,OFFICIAL,,,2022-08-27T10:00:15.661
1750243,2541,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2022-08-27T20:15:00
1750143,2541,TTEWSINGLES-----------8FNL000500----------,,Women Singles,OFFICIAL,,,2022-08-26T20:55:21.81
1750028,2541,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2022-08-26T20:38:59.45
1749986,2541,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,2022-08-26T20:59:27.21
1749501,2541,TTEWSINGLES-----------8FNL000800----------,,Women Singles,OFFICIAL,,,2022-08-26T20:33:08.254
1749499,2541,TTEWSINGLES-----------8FNL000600----------,,Women Singles,OFFICIAL,,,2022-08-26T20:32:29.151
1749443,2541,TTEWSINGLES-----------8FNL000300----------,,Women Singles,OFFICIAL,,,2022-08-26T20:11:24.677
1749097,2541,TTEWSINGLES-----------8FNL000100----------,,Women Singles,OFFICIAL,,,2022-08-26T19:45:52.491
1749033,2541,TTEMSINGLES-----------8FNL000600----------,,Men Singles,OFFICIAL,,,2022-08-26T19:52:39.994
1749011,2541,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,2022-08-26T19:41:43.583
1748642,2541,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,2022-08-26T19:12:12.492
1748311,2541,TTEMSINGLES-----------8FNL000200----------,,Men Singles,OFFICIAL,,,2022-08-26T19:07:56.524
1748183,2541,TTEMSINGLES-----------8FNL000700----------,,Men Singles,OFFICIAL,,,2022-08-26T18:56:57.942
1748125,2541,TTEMSINGLES-----------8FNL000800----------,,Men Singles,OFFICIAL,,,2022-08-26T18:55:12.708
1747546,2541,TTEMSINGLES-----------8FNL000500----------,,Men Singles,OFFICIAL,,,2022-08-26T18:05:55.713
1747457,2541,TTEWDOUBLES-----------QFNL000200----------,,Women Doubles,OFFICIAL,,,2022-08-26T18:22:14.044
1747300,2541,TTEMSINGLES-----------8FNL000300----------,,Men Singles,OFFICIAL,,,2022-08-26T18:04:40.139
1747221,2541,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,2022-08-26T18:14:23.102
1746659,2541,TTEMDOUBLES-----------QFNL000300----------,,Men Doubles,OFFICIAL,,,2022-08-26T17:36:34.653
1746499,2541,TTEWDOUBLES-----------QFNL000400----------,,Women Doubles,OFFICIAL,,,2022-08-26T17:50:02.381
1746338,2541,TTEWDOUBLES-----------QFNL000300----------,,Women Doubles,OFFICIAL,,,2022-08-26T17:28:24.232
1746319,2541,TTEWDOUBLES-----------QFNL000100----------,,Women Doubles,OFFICIAL,,,2022-08-26T17:42:27.147
1746081,2541,TTEMDOUBLES-----------QFNL000400----------,,Men Doubles,OFFICIAL,,,2022-08-26T17:27:59.267
1745851,2541,TTEWSINGLES-----------R32-001600----------,,Women Singles,OFFICIAL,,,2022-08-26T16:41:50.508
1745746,2541,TTEMDOUBLES-----------QFNL000200----------,,Men Doubles,OFFICIAL,,,2022-08-26T16:54:00.496
1745744,2541,TTEWSINGLES-----------R32-001400----------,,Women Singles,OFFICIAL,,,2022-08-26T16:26:01.202
1745687,2541,TTEMDOUBLES-----------QFNL000100----------,,Men Doubles,OFFICIAL,,,2022-08-26T16:58:53.703
1745168,2541,TTEWSINGLES-----------R32-001500----------,,Women Singles,OFFICIAL,,,2022-08-26T16:12:57.47
1744994,2541,TTEWSINGLES-----------R32-001300----------,,Women Singles,OFFICIAL,,,2022-08-26T16:14:52.534
1744894,2541,TTEWSINGLES-----------R32-000900----------,,Women Singles,OFFICIAL,,,2022-08-26T16:03:56.621
1744602,2541,TTEWSINGLES-----------R32-001000----------,,Women Singles,OFFICIAL,,,2022-08-26T15:29:42.491
1744397,2541,TTEWSINGLES-----------R32-001100----------,,Women Singles,OFFICIAL,,,2022-08-26T15:32:14.75
1744332,2541,TTEWSINGLES-----------R32-001200----------,,Women Singles,OFFICIAL,,,2022-08-26T15:31:43.739
1744181,2541,TTEMSINGLES-----------R32-001600----------,,Men Singles,OFFICIAL,,,2022-08-26T15:27:38.804
1743524,2541,TTEMSINGLES-----------R32-001300----------,,Men Singles,OFFICIAL,,,2022-08-26T14:56:23.544
1743521,2541,TTEMSINGLES-----------R32-001500----------,,Men Singles,OFFICIAL,,,2022-08-26T14:49:17.126
1743509,2541,TTEMSINGLES-----------R32-000900----------,,Men Singles,OFFICIAL,,,2022-08-26T14:28:10.303
1743262,2541,TTEMSINGLES-----------R32-001400----------,,Men Singles,OFFICIAL,,,2022-08-26T14:28:05.885
1742977,2541,TTEMSINGLES-----------R32-001000----------,,Men Singles,OFFICIAL,,,2022-08-26T14:05:34.937
1742861,2541,TTEMSINGLES-----------R32-001100----------,,Men Singles,OFFICIAL,,,2022-08-26T13:53:35.457
1742462,2541,TTEWSINGLES-----------R32-000600----------,,Women Singles,OFFICIAL,,,2022-08-26T13:31:35.521
1742305,2541,TTEMSINGLES-----------R32-000800----------,,Men Singles,OFFICIAL,,,2022-08-26T13:45:56.294
1742061,2541,TTEWSINGLES-----------R32-000500----------,,Women Singles,OFFICIAL,,,2022-08-26T13:07:14.054
1741839,2541,TTEWSINGLES-----------R32-000300----------,,Women Singles,OFFICIAL,,,2022-08-26T13:02:02.822
1741732,2541,TTEWSINGLES-----------R32-000800----------,,Women Singles,OFFICIAL,,,2022-08-26T12:49:43.055
1741437,2541,TTEWSINGLES-----------R32-000400----------,,Women Singles,OFFICIAL,,,2022-08-26T12:54:19.267
1741091,2541,TTEWSINGLES-----------R32-000100----------,,Women Singles,OFFICIAL,,,2022-08-26T12:19:22.748
1740984,2541,TTEWSINGLES-----------R32-000700----------,,Women Singles,OFFICIAL,,,2022-08-26T12:08:49.833
1740809,2541,TTEMSINGLES-----------R32-000400----------,,Men Singles,OFFICIAL,,,2022-08-26T11:53:49.644
1740746,2541,TTEWSINGLES-----------R32-000200----------,,Women Singles,OFFICIAL,,,2022-08-26T12:04:11.416
