id,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
1258094,2576,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2022-05-28T13:14:17.946
1255273,2576,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2022-05-28T12:36:18.964
1254501,2576,TTEWSINGLES-----------34--000100----------,,Women Singles,OFFICIAL,,,2022-05-28T14:00:00
1254468,2576,TTEMSINGLES-----------34--000100----------,,Men Singles,OFFICIAL,,,2022-05-28T14:00:00
1254202,2576,TTEWSINGLES-----------56--000100----------,,Women Singles,OFFICIAL,,,2022-05-28T14:00:00
1253978,2576,TTEWSINGLES-----------910-000100----------,,Women Singles,OFFICIAL,,,2022-05-28T10:09:19.582
1253909,2576,TTEMSINGLES-----------910-000100----------,,Men Singles,OFFICIAL,,,2022-05-28T14:00:00
1253816,2576,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2022-05-28T09:28:01.341
1253346,2576,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2022-05-28T08:08:28.693
1252472,2576,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2022-05-28T07:14:20.348
1251622,2576,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2022-05-28T06:06:48.506
1249733,2576,TTEMSINGLES-----------1718000100----------,,Men Singles,OFFICIAL,,,2022-05-27T20:10:00
1249730,2576,TTEWSINGLES-----------58--000200----------,,Women Singles,OFFICIAL,,,2022-05-27T19:35:00
1249727,2576,TTEWSINGLES-----------1718000100----------,,Women Singles,OFFICIAL,,,2022-05-27T20:10:00
1249724,2576,TTEMSINGLES-----------58--000200----------,,Men Singles,OFFICIAL,,,2022-05-27T19:35:00
1249721,2576,TTEMSINGLES-----------58--000100----------,,Men Singles,OFFICIAL,,,2022-05-27T19:35:00
1249718,2576,TTEWSINGLES-----------58--000100----------,,Women Singles,OFFICIAL,,,2022-05-27T19:35:00
1249715,2576,TTEWSINGLES-----------912-000100----------,,Women Singles,OFFICIAL,,,2022-05-27T19:00:00
1249712,2576,TTEWSINGLES-----------912-000200----------,,Women Singles,OFFICIAL,,,2022-05-27T19:00:00
1249709,2576,TTEMSINGLES-----------912-000200----------,,Men Singles,OFFICIAL,,,2022-05-27T19:00:00
1249706,2576,TTEMSINGLES-----------912-000100----------,,Men Singles,OFFICIAL,,,2022-05-27T19:00:00
1249703,2576,TTEMSINGLES-----------1720000100----------,,Men Singles,OFFICIAL,,,2022-05-27T18:25:00
1249700,2576,TTEMSINGLES-----------1720000200----------,,Men Singles,OFFICIAL,,,2022-05-27T18:25:00
1249697,2576,TTEWSINGLES-----------1720000200----------,,Women Singles,OFFICIAL,,,2022-05-27T18:25:00
1249694,2576,TTEWSINGLES-----------1720000100----------,,Women Singles,OFFICIAL,,,2022-05-27T18:25:00
1249691,2576,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2022-05-27T16:45:00
1249679,2576,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2022-05-27T16:45:00
1249670,2576,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2022-05-27T16:45:00
1249658,2576,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2022-05-27T16:45:00
1249652,2576,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2022-05-27T13:45:00
1249649,2576,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2022-05-27T13:45:00
1249646,2576,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2022-05-27T13:45:00
1249643,2576,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2022-05-27T13:45:00
1249640,2576,TTEWSINGLES-----------916-000300----------,,Women Singles,OFFICIAL,,,2022-05-27T13:45:00
1249637,2576,TTEMSINGLES-----------916-000300----------,,Men Singles,OFFICIAL,,,2022-05-27T13:45:00
1249634,2576,TTEWSINGLES-----------916-000200----------,,Women Singles,OFFICIAL,,,2022-05-27T13:45:00
1249631,2576,TTEMSINGLES-----------916-000200----------,,Men Singles,OFFICIAL,,,2022-05-27T13:45:00
1249628,2576,TTEMSINGLES-----------916-000100----------,,Men Singles,OFFICIAL,,,2022-05-27T13:45:00
1249625,2576,TTEMSINGLES-----------916-000400----------,,Men Singles,OFFICIAL,,,2022-05-27T13:45:00
1249622,2576,TTEMSINGLES-----------1724000300----------,,Men Singles,OFFICIAL,,,2022-05-27T13:45:00
1249619,2576,TTEMSINGLES-----------1724000100----------,,Men Singles,OFFICIAL,,,2022-05-27T13:45:00
1249616,2576,TTEMSINGLES-----------1724000200----------,,Men Singles,OFFICIAL,,,2022-05-27T13:45:00
1249613,2576,TTEWSINGLES-----------1724000200----------,,Women Singles,OFFICIAL,,,2022-05-27T13:45:00
1249610,2576,TTEWSINGLES-----------1724000300----------,,Women Singles,OFFICIAL,,,2022-05-27T13:45:00
1249607,2576,TTEMSINGLES-----------8FNL000700----------,,Men Singles,OFFICIAL,,,2022-05-27T13:45:00
1249604,2576,TTEMSINGLES-----------8FNL000800----------,,Men Singles,OFFICIAL,,,2022-05-27T13:45:00
1249601,2576,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,2022-05-27T13:45:00
1249598,2576,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2022-05-27T13:45:00
1249595,2576,TTEMSINGLES-----------8FNL000600----------,,Men Singles,OFFICIAL,,,2022-05-27T13:45:00
1249592,2576,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,2022-05-27T13:45:00
1249589,2576,TTEWSINGLES-----------8FNL000600----------,,Women Singles,OFFICIAL,,,2022-05-27T13:45:00
1249586,2576,TTEWSINGLES-----------8FNL000500----------,,Women Singles,OFFICIAL,,,2022-05-27T13:45:00
1249583,2576,TTEMSINGLES-----------8FNL000500----------,,Men Singles,OFFICIAL,,,2022-05-27T13:45:00
1249580,2576,TTEWSINGLES-----------8FNL000300----------,,Women Singles,OFFICIAL,,,2022-05-27T13:45:00
1249577,2576,TTEMSINGLES-----------8FNL000300----------,,Men Singles,OFFICIAL,,,2022-05-27T13:45:00
1249574,2576,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,2022-05-27T13:45:00
1249571,2576,TTEMSINGLES-----------8FNL000200----------,,Men Singles,OFFICIAL,,,2022-05-27T13:45:00
1249568,2576,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,2022-05-27T13:45:00
1249373,2576,TTEMSINGLES-----------GP07000500----------,,Men Singles,OFFICIAL,,,2022-05-26T15:20:00
1249262,2576,TTEWSINGLES-----------GP06000300----------,,Women Singles,OFFICIAL,,,2022-05-26T15:20:00
1249252,2576,TTEMSINGLES-----------GP08000600----------,,Men Singles,OFFICIAL,,,2022-05-26T15:20:00
1249249,2576,TTEWSINGLES-----------GP07000500----------,,Women Singles,OFFICIAL,,,2022-05-26T15:20:00
1249246,2576,TTEMSINGLES-----------GP07000600----------,,Men Singles,OFFICIAL,,,2022-05-26T15:20:00
1249236,2576,TTEMSINGLES-----------GP05000500----------,,Men Singles,OFFICIAL,,,2022-05-26T15:20:00
1249162,2576,TTEWSINGLES-----------GP04000300----------,,Women Singles,OFFICIAL,,,2022-05-26T15:20:00
1249088,2576,TTEMSINGLES-----------GP01000300----------,,Men Singles,OFFICIAL,,,2022-05-26T15:20:00
1249051,2576,TTEWSINGLES-----------GP03000300----------,,Women Singles,OFFICIAL,,,2022-05-26T15:20:00
1249046,2576,TTEWSINGLES-----------GP01000300----------,,Women Singles,OFFICIAL,,,2022-05-26T15:20:00
1249043,2576,TTEWSINGLES-----------GP02000300----------,,Women Singles,OFFICIAL,,,2022-05-26T15:20:00
1249038,2576,TTEMSINGLES-----------GP04000300----------,,Men Singles,OFFICIAL,,,2022-05-26T15:20:00
1249035,2576,TTEMSINGLES-----------GP05000600----------,,Men Singles,OFFICIAL,,,2022-05-26T15:20:00
1248986,2576,TTEMSINGLES-----------GP02000300----------,,Men Singles,OFFICIAL,,,2022-05-26T15:20:00
