iD,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
9299790,2947,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2024-11-24T17:00:00
9297901,2947,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2024-11-24T16:00:00
9288537,2947,TTEMDOUBLES-----------FNL-000100----------,,Men Doubles,OFFICIAL,,,2024-11-23T20:45:00
9286695,2947,TTEWDOUBLES-----------FNL-000100----------,,Women Doubles,OFFICIAL,,,2024-11-23T20:00:00
9284412,2947,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2024-11-23T18:15:00
9282857,2947,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2024-11-23T17:30:00
9281493,2947,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2024-11-23T16:45:00
9280396,2947,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2024-11-23T16:00:00
9270207,2947,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2024-11-22T20:55:00
9269233,2947,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2024-11-22T20:20:00
9268619,2947,TTEMDOUBLES-----------SFNL000100----------,,Men Doubles,OFFICIAL,,,2024-11-22T19:45:00
9267789,2947,TTEWDOUBLES-----------SFNL000200----------,,Women Doubles,OFFICIAL,,,2024-11-22T19:10:00
9266492,2947,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2024-11-22T18:35:00
9265064,2947,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2024-11-22T18:00:00
9263025,2947,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2024-11-22T15:55:00
9262847,2947,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2024-11-22T15:20:00
9262699,2947,TTEMDOUBLES-----------SFNL000200----------,,Men Doubles,OFFICIAL,,,2024-11-22T14:45:00
9262561,2947,TTEWDOUBLES-----------SFNL000100----------,,Women Doubles,OFFICIAL,,,2024-11-22T14:10:00
9262412,2947,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2024-11-22T13:35:00
9262279,2947,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2024-11-22T13:00:00
9259913,2947,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,2024-11-21T20:55:00
9259372,2947,TTEMSINGLES-----------8FNL000800----------,,Men Singles,OFFICIAL,,,2024-11-21T20:20:00
9258530,2947,TTEMDOUBLES-----------QFNL000300----------,,Men Doubles,OFFICIAL,,,2024-11-21T19:45:00
9257377,2947,TTEWDOUBLES-----------QFNL000200----------,,Women Doubles,OFFICIAL,,,2024-11-21T19:10:00
9256769,2947,TTEWSINGLES-----------8FNL000500----------,,Women Singles,OFFICIAL,,,2024-11-21T18:35:00
9255718,2947,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,2024-11-21T18:00:00
9254661,2947,TTEMSINGLES-----------8FNL000500----------,,Men Singles,OFFICIAL,,,2024-11-21T15:55:00
9254428,2947,TTEMSINGLES-----------8FNL000200----------,,Men Singles,OFFICIAL,,,2024-11-21T15:20:00
9254184,2947,TTEWDOUBLES-----------QFNL000400----------,,Women Doubles,OFFICIAL,,,2024-11-21T14:45:00
9254061,2947,TTEMDOUBLES-----------QFNL000400----------,,Men Doubles,OFFICIAL,,,2024-11-21T14:10:00
9253844,2947,TTEWSINGLES-----------8FNL000800----------,,Women Singles,OFFICIAL,,,2024-11-21T13:35:00
9253642,2947,TTEWSINGLES-----------8FNL000100----------,,Women Singles,OFFICIAL,,,2024-11-21T13:00:00
9246515,2947,TTEMDOUBLES-----------QFNL000200----------,,Men Doubles,OFFICIAL,,,2024-11-20T21:55:00
9246368,2947,TTEWDOUBLES-----------QFNL000300----------,,Women Doubles,OFFICIAL,,,2024-11-20T21:20:00
9245425,2947,TTEMSINGLES-----------8FNL000300----------,,Men Singles,OFFICIAL,,,2024-11-20T20:45:00
9244080,2947,TTEMSINGLES-----------8FNL000600----------,,Men Singles,OFFICIAL,,,2024-11-20T20:10:00
9242796,2947,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2024-11-20T19:35:00
9241449,2947,TTEWSINGLES-----------8FNL000600----------,,Women Singles,OFFICIAL,,,2024-11-20T19:00:00
9238409,2947,TTEMSINGLES-----------8FNL000700----------,,Men Singles,OFFICIAL,,,2024-11-20T15:55:00
9238133,2947,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,2024-11-20T15:20:00
9237979,2947,TTEMDOUBLES-----------QFNL000100----------,,Men Doubles,OFFICIAL,,,2024-11-20T14:45:00
9237844,2947,TTEWDOUBLES-----------QFNL000100----------,,Women Doubles,OFFICIAL,,,2024-11-20T14:10:00
9237697,2947,TTEWSINGLES-----------8FNL000300----------,,Women Singles,OFFICIAL,,,2024-11-20T13:35:00
9237503,2947,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,2024-11-20T13:00:00
