id,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
8718862,2942,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2024-10-06T19:00:00
8718551,2942,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2024-10-06T18:00:00
8710415,2942,TTEWDOUBLES-----------FNL-000100----------,,Women Doubles,OFFICIAL,,,2024-10-05T19:30:00
8710211,2942,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2024-10-05T18:45:00
8709893,2942,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2024-10-05T18:00:00
8705727,2942,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2024-10-05T14:45:00
8704432,2942,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2024-10-05T14:00:00
8703050,2942,TTEMDOUBLES-----------FNL-000100----------,,Men Doubles,OFFICIAL,,,2024-10-05T13:00:00
8694053,2942,TTEXDOUBLES-----------FNL-000100----------,,Mixed Doubles,OFFICIAL,,,2024-10-04T20:00:00
8693886,2942,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2024-10-04T19:30:00
8693460,2942,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2024-10-04T18:45:00
8692330,2942,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2024-10-04T18:00:00
8689008,2942,TTEWDOUBLES-----------SFNL000200----------,,Women Doubles,OFFICIAL,,,2024-10-04T13:50:00
8688548,2942,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2024-10-04T13:05:00
8688453,2942,TTEMDOUBLES-----------SFNL000100----------,,Men Doubles,OFFICIAL,,,2024-10-04T13:05:00
8687720,2942,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2024-10-04T12:20:00
8687710,2942,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2024-10-04T12:20:00
8687352,2942,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2024-10-04T11:35:00
8687293,2942,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2024-10-04T11:35:00
8686597,2942,TTEMDOUBLES-----------SFNL000200----------,,Men Doubles,OFFICIAL,,,2024-10-04T11:00:00
