MatchID,EventID,EventName,MatchDate,BestOf,PlayerA_ID,PlayerA_Name,PlayerA_Country,PlayerB_ID,PlayerB_Name,PlayerB_Country,PlayerA_GamesWon,PlayerB_GamesWon,PlayerA_TotalPoints,PlayerB_TotalPoints,WinnerID,WinnerName,GameScores
TTEWSINGLES-----------R64-000600----------,2536,Singapore Smash 2022,03/11/2022 15:55:45,5,108470,SUH Hyowon,KOR,114905,BERGSTROM Linda,SWE,3,2,50,47,108470,SUH Hyowon,"11-8,8-11,11-6,7-11,13-11"
TTEWSINGLES-----------RND3000800----------,2536,Singapore Smash 2022,03/09/2022 17:02:08,5,117365,MUKHERJEE Sutirtha,IND,112453,JEGER Mateja,CRO,1,3,39,45,112453,JEGER Mateja,"11-7,6-11,14-16,8-11,0-0"
TTEWSINGLES-----------R64-002200----------,2536,Singapore Smash 2022,03/12/2022 13:33:02,5,137894,YUAN Jia Nan,FRA,115037,SOO Wai Yam Minnie,HKG,3,0,34,18,137894,YUAN Jia Nan,"11-2,11-6,12-10,0-0,0-0"
TTEMSINGLES-----------RND2000500----------,2536,Singapore Smash 2022,03/08/2022 18:20:21,5,110726,OLAH Benedek,FIN,113419,JOUTI Eric,BRA,3,2,50,43,110726,OLAH Benedek,"7-11,11-7,11-8,10-12,11-5"
TTEMSINGLES-----------R64-001400----------,2536,Singapore Smash 2022,03/12/2022 14:43:29,5,131912,PANG Yew En Koen,SGP,103126,GNANASEKARAN Sathiyan,IND,1,3,33,41,103126,GNANASEKARAN Sathiyan,"5-11,11-8,9-11,8-11,0-0"
TTEMSINGLES-----------R64-002100----------,2536,Singapore Smash 2022,03/11/2022 14:34:50,5,133713,QUEK Izaac,SGP,116620,DUDA Benedikt,GER,0,3,21,33,116620,DUDA Benedikt,"3-11,9-11,9-11,0-0,0-0"
TTEWSINGLES-----------R64-002900----------,2536,Singapore Smash 2022,03/12/2022 19:53:53,5,110560,ZHANG Mo,CAN,115920,BATRA Manika,IND,3,1,48,43,110560,ZHANG Mo,"12-14,12-10,13-11,11-8,0-0"
TTEMSINGLES-----------R64-000800----------,2536,Singapore Smash 2022,03/12/2022 20:56:18,5,113395,CHEW Zhe Yu Clarence,SGP,110267,XU Xin,CHN,0,3,11,33,110267,XU Xin,"3-11,1-11,7-11,0-0,0-0"
TTEMSINGLES-----------R32-000400----------,2536,Singapore Smash 2022,03/14/2022 19:53:48,5,107312,PERSSON Jon,SWE,110267,XU Xin,CHN,0,3,29,38,110267,XU Xin,"9-11,14-16,6-11,0-0,0-0"
TTEWSINGLES-----------R32-000600----------,2536,Singapore Smash 2022,03/13/2022 14:09:43,5,115009,DIAZ Adriana,PUR,121401,SHAO Jieni,POR,3,1,41,31,115009,DIAZ Adriana,"11-6,11-7,8-11,11-7,0-0"
