MatchID,EventID,EventName,MatchDate,BestOf,MatchStatus,MatchDuration,PlayerA_ID,PlayerA_Name,PlayerA_Country,PlayerB_ID,PlayerB_Name,PlayerB_Country,PlayerA_GamesWon,PlayerB_GamesWon,PlayerA_TotalPoints,PlayerB_TotalPoints,WinnerID,WinnerName,GameScores,RawScoreString
TTEWSINGLES-----------R64-000600----------,2536,Singapore Smash 2022,11/03/2022,5,Completed,00:51:22,108470,SUH Hyowon,KOR,114905,BERGSTROM Linda,SWE,3.0,2.0,50,47,108470,SUH Hyowon,"11-8,8-11,11-6,7-11,13-11",3-2
TTEWSINGLES-----------RND3000800----------,2536,Singapore Smash 2022,09/03/2022,5,Completed,00:32:56,117365,MUKHERJEE Sutirtha,IND,112453,JEGER Mateja,CRO,1.0,3.0,39,45,112453,JEGER Mateja,"11-7,6-11,14-16,8-11,0-0",1-3
TTEWSINGLES-----------R64-002200----------,2536,Singapore Smash 2022,12/03/2022,5,Completed,00:19:41,137894,YUAN Jia Nan,FRA,115037,SOO Wai Yam Minnie,HKG,3.0,0.0,34,18,137894,YUAN Jia Nan,"11-2,11-6,12-10,0-0,0-0",3-0
TTEMSINGLES-----------RND2000500----------,2536,Singapore Smash 2022,08/03/2022,5,Completed,00:44:01,110726,OLAH Benedek,FIN,113419,JOUTI Eric,BRA,3.0,2.0,50,43,110726,OLAH Benedek,"7-11,11-7,11-8,10-12,11-5",3-2
TTEMSINGLES-----------R64-001400----------,2536,Singapore Smash 2022,12/03/2022,5,Completed,00:32:27,131912,PANG Yew En Koen,SGP,103126,GNANASEKARAN Sathiyan,IND,1.0,3.0,33,41,103126,GNANASEKARAN Sathiyan,"5-11,11-8,9-11,8-11,0-0",1-3
TTEMSINGLES-----------R64-002100----------,2536,Singapore Smash 2022,11/03/2022,5,Completed,00:23:36,133713,QUEK Izaac,SGP,116620,DUDA Benedikt,GER,0.0,3.0,21,33,116620,DUDA Benedikt,"3-11,9-11,9-11,0-0,0-0",0-3
TTEWSINGLES-----------R64-002900----------,2536,Singapore Smash 2022,12/03/2022,5,Completed,00:38:01,110560,ZHANG Mo,CAN,115920,BATRA Manika,IND,3.0,1.0,48,43,110560,ZHANG Mo,"12-14,12-10,13-11,11-8,0-0",3-1
TTEMSINGLES-----------R64-000800----------,2536,Singapore Smash 2022,12/03/2022,5,Completed,00:16:52,113395,CHEW Zhe Yu Clarence,SGP,110267,XU Xin,CHN,0.0,3.0,11,33,110267,XU Xin,"3-11,1-11,7-11,0-0,0-0",0-3
TTEMSINGLES-----------R32-000400----------,2536,Singapore Smash 2022,14/03/2022,5,Completed,00:25:33,107312,PERSSON Jon,SWE,110267,XU Xin,CHN,0.0,3.0,29,38,110267,XU Xin,"9-11,14-16,6-11,0-0,0-0",0-3
TTEWSINGLES-----------R32-000600----------,2536,Singapore Smash 2022,13/03/2022,5,Completed,00:25:49,115009,DIAZ Adriana,PUR,121401,SHAO Jieni,POR,3.0,1.0,41,31,115009,DIAZ Adriana,"11-6,11-7,8-11,11-7,0-0",3-1
TTEWSINGLES-----------R64-000100----------,2536,Singapore Smash 2022,11/03/2022,5,Completed,00:15:06,131163,SUN Yingsha,CHN,111066,WINTER Sabine,GER,3.0,0.0,33,12,131163,SUN Yingsha,"11-3,11-7,11-2,0-0,0-0",3-0
TTEMSINGLES-----------RND1002300----------,2536,Singapore Smash 2022,07/03/2022,5,Completed,00:24:52,114848,ALLEGRO Martin,BEL,111959,ASSAR Khalid,EGY,3.0,0.0,36,24,114848,ALLEGRO Martin,"12-10,13-11,11-3,0-0,0-0",3-0
TTEWSINGLES-----------RND3000700----------,2536,Singapore Smash 2022,09/03/2022,5,Completed,00:37:05,124162,LI Yu-Jhun,TPE,118777,WAN Yuan,GER,3.0,2.0,45,43,124162,LI Yu-Jhun,"8-11,4-11,11-6,11-8,11-7",3-2
TTEWSINGLES-----------QFNL000400----------,2536,Singapore Smash 2022,17/03/2022,5,Completed,00:32:02,110752,ISHIKAWA Kasumi,JPN,112019,CHEN Meng,CHN,1.0,3.0,26,42,112019,CHEN Meng,"8-11,11-9,0-11,7-11,0-0",1-3
TTEWSINGLES-----------RND2001200----------,2536,Singapore Smash 2022,08/03/2022,5,Completed,00:19:44,117463,DIACONU Adina,ROU,113908,HELMY Yousra,EGY,3.0,0.0,33,20,117463,DIACONU Adina,"11-4,11-9,11-7,0-0,0-0",3-0
TTEMSINGLES-----------R64-000200----------,2536,Singapore Smash 2022,12/03/2022,5,Completed,00:30:10,112735,WANG Yang,SVK,112580,MORIZONO Masataka,JPN,0.0,3.0,24,34,112580,MORIZONO Masataka,"7-11,10-12,7-11,0-0,0-0",0-3
TTEWSINGLES-----------RND1001100----------,2536,Singapore Smash 2022,08/03/2022,5,Completed,00:38:03,121074,SURJAN Sabina,SRB,121714,KUKULKOVA Tatiana,SVK,3.0,2.0,50,44,121074,SURJAN Sabina,"7-11,11-5,11-7,9-11,12-10",3-2
TTEMSINGLES-----------R32-000300----------,2536,Singapore Smash 2022,14/03/2022,5,Completed,00:31:27,112620,WONG Chun Ting,HKG,102832,FRANZISKA Patrick,GER,1.0,3.0,28,42,102832,FRANZISKA Patrick,"5-11,4-11,11-9,8-11,0-0",1-3
