PageLink,EventName,EventType,EventTypeId,Country,City,ContinentCode,Subcontinent,StartDateTime,EndDateTime,Tags,EventCode,Comments,EventDateChangeId,EventId,FromStartDate,FromEndDate,ToStartDate,ToEndDate,ShowInCalendar,Type,Event_Tier_Name
,ITTF Challenge Spanish Open,Challenge,10,Spain,Granada,europe,southern europe,2020-02-04T00:00:00,2020-02-08T00:00:00,,5158.0,,,2241,,,,,,,
,ITTF Challenge Polish Open,Challenge,10,Poland,Gliwice,europe,eastern europe,2020-03-11T00:00:00,2020-03-15T00:00:00,,5161.0,Suspended with effect 13 March 2020,4.0,2261,2020-03-11T00:00:00,2020-03-15T00:00:00,,,True,Suspended,
,ITTF Challenge Slovenia Open,Challenge,10,Slovenia,Otocec,europe,southern europe,2020-04-22T00:00:00,2020-04-26T00:00:00,,5163.0,,14.0,2118,2020-04-22T00:00:00,2020-04-26T00:00:00,,,True,Postponed,
,ITTF Challenge Croatia Open,Challenge,10,Croatia,Zagreb,europe,southern europe,2020-04-28T00:00:00,2020-05-02T00:00:00,,5164.0,,16.0,2119,2020-04-28T00:00:00,2020-05-02T00:00:00,,,True,Postponed,
,ITTF Challenge Thailand Open,Challenge,10,Thailand,Bangkok,asia,south east asia,2020-04-29T00:00:00,2020-05-03T00:00:00,,5165.0,,17.0,2120,2020-04-29T00:00:00,2020-05-03T00:00:00,,,True,Postponed,
,ITTF Challenge Plus Belarus Open,Challenge,10,Belarus,Minsk,europe,eastern europe,2020-06-03T00:00:00,2020-06-07T00:00:00,,5166.0,,23.0,2121,2020-06-03T00:00:00,2020-06-07T00:00:00,,,True,Postponed,
,ITTF Challenge Plus Portugal Open,Challenge Plus,11,Portugal,Lisbon,europe,southern europe,2020-02-12T00:00:00,2020-02-16T00:00:00,,5159.0,,,2245,,,,,,,
,ITTF Challenge Plus Oman Open,Challenge Plus,11,Oman,Muscat,asia,west asia,2020-03-11T00:00:00,2020-03-15T00:00:00,,5160.0,,,2260,,,,,,,
,ITTF-ATTU Asian Cup,Continental,36,China,Hainan,asia,east asia,2020-02-28T00:00:00,2020-03-01T00:00:00,,5175.0,,3.0,2099,2020-02-28T00:00:00,2020-03-01T00:00:00,,,True,Postponed,
,ITTF Oceania Championships,Continental,36,Australia,Brisbane Queensland,oceania,australasia,2020-04-21T00:00:00,2020-04-25T00:00:00,,5228.0,,13.0,2182,2020-04-21T00:00:00,2020-04-25T00:00:00,,,True,Postponed,
