id,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
5067046,2777,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2023-10-08T20:00:00
5066158,2777,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2023-10-08T19:00:00
5065146,2777,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2023-10-08T14:45:00
5064909,2777,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2023-10-08T14:10:00
5064773,2777,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2023-10-08T13:35:00
5064524,2777,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2023-10-08T13:00:00
5061523,2777,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2023-10-07T19:45:00
5060958,2777,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2023-10-07T19:10:00
5060215,2777,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2023-10-07T18:35:00
5059553,2777,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2023-10-07T18:00:00
5058812,2777,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2023-10-07T15:50:00
5057769,2777,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2023-10-07T15:15:00
5056636,2777,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2023-10-07T14:40:00
5055790,2777,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2023-10-07T14:05:00
5051484,2777,TTEMSINGLES-----------8FNL000200----------,,Men Singles,OFFICIAL,,,2023-10-06T20:55:00
5051031,2777,TTEMSINGLES-----------8FNL000700----------,,Men Singles,OFFICIAL,,,2023-10-06T20:50:00
5050542,2777,TTEWSINGLES-----------8FNL000100----------,,Women Singles,OFFICIAL,,,2023-10-06T20:20:00
5049919,2777,TTEMSINGLES-----------8FNL000800----------,,Men Singles,OFFICIAL,,,2023-10-06T19:45:00
5049073,2777,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,2023-10-06T19:10:00
5048353,2777,TTEWSINGLES-----------8FNL000600----------,,Women Singles,OFFICIAL,,,2023-10-06T19:05:00
5048052,2777,TTEMSINGLES-----------8FNL000500----------,,Men Singles,OFFICIAL,,,2023-10-06T18:35:00
5047635,2777,TTEMSINGLES-----------8FNL000600----------,,Men Singles,OFFICIAL,,,2023-10-06T18:30:00
5045527,2777,TTEWSINGLES-----------8FNL000800----------,,Women Singles,OFFICIAL,,,2023-10-06T16:25:00
5044608,2777,TTEMSINGLES-----------8FNL000300----------,,Men Singles,OFFICIAL,,,2023-10-06T15:50:00
5043901,2777,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,2023-10-06T15:15:00
5043192,2777,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,2023-10-06T14:40:00
5042514,2777,TTEWSINGLES-----------8FNL000500----------,,Women Singles,OFFICIAL,,,2023-10-06T15:10:00
5042143,2777,TTEWSINGLES-----------8FNL000300----------,,Women Singles,OFFICIAL,,,2023-10-06T14:05:00
5041862,2777,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,2023-10-06T14:35:00
5040842,2777,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2023-10-06T14:00:00
5033312,2777,TTEWSINGLES-----------R32-000100----------,,Women Singles,OFFICIAL,,,2023-10-05T20:20:00
5032255,2777,TTEMSINGLES-----------R32-000800----------,,Men Singles,OFFICIAL,,,2023-10-05T19:45:00
5031213,2777,TTEWSINGLES-----------R32-000800----------,,Women Singles,OFFICIAL,,,2023-10-05T19:10:00
5030693,2777,TTEWSINGLES-----------R32-000600----------,,Women Singles,OFFICIAL,,,2023-10-05T19:20:00
5030671,2777,TTEMSINGLES-----------R32-000200----------,,Men Singles,OFFICIAL,,,2023-10-05T19:20:00
5029462,2777,TTEMSINGLES-----------R32-001500----------,,Men Singles,OFFICIAL,,,2023-10-05T19:20:00
5029288,2777,TTEMSINGLES-----------R32-000900----------,,Men Singles,OFFICIAL,,,2023-10-05T18:35:00
5028425,2777,TTEWSINGLES-----------R32-001100----------,,Women Singles,OFFICIAL,,,2023-10-05T18:45:00
5028185,2777,TTEMSINGLES-----------R32-001300----------,,Men Singles,OFFICIAL,,,2023-10-05T18:45:00
5027328,2777,TTEWSINGLES-----------R32-001500----------,,Women Singles,OFFICIAL,,,2023-10-05T18:45:00
5026248,2777,TTEWSINGLES-----------R32-001400----------,,Women Singles,OFFICIAL,,,2023-10-05T17:35:00
5026116,2777,TTEMSINGLES-----------R32-001100----------,,Men Singles,OFFICIAL,,,2023-10-05T17:35:00
5026093,2777,TTEMSINGLES-----------R32-001200----------,,Men Singles,OFFICIAL,,,2023-10-05T18:10:00
5025126,2777,TTEWSINGLES-----------R32-001600----------,,Women Singles,OFFICIAL,,,2023-10-05T17:35:00
5024936,2777,TTEMSINGLES-----------R32-001400----------,,Men Singles,OFFICIAL,,,2023-10-05T17:00:00
5024346,2777,TTEMSINGLES-----------R32-001000----------,,Men Singles,OFFICIAL,,,2023-10-05T17:00:00
5023933,2777,TTEWSINGLES-----------R32-001200----------,,Women Singles,OFFICIAL,,,2023-10-05T17:00:00
5022799,2777,TTEWSINGLES-----------R32-000400----------,,Women Singles,OFFICIAL,,,2023-10-05T16:20:00
5022477,2777,TTEWSINGLES-----------R32-000900----------,,Women Singles,OFFICIAL,,,2023-10-05T16:20:00
5021203,2777,TTEWSINGLES-----------R32-001300----------,,Women Singles,OFFICIAL,,,2023-10-05T15:50:00
5021177,2777,TTEMSINGLES-----------R32-000700----------,,Men Singles,OFFICIAL,,,2023-10-05T16:20:00
5020727,2777,TTEMSINGLES-----------R32-001600----------,,Men Singles,OFFICIAL,,,2023-10-05T15:45:00
5019715,2777,TTEMSINGLES-----------R32-000500----------,,Men Singles,OFFICIAL,,,2023-10-05T15:15:00
5019543,2777,TTEWSINGLES-----------R32-000300----------,,Women Singles,OFFICIAL,,,2023-10-05T15:10:00
5018996,2777,TTEMSINGLES-----------R32-000100----------,,Men Singles,OFFICIAL,,,2023-10-05T14:35:00
5018830,2777,TTEMSINGLES-----------R32-000300----------,,Men Singles,OFFICIAL,,,2023-10-05T14:35:00
5018826,2777,TTEWSINGLES-----------R32-000200----------,,Women Singles,OFFICIAL,,,2023-10-05T14:35:00
5018642,2777,TTEWSINGLES-----------R32-000500----------,,Women Singles,OFFICIAL,,,2023-10-05T14:40:00
5017968,2777,TTEMSINGLES-----------R32-000600----------,,Men Singles,OFFICIAL,,,2023-10-05T14:00:00
5017831,2777,TTEWSINGLES-----------R32-000700----------,,Women Singles,OFFICIAL,,,2023-10-05T14:00:00
5017798,2777,TTEMSINGLES-----------R32-000400----------,,Men Singles,OFFICIAL,,,2023-10-05T14:05:00
5017612,2777,TTEWSINGLES-----------R32-001000----------,,Women Singles,OFFICIAL,,,2023-10-05T14:00:00
5005609,2777,TTEMSINGLES-----------R64-002600----------,,Men Singles,OFFICIAL,,,2023-10-04T20:20:00
5005375,2777,TTEMSINGLES-----------R64-002700----------,,Men Singles,OFFICIAL,,,2023-10-04T20:55:00
5004500,2777,TTEWSINGLES-----------R64-002300----------,,Women Singles,OFFICIAL,,,2023-10-04T20:20:00
5004356,2777,TTEWSINGLES-----------R64-001900----------,,Women Singles,OFFICIAL,,,2023-10-04T19:45:00
5003464,2777,TTEMSINGLES-----------R64-000200----------,,Men Singles,OFFICIAL,,,2023-10-04T19:45:00
5003187,2777,TTEWSINGLES-----------R64-003100----------,,Women Singles,OFFICIAL,,,2023-10-04T19:45:00
5001772,2777,TTEMSINGLES-----------R64-001400----------,,Men Singles,OFFICIAL,,,2023-10-04T19:10:00
5000595,2777,TTEMSINGLES-----------R64-003100----------,,Men Singles,OFFICIAL,,,2023-10-04T19:10:00
5000404,2777,TTEWSINGLES-----------R64-002600----------,,Women Singles,OFFICIAL,,,2023-10-04T19:10:00
4998796,2777,TTEWSINGLES-----------R64-001100----------,,Women Singles,OFFICIAL,,,2023-10-04T18:35:00
4998030,2777,TTEWSINGLES-----------R64-003000----------,,Women Singles,OFFICIAL,,,2023-10-04T18:35:00
4997832,2777,TTEMSINGLES-----------R64-001100----------,,Men Singles,OFFICIAL,,,2023-10-04T18:35:00
4996515,2777,TTEMSINGLES-----------R64-002200----------,,Men Singles,OFFICIAL,,,2023-10-04T18:00:00
