,IttfId,PlayerName,PlayerGivenName,PlayerFamilyName,PlayerFamilyNameFirst,CountryCode,CountryName,NationalityCode,NationalityName,OrganizationCode,OrganizationName,Gender,Age,DOB,Handedness,Grip,Style,EquipmentSponsor,BladeType,RacketColoringA,RacketColoringB,RacketCoveringA,RacketCoveringB,ActiveSince,EarningsCareer,EarningsYTD,LastMatch,NextMatch,HeadShot,Bio,HeadshotR,HeadshotL
0,100001,Amalraj ANTHONY,Amalraj,ANTHONY,ANTHONY Amalraj,IND,India,IND,India,IND,INDIA,M,39,01/24/1986 00:00:00,Right Hand,Shakehand,,,,,,,,,,,,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/100001_Headshot_R_AMALRAJ_Anthony.png,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/100001_Headshot_R_AMALRAJ_Anthony.png,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/100001_Headshot_L_AMALRAJ_Anthony.png
1,100032,Farah ABDELAZIZ,Farah,ABDELAZIZ,ABDELAZIZ Farah,EGY,Egypt,EGY,Egypt,EGY,EGYPT,F,33,09/01/1992 00:00:00,Right Hand,Shakehand,,,,,,,,,,,,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/100032_Headshot_R_ABDEL_AZIZ_Farah.png,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/100032_Headshot_R_ABDEL_AZIZ_Farah.png,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/100032_Headshot_L_ABDEL_AZIZ_Farah.png
2,100439,Ahmed SALEH,Ahmed,SALEH,SALEH Ahmed,EGY,Egypt,EGY,Egypt,EGY,EGYPT,M,45,11/14/1979 00:00:00,Right Hand,Shakehand,,,,,,,,,,,,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/100439_Headshot_R_SALEH_Ahmed.png,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/100439_Headshot_R_SALEH_Ahmed.png,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/100439_Headshot_L_SALEH_Ahmed.png
3,100486,Gaston ALTO,Gaston,ALTO,ALTO Gaston,ARG,Argentina,ARG,Argentina,ARG,ARGENTINA,M,40,07/06/1985 00:00:00,Right Hand,Shakehand,,,,,,,,,,,,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/100486_Headshot_R_ALTO_Gaston.png,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/100486_Headshot_R_ALTO_Gaston.png,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/100486_Headshot_L_ALTO_Gaston.png
4,100621,Tiago APOLONIA,Tiago,APOLONIA,APOLONIA Tiago,POR,Portugal,POR,Portugal,POR,PORTUGAL,M,39,07/28/1986 00:00:00,Right Hand,Shakehand,,,,,,,,,,,,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/100621_Headshot_R_APOLONIA_Tiago.png,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/100621_Headshot_R_APOLONIA_Tiago.png,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/100621_Headshot_L_APOLONIA_Tiago.png
5,100696,Omar ASSAR,Omar,ASSAR,ASSAR Omar,EGY,Egypt,EGY,Egypt,EGY,EGYPT,M,34,07/22/1991 00:00:00,Right Hand,Shakehand,,,,,,,,,,,,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/100696_HEADSHOT_R_Omar_ASSAR.png,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/100696_HEADSHOT_R_Omar_ASSAR.png,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/100696_HEADSHOT_L_Omar_ASSAR.png
6,100868,Barbora VARADY,Barbora,VARADY,VARADY Barbora,SVK,Slovak Republic,SVK,Slovak Republic,SVK,SLOVAK REPUBLIC,F,33,03/18/1992 00:00:00,Left Hand,Shakehand,,,,,,,,,,,,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/100868_Headshot_R_BALAZOVA_Barbora.png,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/100868_Headshot_R_BALAZOVA_Barbora.png,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/100868_Headshot_L_BALAZOVA_Barbora.png
7,101192,Mihai BOBOCICA,Mihai,BOBOCICA,BOBOCICA Mihai,ITA,Italy,ITA,Italy,ITA,ITALY,M,39,09/08/1986 00:00:00,Right Hand,Shakehand,,,,,,,,,,,,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/101192_Headshot_R_BOBOCICA_Mihai.png,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/101192_Headshot_R_BOBOCICA_Mihai.png,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/101192_Headshot_L_BOBOCICA_Mihai.png
8,101222,Timo BOLL,Timo,BOLL,BOLL Timo,GER,Germany,GER,Germany,GER,GERMANY,M,44,03/08/1981 00:00:00,Left Hand,Shakehand,,,,,,,,,,,,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/101222_Headshot_R_BOLL_Timo.png,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/101222_Headshot_R_BOLL_Timo.png,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/101222_Headshot_L_BOLL_Timo.png
9,101648,CHEN Chien-An,Chien-An,CHEN,CHEN Chien-An,TPE,Chinese Taipei,TPE,Chinese Taipei,TPE,CHINESE TAIPEI,M,34,06/16/1991 00:00:00,Left Hand,Shakehand,,,,,,,,,,,,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/400px/101648_Headshot_R_CHEN_Chien_An.png,,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/101648_Headshot_R_CHEN_Chien_An.png,https://wttsimfiles.blob.core.windows.net/wtt-media/photos/1080px/101648_Headshot_L_CHEN_Chien_An.png
