PageLink,EventName,EventType,EventTypeId,Country,City,ContinentCode,Subcontinent,StartDateTime,EndDateTime,Tags,EventCode,Comments,EventDateChangeId,EventId,FromStartDate,FromEndDate,ToStartDate,ToEndDate,ShowInCalendar,Type,Event_Tier_Name
,Singapore Smash 2023,WTT Grand Smash,64,Singapore,Singapore,asia,south east asia,2023-03-07T00:00:00,2023-03-19T00:00:00,,,,,2629,,,,,,,WTT Series
,WTT Youth Contender Szombathely 2023,WTT Youth Contender,69,Hungary,Szombathely,europe,eastern europe,2023-11-02T00:00:00,2023-11-08T00:00:00,,0,,,2632,,,,,,,WTT Youth Series
,WTT Youth Contender Senec 2023,WTT Youth Contender,69,Slovak Republic,Senec,europe,eastern europe,2023-11-06T00:00:00,2023-11-12T00:00:00,,0,,,2633,,,,,,,WTT Youth Series
,WTT Youth Contender Lignano 2023,WTT Youth Contender,69,Italy,Lignano Sabbiadoro,europe,southern europe,2023-10-29T00:00:00,2023-11-04T00:00:00,,0,,,2634,,,,,,,WTT Youth Series
,WTT Youth Contender Spa 2023,WTT Youth Contender,69,Belgium,Spa,europe,western europe,2023-04-17T00:00:00,2023-04-23T00:00:00,,0,,,2635,,,,,,,WTT Youth Series
,WTT Youth Contender Metz 2023,WTT Youth Contender,69,France,Metz,europe,western europe,2023-04-17T00:00:00,2023-04-23T00:00:00,,0,,,2636,,,,,,,WTT Youth Series
,WTT Youth Contender Varazdin 2023,WTT Youth Contender,69,Croatia,Varaždin,europe,southern europe,2023-08-28T00:00:00,2023-09-03T00:00:00,,0,,,2637,,,,,,,WTT Youth Series
,WTT Youth Contender Otocec 2023,WTT Youth Contender,69,Slovenia,Otocec,europe,southern europe,2023-08-28T00:00:00,2023-09-03T00:00:00,,0,,,2638,,,,,,,WTT Youth Series
,WTT Youth Contender Linz 2023,WTT Youth Contender,69,Austria,Linz,europe,western europe,2023-01-11T00:00:00,2023-01-14T00:00:00,,0,,,2639,,,,,,,WTT Youth Series
,WTT Youth Star Contender Vila Nova de Gaia 2023,WTT Youth Star Contender,68,Portugal,Vila Nova de Gaia,europe,southern europe,2023-11-15T00:00:00,2023-11-19T00:00:00,,0,,,2640,,,,,,,WTT Youth Series
,WTT Youth Star Contender Doha 2023,WTT Youth Star Contender,68,Qatar,Doha,asia,west asia,2023-10-10T00:00:00,2023-10-14T00:00:00,,0,,,2641,,,,,,,WTT Youth Series
,WTT Youth Contender Doha 2023,WTT Youth Contender,69,Qatar,Doha,asia,west asia,2023-01-27T00:00:00,2023-01-30T00:00:00,,0,,,2642,,,,,,,WTT Youth Series
,WTT Youth Contender Vila Real 2023,WTT Youth Contender,69,Portugal,Vila Real,europe,southern europe,2023-02-25T00:00:00,2023-03-03T00:00:00,,0,,,2643,,,,,,,WTT Youth Series
,WTT Youth Star Contender Tunis 2023,WTT Youth Star Contender,68,Tunisia,Rades,africa,north africa,2023-02-01T00:00:00,2023-02-05T00:00:00,,0,,,2644,,,,,,,WTT Youth Series
,WTT Youth Contender Tunis 2023,WTT Youth Contender,69,Tunisia,Rades,africa,north africa,2023-08-09T00:00:00,2023-08-12T00:00:00,,0,,,2645,,,,,,,WTT Youth Series
,WTT Youth Contender Bangkok 2023,WTT Youth Contender,69,Thailand,Bangkok,asia,south east asia,2023-09-11T00:00:00,2023-09-17T00:00:00,,0,,,2646,,,,,,,WTT Youth Series
,WTT Youth Star Contender Skopje 2023,WTT Youth Star Contender,68,North Macedonia,Skopje,europe,southern europe,2023-09-05T00:00:00,2023-09-09T00:00:00,,0,,,2647,,,,,,,WTT Youth Series
,WTT Youth Contender Sulaymaniyah 2023,WTT Youth Contender,69,Iraq,Sulaymaniyah,asia,west asia,2023-03-13T00:00:00,2023-03-19T00:00:00,,0,,,2648,,,,,,,WTT Youth Series
,WTT Youth Contender Platja D'Aro 2023,WTT Youth Contender,69,Spain,"Platja d'Aro, Girona",europe,southern europe,2023-05-10T00:00:00,2023-05-16T00:00:00,,0,,,2649,,,,,,,WTT Youth Series
,WTT Youth Contender Havirov 2023,WTT Youth Contender,69,Czechia,Havirov,europe,eastern europe,2023-05-29T00:00:00,2023-06-04T00:00:00,,0,,,2650,,,,,,,WTT Youth Series
,WTT Youth Contender Darwin 2023,WTT Youth Contender,69,Australia,Darwin,oceania,australasia,2023-09-28T00:00:00,2023-10-01T00:00:00,,0,,,2652,,,,,,,WTT Youth Series
,WTT Youth Contender Batumi 2023,WTT Youth Contender,69,Georgia,Batumi,europe,southern europe,2023-09-18T00:00:00,2023-09-24T00:00:00,,0,,,2653,,,,,,,WTT Youth Series
,WTT Youth Contender Panagyurishte 2023 presented by ASAREL,WTT Youth Contender,69,Bulgaria,Panagyurishte,europe,eastern europe,2023-05-15T00:00:00,2023-05-21T00:00:00,,0,,,2654,,,,,,,WTT Youth Series
,WTT Youth Contender Rio de Janeiro 2023,WTT Youth Contender,69,Brazil,Rio de Janeiro,americas,south america,2023-06-28T00:00:00,2023-07-01T00:00:00,,0,,,2655,,,,,,,WTT Youth Series
,WTT Youth Star Contender Lima 2023,WTT Youth Star Contender,68,Peru,Lima,americas,south america,2023-06-21T00:00:00,2023-06-25T00:00:00,,0,,,2656,,,,,,,WTT Youth Series
