PageLink,EventName,EventType,EventTypeId,Country,City,ContinentCode,Subcontinent,StartDateTime,EndDateTime,Tags,EventCode,Comments,EventDateChangeId,EventId,FromStartDate,FromEndDate,ToStartDate,ToEndDate,ShowInCalendar,Type,Event_Tier_Name
,Caribbean Senior Championships,Continental,36,Cuba,Havana,americas,caribbean,2021-04-21T00:00:00,2021-04-25T00:00:00,,21001,Dates TBC,148.0,2207,2021-04-21T00:00:00,2021-04-25T00:00:00,,,True,Postponed,
,"Caribbean Teams Qualification to Cali 2021 Pan American Junior Games, Havana",Pan American Junior Games,51,Cuba,Havana,americas,caribbean,2021-04-27T00:00:00,2021-04-29T00:00:00,,21002,,174.0,2209,2021-04-27T00:00:00,2021-04-29T00:00:00,,,True,Cancelled,
,World Singles Qualification Tournament,Olympic Qualification,47,Qatar,Doha ,asia,west asia,2021-03-14T00:00:00,2021-03-17T00:00:00,,5279,,,2210,,,,,,,
,Central American Championships,Continental,36,Costa Rica,San Jose ,americas,central america,2021-05-14T00:00:00,2021-05-19T00:00:00,,5268,,,2214,,,,,,,
,Central American Teams Qualification to Cali 2021 Pan American Junior Games,Pan American Junior Games,51,Costa Rica,San Jose ,americas,central america,2021-05-10T00:00:00,2021-05-11T00:00:00,,21009,,,2215,,,,,,,
,Pan American Singles Qualification to Cali 2021 Pan American Junior Games,Pan American Junior Games,51,Costa Rica,San Jose ,americas,central america,2021-05-12T00:00:00,2021-05-13T00:00:00,,21010,,,2216,,,,,,,
,Europe Top 16 Cup,Continental,36,Switzerland,Montreux ,europe,western europe,2021-05-22T00:00:00,2021-05-23T00:00:00,,21011,Dates TBC,151.0,2217,2021-05-22T00:00:00,2021-05-23T00:00:00,,,True,Postponed,
,South American Youth Championships,Youth Championships,33,Peru,Lima ,americas,south america,2021-07-21T00:00:00,2021-07-21T00:00:00,,21012,,171.0,2218,2021-07-21T00:00:00,2021-07-21T00:00:00,,,True,Cancelled,
,LIEBHERR 2020 ITTF European Individual Championships,Continental,36,Poland,Warsaw ,europe,eastern europe,2021-06-22T00:00:00,2021-06-27T00:00:00,,5299,,,2219,,,,,,,
,2021 63rd European Youth Championships,Continental,36,Croatia,Varaždin,europe,southern europe,2021-07-18T00:00:00,2021-08-01T00:00:00,,5271,,,2220,,,,,,,
,Central American U11 & U13 Championships,Continental,36,Mexico,Acapulco,americas,central america,2021-08-31T00:00:00,2021-09-04T00:00:00,,21016,,,2223,,,,,,,
,Tokyo 2020 Paralympic Games,Paralympic Games,52,Japan,Tokyo,asia,east asia,2021-08-24T00:00:00,2021-09-05T00:00:00,,2910,,30.0,2226,2020-08-25T00:00:00,2020-09-06T00:00:00,2021-08-24T00:00:00,2021-09-05T00:00:00,True,Postponed,
,Tokyo 2020 Paralympic Games  - Table Tennis Dates,Paralympic Games,52,Japan,Tokyo,asia,east asia,2021-08-25T00:00:00,2021-09-03T00:00:00,,21019,,31.0,2227,2020-08-26T00:00:00,2020-09-04T00:00:00,2021-08-25T00:00:00,2021-09-03T00:00:00,True,Postponed,
,EuroMiniChamps,European Championships,58,France,Schiltigheim,europe,western europe,2021-08-27T00:00:00,2021-08-29T00:00:00,,20120,,,2228,,,,,,,
,ITTF Pan American Youth Championships (U19 & U15),Continental,36,Argentina,Buenos Aires,americas,south america,2021-09-12T00:00:00,2021-09-18T00:00:00,,20121,,,2229,,,,,,,
,Cali 2021 Pan American Junior Games - Table Tennis,Pan American Junior Games,51,Colombia,Cali ,americas,south america,2021-11-30T00:00:00,2021-12-05T00:00:00,,5288,,,2230,,,,,,,
,2021 European Championships,Continental,36,Romania,Cluj-Napoca ,europe,eastern europe,2021-09-28T00:00:00,2021-10-03T00:00:00,,20124,,,2232,,,,,,,
,ITTF Pan American U11 & U13 Championships,Continental,36,Ecuador,Cuenca ,americas,south america,2021-10-18T00:00:00,2021-10-24T00:00:00,,20125,,,2233,,,,,,,
,2021 ITTF Pan American Championships,Continental,36,Peru,Lima,americas,south america,2021-11-13T00:00:00,2021-11-19T00:00:00,,0,,,2234,,,,,,,
,2021 ITTF Pan American Championships,Continental Championships,79,Peru,Lima,americas,south america,2021-11-13T00:00:00,2021-11-19T00:00:00,,0,,,2234,,,,,,,
