id,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
525303,2519,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2021-12-10T17:03:29.5
525049,2519,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2021-12-10T16:11:15.018
524354,2519,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2021-12-10T11:10:41.731
524120,2519,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2021-12-10T10:25:09.021
523825,2519,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2021-12-10T09:30:47.74
523480,2519,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2021-12-10T08:59:27.011
523068,2519,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2021-12-09T17:15:23.17
522721,2519,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2021-12-09T16:32:01.329
522528,2519,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2021-12-09T15:43:18.748
522255,2519,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2021-12-09T15:00:00.162
522098,2519,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2021-12-09T13:13:22.581
521720,2519,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2021-12-09T12:29:49.989
521463,2519,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2021-12-09T11:54:59.211
521238,2519,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2021-12-09T11:05:27.315
519526,2519,TTEMSINGLES-----------8FNL000800----------,,Men Singles,OFFICIAL,,,2021-12-08T19:19:38.117
519484,2519,TTEMSINGLES-----------8FNL000600----------,,Men Singles,OFFICIAL,,,2021-12-08T19:16:29.442
519456,2519,TTEMSINGLES-----------8FNL000700----------,,Men Singles,OFFICIAL,,,2021-12-08T19:13:09.24
518739,2519,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,2021-12-08T18:20:08.54
518679,2519,TTEMSINGLES-----------8FNL000200----------,,Men Singles,OFFICIAL,,,2021-12-08T18:43:35.67
518620,2519,TTEMSINGLES-----------8FNL000500----------,,Men Singles,OFFICIAL,,,2021-12-08T18:19:42.193
518123,2519,TTEWSINGLES-----------8FNL000800----------,,Women Singles,OFFICIAL,,,2021-12-08T17:34:46.284
517623,2519,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,2021-12-08T17:37:58.034
517575,2519,TTEMSINGLES-----------8FNL000300----------,,Men Singles,OFFICIAL,,,2021-12-08T17:31:13.083
516971,2519,TTEWSINGLES-----------8FNL000500----------,,Women Singles,OFFICIAL,,,2021-12-08T16:40:14.562
516964,2519,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2021-12-08T16:39:14.236
516852,2519,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,2021-12-08T16:39:40.527
516424,2519,TTEWSINGLES-----------8FNL000600----------,,Women Singles,OFFICIAL,,,2021-12-08T16:38:42.498
515683,2519,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,2021-12-08T15:50:20.611
515618,2519,TTEWSINGLES-----------8FNL000100----------,,Women Singles,OFFICIAL,,,2021-12-08T15:51:47.724
515553,2519,TTEWSINGLES-----------8FNL000300----------,,Women Singles,OFFICIAL,,,2021-12-08T15:51:07.179
513499,2519,TTEMSINGLES-----------R32-001400----------,,Men Singles,OFFICIAL,,,2021-12-08T12:58:12.946
513410,2519,TTEMSINGLES-----------R32-001500----------,,Men Singles,OFFICIAL,,,2021-12-08T12:56:45.459
513314,2519,TTEMSINGLES-----------R32-001600----------,,Men Singles,OFFICIAL,,,2021-12-08T12:56:48.942
512667,2519,TTEMSINGLES-----------R32-001200----------,,Men Singles,OFFICIAL,,,2021-12-08T12:19:46.088
512600,2519,TTEMSINGLES-----------R32-001300----------,,Men Singles,OFFICIAL,,,2021-12-08T12:09:01.107
512536,2519,TTEMSINGLES-----------R32-001000----------,,Men Singles,OFFICIAL,,,2021-12-08T12:10:42.175
512476,2519,TTEMSINGLES-----------R32-001100----------,,Men Singles,OFFICIAL,,,2021-12-08T12:10:23.909
511948,2519,TTEMSINGLES-----------R32-000700----------,,Men Singles,OFFICIAL,,,2021-12-08T11:26:42.022
511836,2519,TTEMSINGLES-----------R32-000900----------,,Men Singles,OFFICIAL,,,2021-12-08T11:19:43.841
511693,2519,TTEMSINGLES-----------R32-000800----------,,Men Singles,OFFICIAL,,,2021-12-08T11:19:57.338
511035,2519,TTEMSINGLES-----------R32-000400----------,,Men Singles,OFFICIAL,,,2021-12-08T10:27:20.683
510888,2519,TTEMSINGLES-----------R32-000500----------,,Men Singles,OFFICIAL,,,2021-12-08T10:28:15.683
510798,2519,TTEMSINGLES-----------R32-000600----------,,Men Singles,OFFICIAL,,,2021-12-08T10:28:17.296
510121,2519,TTEMSINGLES-----------R32-000300----------,,Men Singles,OFFICIAL,,,2021-12-08T09:41:36.621
510117,2519,TTEMSINGLES-----------R32-000100----------,,Men Singles,OFFICIAL,,,2021-12-08T09:39:46.412
510092,2519,TTEMSINGLES-----------R32-000200----------,,Men Singles,OFFICIAL,,,2021-12-08T09:43:34.683
508283,2519,TTEWSINGLES-----------R32-001400----------,,Women Singles,OFFICIAL,,,2021-12-07T17:28:53.253
508279,2519,TTEWSINGLES-----------R32-001500----------,,Women Singles,OFFICIAL,,,2021-12-07T17:28:26.161
507642,2519,TTEWSINGLES-----------R32-001100----------,,Women Singles,OFFICIAL,,,2021-12-07T16:48:51.698
507605,2519,TTEWSINGLES-----------R32-001000----------,,Women Singles,OFFICIAL,,,2021-12-07T16:40:05.969
507534,2519,TTEWSINGLES-----------R32-001300----------,,Women Singles,OFFICIAL,,,2021-12-07T16:39:08.408
506916,2519,TTEWSINGLES-----------R32-000700----------,,Women Singles,OFFICIAL,,,2021-12-07T16:25:53.336
506496,2519,TTEWSINGLES-----------R32-000900----------,,Women Singles,OFFICIAL,,,2021-12-07T15:49:00.235
506327,2519,TTEWSINGLES-----------R32-000800----------,,Women Singles,OFFICIAL,,,2021-12-07T15:50:10.262
506247,2519,TTEWSINGLES-----------R32-000300----------,,Women Singles,OFFICIAL,,,2021-12-07T14:59:35.272
505868,2519,TTEWSINGLES-----------R32-000600----------,,Women Singles,OFFICIAL,,,2021-12-07T15:00:00.175
