id,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
9015762,2964,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2024-11-01T18:00:00
9014529,2964,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2024-11-01T17:20:00
9007997,2964,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2024-11-01T12:45:00
9006565,2964,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2024-11-01T12:10:00
9005619,2964,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2024-11-01T11:35:00
9004459,2964,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2024-11-01T11:00:00
8998334,2964,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2024-10-31T19:30:00
8998087,2964,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2024-10-31T19:30:00
8997992,2964,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2024-10-31T18:55:00
8997455,2964,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2024-10-31T18:20:00
8997440,2964,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2024-10-31T18:55:00
8997043,2964,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2024-10-31T18:20:00
8997008,2964,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2024-10-31T17:45:00
8996287,2964,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2024-10-31T17:45:00
8989120,2964,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,2024-10-31T13:55:00
8988450,2964,TTEMSINGLES-----------8FNL000700----------,,Men Singles,OFFICIAL,,,2024-10-31T13:55:00
8988441,2964,TTEMSINGLES-----------8FNL000500----------,,Men Singles,OFFICIAL,,,2024-10-31T13:55:00
8988297,2964,TTEMSINGLES-----------8FNL000800----------,,Men Singles,OFFICIAL,,,2024-10-31T13:20:00
8987692,2964,TTEMSINGLES-----------8FNL000600----------,,Men Singles,OFFICIAL,,,2024-10-31T13:20:00
8987643,2964,TTEMSINGLES-----------8FNL000300----------,,Men Singles,OFFICIAL,,,2024-10-31T13:55:00
8987566,2964,TTEMSINGLES-----------8FNL000200----------,,Men Singles,OFFICIAL,,,2024-10-31T13:20:00
8986926,2964,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,2024-10-31T13:20:00
8983736,2964,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,2024-10-31T11:35:00
8983359,2964,TTEWSINGLES-----------8FNL000300----------,,Women Singles,OFFICIAL,,,2024-10-31T11:35:00
8982392,2964,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2024-10-31T11:00:00
8982305,2964,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,2024-10-31T11:35:00
8981971,2964,TTEWSINGLES-----------8FNL000600----------,,Women Singles,OFFICIAL,,,2024-10-31T11:35:00
8981642,2964,TTEWSINGLES-----------8FNL000500----------,,Women Singles,OFFICIAL,,,2024-10-31T11:00:00
8981435,2964,TTEWSINGLES-----------8FNL000100----------,,Women Singles,OFFICIAL,,,2024-10-31T11:00:00
8980815,2964,TTEWSINGLES-----------8FNL000800----------,,Women Singles,OFFICIAL,,,2024-10-31T11:00:00
8971621,2964,TTEWSINGLES-----------R32-001300----------,,Women Singles,OFFICIAL,,,2024-10-30T21:15:00
8971298,2964,TTEWSINGLES-----------R32-001600----------,,Women Singles,OFFICIAL,,,2024-10-30T21:15:00
8971255,2964,TTEWSINGLES-----------R32-001200----------,,Women Singles,OFFICIAL,,,2024-10-30T21:15:00
8970852,2964,TTEWSINGLES-----------R32-000900----------,,Women Singles,OFFICIAL,,,2024-10-30T20:40:00
8970819,2964,TTEWSINGLES-----------R32-000400----------,,Women Singles,OFFICIAL,,,2024-10-30T20:40:00
8970571,2964,TTEWSINGLES-----------R32-000500----------,,Women Singles,OFFICIAL,,,2024-10-30T21:15:00
8970481,2964,TTEWSINGLES-----------R32-000100----------,,Women Singles,OFFICIAL,,,2024-10-30T20:40:00
8970431,2964,TTEMSINGLES-----------R32-001300----------,,Men Singles,OFFICIAL,,,2024-10-30T20:05:00
8970075,2964,TTEMSINGLES-----------R32-000100----------,,Men Singles,OFFICIAL,,,2024-10-30T20:05:00
8969984,2964,TTEWSINGLES-----------R32-001000----------,,Women Singles,OFFICIAL,,,2024-10-30T20:40:00
8969969,2964,TTEMSINGLES-----------R32-000400----------,,Men Singles,OFFICIAL,,,2024-10-30T20:05:00
8969783,2964,TTEMSINGLES-----------R32-001200----------,,Men Singles,OFFICIAL,,,2024-10-30T19:30:00
8969638,2964,TTEMSINGLES-----------R32-001000----------,,Men Singles,OFFICIAL,,,2024-10-30T19:30:00
8969521,2964,TTEMSINGLES-----------R32-000900----------,,Men Singles,OFFICIAL,,,2024-10-30T19:30:00
8969451,2964,TTEMSINGLES-----------R32-000500----------,,Men Singles,OFFICIAL,,,2024-10-30T20:05:00
8968024,2964,TTEWSINGLES-----------R32-000800----------,,Women Singles,OFFICIAL,,,2024-10-30T18:55:00
8967929,2964,TTEWSINGLES-----------R32-000700----------,,Women Singles,OFFICIAL,,,2024-10-30T18:55:00
8967915,2964,TTEMSINGLES-----------R32-001600----------,,Men Singles,OFFICIAL,,,2024-10-30T19:30:00
8967755,2964,TTEWSINGLES-----------R32-001400----------,,Women Singles,OFFICIAL,,,2024-10-30T18:55:00
8966968,2964,TTEWSINGLES-----------R32-001500----------,,Women Singles,OFFICIAL,,,2024-10-30T18:55:00
8966543,2964,TTEWSINGLES-----------R32-000300----------,,Women Singles,OFFICIAL,,,2024-10-30T18:20:00
8966275,2964,TTEWSINGLES-----------R32-001100----------,,Women Singles,OFFICIAL,,,2024-10-30T18:20:00
8966217,2964,TTEWSINGLES-----------R32-000600----------,,Women Singles,OFFICIAL,,,2024-10-30T18:20:00
8965334,2964,TTEMSINGLES-----------R32-000800----------,,Men Singles,OFFICIAL,,,2024-10-30T17:45:00
8965052,2964,TTEWSINGLES-----------R32-000200----------,,Women Singles,OFFICIAL,,,2024-10-30T18:20:00
8963955,2964,TTEMSINGLES-----------R32-001100----------,,Men Singles,OFFICIAL,,,2024-10-30T17:45:00
8963707,2964,TTEMSINGLES-----------R32-000700----------,,Men Singles,OFFICIAL,,,2024-10-30T17:45:00
8963176,2964,TTEMSINGLES-----------R32-000600----------,,Men Singles,OFFICIAL,,,2024-10-30T17:45:00
8962827,2964,TTEMSINGLES-----------R32-001500----------,,Men Singles,OFFICIAL,,,2024-10-30T17:10:00
8961917,2964,TTEMSINGLES-----------R32-000300----------,,Men Singles,OFFICIAL,,,2024-10-30T17:10:00
8961326,2964,TTEMSINGLES-----------R32-001400----------,,Men Singles,OFFICIAL,,,2024-10-30T17:10:00
8960821,2964,TTEMSINGLES-----------R32-000200----------,,Men Singles,OFFICIAL,,,2024-10-30T17:10:00
8952055,2964,TTEMSINGLES-----------R64-002300----------,,Men Singles,OFFICIAL,,,2024-10-30T13:30:00
8951207,2964,TTEWSINGLES-----------R64-002300----------,,Women Singles,OFFICIAL,,,2024-10-30T13:30:00
8950780,2964,TTEWSINGLES-----------R64-002600----------,,Women Singles,OFFICIAL,,,2024-10-30T13:30:00
8950673,2964,TTEMSINGLES-----------R64-000700----------,,Men Singles,OFFICIAL,,,2024-10-30T12:55:00
8949957,2964,TTEWSINGLES-----------R64-003100----------,,Women Singles,OFFICIAL,,,2024-10-30T13:30:00
8949758,2964,TTEMSINGLES-----------R64-000200----------,,Men Singles,OFFICIAL,,,2024-10-30T12:55:00
8949363,2964,TTEMSINGLES-----------R64-001000----------,,Men Singles,OFFICIAL,,,2024-10-30T12:55:00
8948803,2964,TTEMSINGLES-----------R64-001800----------,,Men Singles,OFFICIAL,,,2024-10-30T12:55:00
8948722,2964,TTEMSINGLES-----------R64-001900----------,,Men Singles,OFFICIAL,,,2024-10-30T12:20:00
8948014,2964,TTEMSINGLES-----------R64-002600----------,,Men Singles,OFFICIAL,,,2024-10-30T12:20:00
8947977,2964,TTEMSINGLES-----------R64-001500----------,,Men Singles,OFFICIAL,,,2024-10-30T12:20:00
8947642,2964,TTEMSINGLES-----------R64-003100----------,,Men Singles,OFFICIAL,,,2024-10-30T12:20:00
8946888,2964,TTEWSINGLES-----------R64-001500----------,,Women Singles,OFFICIAL,,,2024-10-30T11:45:00
8946420,2964,TTEWSINGLES-----------R64-001800----------,,Women Singles,OFFICIAL,,,2024-10-30T11:45:00
8946133,2964,TTEWSINGLES-----------R64-001400----------,,Women Singles,OFFICIAL,,,2024-10-30T11:45:00
8945640,2964,TTEWSINGLES-----------R64-001900----------,,Women Singles,OFFICIAL,,,2024-10-30T11:45:00
8945598,2964,TTEWSINGLES-----------R64-000700----------,,Women Singles,OFFICIAL,,,2024-10-30T11:10:00
8944458,2964,TTEWSINGLES-----------R64-001000----------,,Women Singles,OFFICIAL,,,2024-10-30T11:10:00
8944415,2964,TTEWSINGLES-----------R64-000200----------,,Women Singles,OFFICIAL,,,2024-10-30T11:10:00
