iD,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
12257693,3098,TTEWSINGLES-----------RND2000100----------,,Women Singles,OFFICIAL,,,2025-09-26T21:30:00
12257509,3098,TTEMSINGLES-----------RND2001200----------,,Men Singles,OFFICIAL,,,2025-09-26T20:55:00
12257496,3098,TTEMSINGLES-----------RND2001300----------,,Men Singles,OFFICIAL,,,2025-09-26T20:55:00
12257440,3098,TTEMSINGLES-----------RND2000100----------,,Men Singles,OFFICIAL,,,2025-09-26T21:30:00
12256883,3098,TTEWSINGLES-----------RND2001400----------,,Women Singles,OFFICIAL,,,2025-09-26T20:20:00
12256795,3098,TTEWSINGLES-----------RND2001500----------,,Women Singles,OFFICIAL,,,2025-09-26T20:20:00
12256734,3098,TTEWSINGLES-----------RND2000800----------,,Women Singles,OFFICIAL,,,2025-09-26T20:55:00
12256203,3098,TTEMSINGLES-----------RND2000300----------,,Men Singles,OFFICIAL,,,2025-09-26T20:20:00
12256136,3098,TTEMSINGLES-----------RND2001000----------,,Men Singles,OFFICIAL,,,2025-09-26T19:45:00
12256096,3098,TTEMSINGLES-----------RND2001600----------,,Men Singles,OFFICIAL,,,2025-09-26T19:45:00
12255456,3098,TTEWSINGLES-----------RND2001300----------,,Women Singles,OFFICIAL,,,2025-09-26T19:45:00
12255419,3098,TTEWSINGLES-----------RND2000500----------,,Women Singles,OFFICIAL,,,2025-09-26T19:10:00
12255388,3098,TTEWSINGLES-----------RND2000700----------,,Women Singles,OFFICIAL,,,2025-09-26T19:10:00
12255049,3098,TTEMSINGLES-----------RND2000500----------,,Men Singles,OFFICIAL,,,2025-09-26T19:10:00
12254856,3098,TTEMSINGLES-----------RND2000700----------,,Men Singles,OFFICIAL,,,2025-09-26T18:35:00
12254706,3098,TTEWSINGLES-----------RND2000600----------,,Women Singles,OFFICIAL,,,2025-09-26T18:35:00
12254682,3098,TTEMSINGLES-----------RND2000600----------,,Men Singles,OFFICIAL,,,2025-09-26T18:35:00
12254147,3098,TTEMSINGLES-----------RND2000200----------,,Men Singles,OFFICIAL,,,2025-09-26T18:00:00
12254116,3098,TTEWSINGLES-----------RND2001100----------,,Women Singles,OFFICIAL,,,2025-09-26T18:00:00
12254074,3098,TTEWSINGLES-----------RND2000300----------,,Women Singles,OFFICIAL,,,2025-09-26T18:00:00
12253662,3098,TTEWSINGLES-----------RND1003200----------,,Women Singles,OFFICIAL,,,2025-09-26T14:30:00
12253632,3098,TTEMSINGLES-----------RND1001600----------,,Men Singles,OFFICIAL,,,2025-09-26T13:55:00
12253345,3098,TTEMSINGLES-----------RND1003000----------,,Men Singles,OFFICIAL,,,2025-09-26T13:55:00
12253031,3098,TTEWSINGLES-----------RND1002000----------,,Women Singles,OFFICIAL,,,2025-09-26T13:20:00
12252908,3098,TTEWSINGLES-----------RND1003100----------,,Women Singles,OFFICIAL,,,2025-09-26T13:20:00
12252697,3098,TTEMSINGLES-----------RND1001700----------,,Men Singles,OFFICIAL,,,2025-09-26T14:30:00
12252295,3098,TTEWSINGLES-----------RND1000400----------,,Women Singles,OFFICIAL,,,2025-09-26T13:55:00
12252094,3098,TTEMSINGLES-----------RND1001500----------,,Men Singles,OFFICIAL,,,2025-09-26T12:45:00
12251923,3098,TTEMSINGLES-----------RND1002800----------,,Men Singles,OFFICIAL,,,2025-09-26T13:20:00
12251758,3098,TTEMSINGLES-----------RND1002200----------,,Men Singles,OFFICIAL,,,2025-09-26T12:45:00
12251743,3098,TTEWSINGLES-----------RND1002300----------,,Women Singles,OFFICIAL,,,2025-09-26T12:10:00
12251379,3098,TTEWSINGLES-----------RND1001600----------,,Women Singles,OFFICIAL,,,2025-09-26T12:10:00
12251261,3098,TTEWSINGLES-----------RND1000700----------,,Women Singles,OFFICIAL,,,2025-09-26T12:45:00
12250941,3098,TTEMSINGLES-----------RND1000600----------,,Men Singles,OFFICIAL,,,2025-09-26T11:35:00
12250938,3098,TTEMSINGLES-----------RND1000700----------,,Men Singles,OFFICIAL,,,2025-09-26T11:35:00
12250921,3098,TTEMSINGLES-----------RND1000200----------,,Men Singles,OFFICIAL,,,2025-09-26T12:10:00
12250429,3098,TTEWSINGLES-----------RND1001800----------,,Women Singles,OFFICIAL,,,2025-09-26T11:35:00
12250213,3098,TTEWSINGLES-----------RND1001700----------,,Women Singles,OFFICIAL,,,2025-09-26T11:00:00
12250177,3098,TTEWSINGLES-----------RND1002700----------,,Women Singles,OFFICIAL,,,2025-09-25T18:35:00
