,iD,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
0,953471,2536,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2022-03-20T21:03:33.566
1,953051,2536,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2022-03-20T19:09:46.022
2,941173,2536,TTEWDOUBLES-----------FNL-000100----------,,Women Doubles,OFFICIAL,,,2022-03-19T21:13:36.885
3,940122,2536,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2022-03-19T20:26:24.596
4,937725,2536,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2022-03-19T19:08:34.629
5,920346,2536,TTEMDOUBLES-----------FNL-000100----------,,Men Doubles,OFFICIAL,,,2022-03-18T22:15:44.826
6,917982,2536,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2022-03-18T20:34:14.397
7,916087,2536,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2022-03-18T19:08:07.092
8,913006,2536,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2022-03-17T21:19:08.372
9,912667,2536,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2022-03-17T20:43:50.11
10,912477,2536,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2022-03-17T19:46:55.797
11,912218,2536,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2022-03-17T19:07:42.939
12,911312,2536,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2022-03-17T16:23:02.293
13,910885,2536,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2022-03-17T15:49:02.784
14,910507,2536,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2022-03-17T14:59:15.779
15,909977,2536,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2022-03-17T14:07:26.69
16,905871,2536,TTEXDOUBLES-----------FNL-000100----------,,Mixed Doubles,OFFICIAL,,,2022-03-16T20:50:36.382
17,905322,2536,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2022-03-16T20:06:35.489
