id,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
471682,2346,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2021-11-29T18:39:44.27
471476,2346,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2021-11-29T17:07:18.859
470472,2346,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2021-11-28T20:40:15.045
470204,2346,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2021-11-28T19:44:58.886
469931,2346,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2021-11-28T18:42:56.916
469574,2346,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2021-11-28T17:07:20.812
467875,2346,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2021-11-27T22:01:56.297
467657,2346,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2021-11-27T20:39:05.27
467278,2346,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2021-11-27T19:54:16.648
467081,2346,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2021-11-27T18:56:43.053
466817,2346,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2021-11-27T17:58:53.105
466555,2346,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2021-11-27T17:08:30.484
466233,2346,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2021-11-27T16:23:49.929
466007,2346,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2021-11-27T15:06:42.099
463154,2346,TTEMSINGLES-----------8FNL000600----------,,Men Singles,OFFICIAL,,,2021-11-26T21:57:45.302
463150,2346,TTEWSINGLES-----------8FNL000800----------,,Women Singles,OFFICIAL,,,2021-11-26T22:04:12.741
462487,2346,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,2021-11-26T20:54:20.703
462440,2346,TTEWSINGLES-----------8FNL000100----------,,Women Singles,OFFICIAL,,,2021-11-26T20:08:47.993
461865,2346,TTEWSINGLES-----------8FNL000300----------,,Women Singles,OFFICIAL,,,2021-11-26T19:59:16.509
461431,2346,TTEMSINGLES-----------8FNL000800----------,,Men Singles,OFFICIAL,,,2021-11-26T19:13:32.978
461394,2346,TTEMSINGLES-----------8FNL000300----------,,Men Singles,OFFICIAL,,,2021-11-26T18:42:00.109
460937,2346,TTEWSINGLES-----------8FNL000600----------,,Women Singles,OFFICIAL,,,2021-11-26T17:55:28.825
460668,2346,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2021-11-26T17:58:02.259
460200,2346,TTEMSINGLES-----------8FNL000200----------,,Men Singles,OFFICIAL,,,2021-11-26T17:09:16.255
460172,2346,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,2021-11-26T17:04:35.415
459686,2346,TTEMSINGLES-----------8FNL000700----------,,Men Singles,OFFICIAL,,,2021-11-26T14:50:00
459681,2346,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,2021-11-26T16:11:24.584
459628,2346,TTEWSINGLES-----------8FNL000500----------,,Women Singles,OFFICIAL,,,2021-11-26T15:56:04.41
459087,2346,TTEMSINGLES-----------8FNL000500----------,,Men Singles,OFFICIAL,,,2021-11-26T15:05:23.868
458883,2346,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,2021-11-26T15:07:28.023
453193,2346,TTEMSINGLES-----------R32-001300----------,,Men Singles,OFFICIAL,,,2021-11-25T21:59:08.082
453098,2346,TTEMSINGLES-----------R32-000800----------,,Men Singles,OFFICIAL,,,2021-11-25T21:11:00.022
452904,2346,TTEMSINGLES-----------R32-001400----------,,Men Singles,OFFICIAL,,,2021-11-25T20:59:14.224
452725,2346,TTEWSINGLES-----------R32-000100----------,,Women Singles,OFFICIAL,,,2021-11-25T21:15:46.297
452638,2346,TTEMSINGLES-----------R32-001600----------,,Men Singles,OFFICIAL,,,2021-11-25T21:01:24.213
452069,2346,TTEMSINGLES-----------R32-000100----------,,Men Singles,OFFICIAL,,,2021-11-25T20:25:52.951
451974,2346,TTEWSINGLES-----------R32-001200----------,,Women Singles,OFFICIAL,,,2021-11-25T20:30:32.805
451862,2346,TTEWSINGLES-----------R32-000700----------,,Women Singles,OFFICIAL,,,2021-11-25T20:20:41.088
451853,2346,TTEWSINGLES-----------R32-000300----------,,Women Singles,OFFICIAL,,,2021-11-25T20:03:21.449
451167,2346,TTEWSINGLES-----------R32-000800----------,,Women Singles,OFFICIAL,,,2021-11-25T19:39:40.517
451054,2346,TTEWSINGLES-----------R32-000400----------,,Women Singles,OFFICIAL,,,2021-11-25T19:51:55.325
451012,2346,TTEMSINGLES-----------R32-001200----------,,Men Singles,OFFICIAL,,,2021-11-25T19:19:15.966
450670,2346,TTEMSINGLES-----------R32-001000----------,,Men Singles,OFFICIAL,,,2021-11-25T18:55:50.522
450339,2346,TTEMSINGLES-----------R32-000500----------,,Men Singles,OFFICIAL,,,2021-11-25T19:00:05.393
450191,2346,TTEWSINGLES-----------R32-001100----------,,Women Singles,OFFICIAL,,,2021-11-25T18:59:06.156
449765,2346,TTEWSINGLES-----------R32-001000----------,,Women Singles,OFFICIAL,,,2021-11-25T18:34:19.895
449267,2346,TTEWSINGLES-----------R32-001300----------,,Women Singles,OFFICIAL,,,2021-11-25T17:38:47.721
449242,2346,TTEWSINGLES-----------R32-001600----------,,Women Singles,OFFICIAL,,,2021-11-25T18:10:56.781
449236,2346,TTEWSINGLES-----------R32-001400----------,,Women Singles,OFFICIAL,,,2021-11-25T17:44:26.085
448794,2346,TTEMSINGLES-----------R32-000700----------,,Men Singles,OFFICIAL,,,2021-11-25T17:45:27.435
448281,2346,TTEWSINGLES-----------R32-000900----------,,Women Singles,OFFICIAL,,,2021-11-25T17:06:13.271
447717,2346,TTEWSINGLES-----------R32-000600----------,,Women Singles,OFFICIAL,,,2021-11-25T17:01:09.045
447663,2346,TTEMSINGLES-----------R32-000400----------,,Men Singles,OFFICIAL,,,2021-11-25T17:06:14.911
447647,2346,TTEMSINGLES-----------R32-000300----------,,Men Singles,OFFICIAL,,,2021-11-25T17:01:50.75
446858,2346,TTEMSINGLES-----------R32-000900----------,,Men Singles,OFFICIAL,,,2021-11-25T14:10:23.187
446786,2346,TTEMSINGLES-----------R32-000600----------,,Men Singles,OFFICIAL,,,2021-11-25T14:17:19.295
446728,2346,TTEMSINGLES-----------R32-000200----------,,Men Singles,OFFICIAL,,,2021-11-25T14:29:15.341
446473,2346,TTEWSINGLES-----------R32-000500----------,,Women Singles,OFFICIAL,,,2021-11-25T14:21:09.144
445817,2346,TTEWSINGLES-----------R32-000200----------,,Women Singles,OFFICIAL,,,2021-11-25T13:16:09.528
445707,2346,TTEMSINGLES-----------R32-001500----------,,Men Singles,OFFICIAL,,,2021-11-25T13:15:53.912
445691,2346,TTEMSINGLES-----------R32-001100----------,,Men Singles,OFFICIAL,,,2021-11-25T13:14:26.778
445485,2346,TTEWSINGLES-----------R32-001500----------,,Women Singles,OFFICIAL,,,2021-11-25T13:13:24.136
436853,2346,TTEWSINGLES-----------R64-001800----------,,Women Singles,OFFICIAL,,,2021-11-24T21:23:49.644
436763,2346,TTEWSINGLES-----------R64-000300----------,,Women Singles,OFFICIAL,,,2021-11-24T21:37:34.959
436630,2346,TTEMSINGLES-----------R64-002600----------,,Men Singles,OFFICIAL,,,2021-11-25T14:20:00
436540,2346,TTEMSINGLES-----------R64-003100----------,,Men Singles,OFFICIAL,,,2021-11-24T21:16:07.138
436394,2346,TTEMSINGLES-----------R64-001700----------,,Men Singles,OFFICIAL,,,2021-11-24T21:14:48.309
436250,2346,TTEMSINGLES-----------R64-002400----------,,Men Singles,OFFICIAL,,,2021-11-24T20:19:43.005
436204,2346,TTEWSINGLES-----------R64-002500----------,,Women Singles,OFFICIAL,,,2021-11-24T20:39:40.973
436122,2346,TTEMSINGLES-----------R64-000900----------,,Men Singles,OFFICIAL,,,2021-11-25T14:20:00
435802,2346,TTEWSINGLES-----------R64-003100----------,,Women Singles,OFFICIAL,,,2021-11-25T14:20:00
435716,2346,TTEMSINGLES-----------R64-000100----------,,Men Singles,OFFICIAL,,,2021-11-24T20:48:57.527
435656,2346,TTEWSINGLES-----------R64-000200----------,,Women Singles,OFFICIAL,,,2021-11-24T20:09:14.423
435576,2346,TTEWSINGLES-----------R64-002200----------,,Women Singles,OFFICIAL,,,2021-11-25T14:20:00
435557,2346,TTEWSINGLES-----------R64-001700----------,,Women Singles,OFFICIAL,,,2021-11-24T20:37:28.495
435195,2346,TTEWSINGLES-----------R64-002400----------,,Women Singles,OFFICIAL,,,2021-11-25T14:20:00
434728,2346,TTEWSINGLES-----------R64-000400----------,,Women Singles,OFFICIAL,,,2021-11-24T19:57:44.896
434630,2346,TTEMSINGLES-----------R64-002700----------,,Men Singles,OFFICIAL,,,2021-11-24T19:42:33.139
434600,2346,TTEMSINGLES-----------R64-002800----------,,Men Singles,OFFICIAL,,,2021-11-24T19:42:03.424
434447,2346,TTEWSINGLES-----------R64-002600----------,,Women Singles,OFFICIAL,,,2021-11-24T19:30:30.155
434376,2346,TTEMSINGLES-----------R64-002000----------,,Men Singles,OFFICIAL,,,2021-11-25T14:20:00
434360,2346,TTEMSINGLES-----------R64-000800----------,,Men Singles,OFFICIAL,,,2021-11-24T19:20:12.349
433885,2346,TTEWSINGLES-----------R64-002800----------,,Women Singles,OFFICIAL,,,2021-11-24T19:34:51.301
433572,2346,TTEMSINGLES-----------R64-002300----------,,Men Singles,OFFICIAL,,,2021-11-24T19:08:40.231
433052,2346,TTEMSINGLES-----------R64-000300----------,,Men Singles,OFFICIAL,,,2021-11-24T18:58:42.403
432616,2346,TTEWSINGLES-----------R64-001600----------,,Women Singles,OFFICIAL,,,2021-11-24T19:05:49.139
432486,2346,TTEWSINGLES-----------R64-002300----------,,Women Singles,OFFICIAL,,,2021-11-24T19:11:56.581
432351,2346,TTEMSINGLES-----------R64-001600----------,,Men Singles,OFFICIAL,,,2021-11-24T18:47:27.933
432152,2346,TTEMSINGLES-----------R64-002200----------,,Men Singles,OFFICIAL,,,2021-11-24T18:53:54.343
431602,2346,TTEWSINGLES-----------R64-000100----------,,Women Singles,OFFICIAL,,,2021-11-24T18:40:14.015
431480,2346,TTEMSINGLES-----------R64-001900----------,,Men Singles,OFFICIAL,,,2021-11-24T18:16:26.751
431341,2346,TTEWSINGLES-----------R64-001900----------,,Women Singles,OFFICIAL,,,2021-11-24T18:27:11.21
431182,2346,TTEMSINGLES-----------R64-001500----------,,Men Singles,OFFICIAL,,,2021-11-24T17:35:25.131
