iD,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
9409717,2979,TTEXTEAM--------------FNL-00010000--------,,Mixed Team,OFFICIAL,,,2024-12-08T19:00:00
9409239,2979,TTEXTEAM--------------34--00010000--------,,Mixed Team,OFFICIAL,,,2024-12-08T17:00:00
9408707,2979,TTEXTEAM--------------SFNL00020000--------,,Mixed Team,OFFICIAL,,,2024-12-08T12:00:00
9408023,2979,TTEXTEAM--------------SFNL00010000--------,,Mixed Team,OFFICIAL,,,2024-12-08T10:00:00
9407577,2979,TTEXTEAM--------------RND100240000--------,,Mixed Team,OFFICIAL,,,2024-12-07T19:00:00
9407252,2979,TTEXTEAM--------------RND100230000--------,,Mixed Team,OFFICIAL,,,2024-12-07T19:00:00
9406429,2979,TTEXTEAM--------------RND100210000--------,,Mixed Team,OFFICIAL,,,2024-12-07T17:00:00
9406130,2979,TTEXTEAM--------------RND100220000--------,,Mixed Team,OFFICIAL,,,2024-12-07T17:00:00
9404785,2979,TTEXTEAM--------------RND100190000--------,,Mixed Team,OFFICIAL,,,2024-12-07T12:00:00
9404734,2979,TTEXTEAM--------------RND100200000--------,,Mixed Team,OFFICIAL,,,2024-12-07T12:00:00
9403961,2979,TTEXTEAM--------------RND100170000--------,,Mixed Team,OFFICIAL,,,2024-12-07T10:00:00
9403675,2979,TTEXTEAM--------------RND100180000--------,,Mixed Team,OFFICIAL,,,2024-12-07T10:00:00
9402361,2979,TTEXTEAM--------------RND100150000--------,,Mixed Team,OFFICIAL,,,2024-12-06T19:00:00
9402221,2979,TTEXTEAM--------------RND100160000--------,,Mixed Team,OFFICIAL,,,2024-12-06T19:00:00
9401409,2979,TTEXTEAM--------------RND100140000--------,,Mixed Team,OFFICIAL,,,2024-12-06T13:00:00
9401245,2979,TTEXTEAM--------------RND100130000--------,,Mixed Team,OFFICIAL,,,2024-12-06T13:00:00
9400276,2979,TTEXTEAM--------------RND100120000--------,,Mixed Team,OFFICIAL,,,2024-12-05T19:00:00
9400210,2979,TTEXTEAM--------------RND100110000--------,,Mixed Team,OFFICIAL,,,2024-12-05T19:00:00
9399445,2979,TTEXTEAM--------------RND100100000--------,,Mixed Team,OFFICIAL,,,2024-12-05T17:00:00
9399427,2979,TTEXTEAM--------------RND100090000--------,,Mixed Team,OFFICIAL,,,2024-12-05T17:00:00
