id,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
10317418,3133,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2025-03-30T17:00:00
10315936,3133,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2025-03-30T16:00:00
10311899,3133,TTEXDOUBLES-----------FNL-000100----------,,Mixed Doubles,OFFICIAL,,,2025-03-30T13:30:00
10311239,3133,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2025-03-30T13:00:00
10311005,3133,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2025-03-30T12:20:00
10310875,3133,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2025-03-30T11:40:00
10310705,3133,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2025-03-30T11:00:00
10308041,3133,TTEMDOUBLES-----------FNL-000100----------,,Men Doubles,OFFICIAL,,,2025-03-29T19:55:00
10307595,3133,TTEWDOUBLES-----------FNL-000100----------,,Women Doubles,OFFICIAL,,,2025-03-29T19:20:00
10306914,3133,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2025-03-29T18:45:00
10306756,3133,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2025-03-29T18:45:00
10306386,3133,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2025-03-29T18:10:00
10306365,3133,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2025-03-29T18:10:00
10306051,3133,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2025-03-29T17:35:00
10306003,3133,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2025-03-29T17:35:00
10305657,3133,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2025-03-29T17:00:00
10305419,3133,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2025-03-29T17:00:00
10304209,3133,TTEMSINGLES-----------8FNL000600----------,,Men Singles,OFFICIAL,,,2025-03-29T12:45:00
10304094,3133,TTEWSINGLES-----------8FNL000100----------,,Women Singles,OFFICIAL,,,2025-03-29T12:45:00
10304066,3133,TTEMSINGLES-----------8FNL000500----------,,Men Singles,OFFICIAL,,,2025-03-29T12:45:00
10304034,3133,TTEMSINGLES-----------8FNL000300----------,,Men Singles,OFFICIAL,,,2025-03-29T12:45:00
10303534,3133,TTEWSINGLES-----------8FNL000800----------,,Women Singles,OFFICIAL,,,2025-03-29T12:10:00
10303452,3133,TTEMSINGLES-----------8FNL000800----------,,Men Singles,OFFICIAL,,,2025-03-29T12:10:00
10303248,3133,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2025-03-29T12:10:00
10302917,3133,TTEWSINGLES-----------8FNL000600----------,,Women Singles,OFFICIAL,,,2025-03-29T11:35:00
10302816,3133,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,2025-03-29T11:35:00
10302809,3133,TTEWSINGLES-----------8FNL000500----------,,Women Singles,OFFICIAL,,,2025-03-29T12:10:00
10302391,3133,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,2025-03-29T11:35:00
10302321,3133,TTEMSINGLES-----------8FNL000200----------,,Men Singles,OFFICIAL,,,2025-03-29T11:35:00
10301888,3133,TTEMSINGLES-----------8FNL000700----------,,Men Singles,OFFICIAL,,,2025-03-29T11:00:00
10301549,3133,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,2025-03-29T11:00:00
10301532,3133,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,2025-03-29T11:00:00
10301470,3133,TTEWSINGLES-----------8FNL000300----------,,Women Singles,OFFICIAL,,,2025-03-29T11:00:00
10295329,3133,TTEMSINGLES-----------R32-001600----------,,Men Singles,OFFICIAL,,,2025-03-28T19:55:00
10295226,3133,TTEMDOUBLES-----------SFNL000100----------,,Men Doubles,OFFICIAL,,,2025-03-28T19:55:00
10294955,3133,TTEWDOUBLES-----------SFNL000100----------,,Women Doubles,OFFICIAL,,,2025-03-28T19:55:00
10294482,3133,TTEMDOUBLES-----------SFNL000200----------,,Men Doubles,OFFICIAL,,,2025-03-28T19:20:00
10294427,3133,TTEWDOUBLES-----------SFNL000200----------,,Women Doubles,OFFICIAL,,,2025-03-28T19:20:00
10294299,3133,TTEWSINGLES-----------R32-000100----------,,Women Singles,OFFICIAL,,,2025-03-28T19:20:00
10293925,3133,TTEMSINGLES-----------R32-000300----------,,Men Singles,OFFICIAL,,,2025-03-28T18:45:00
10293841,3133,TTEMSINGLES-----------R32-000600----------,,Men Singles,OFFICIAL,,,2025-03-28T18:45:00
10293803,3133,TTEWSINGLES-----------R32-001500----------,,Women Singles,OFFICIAL,,,2025-03-28T18:45:00
10293226,3133,TTEWSINGLES-----------R32-000200----------,,Women Singles,OFFICIAL,,,2025-03-28T18:45:00
10293088,3133,TTEMSINGLES-----------R32-000100----------,,Men Singles,OFFICIAL,,,2025-03-28T18:10:00
10292783,3133,TTEWSINGLES-----------R32-000900----------,,Women Singles,OFFICIAL,,,2025-03-28T18:10:00
10292758,3133,TTEMSINGLES-----------R32-001500----------,,Men Singles,OFFICIAL,,,2025-03-28T18:10:00
10292538,3133,TTEWSINGLES-----------R32-001600----------,,Women Singles,OFFICIAL,,,2025-03-28T18:10:00
10291507,3133,TTEMSINGLES-----------R32-000900----------,,Men Singles,OFFICIAL,,,2025-03-28T17:35:00
10291432,3133,TTEWSINGLES-----------R32-001000----------,,Women Singles,OFFICIAL,,,2025-03-28T17:35:00
10291404,3133,TTEWSINGLES-----------R32-000700----------,,Women Singles,OFFICIAL,,,2025-03-28T17:35:00
10291283,3133,TTEMSINGLES-----------R32-001100----------,,Men Singles,OFFICIAL,,,2025-03-28T17:35:00
10290374,3133,TTEWSINGLES-----------R32-001300----------,,Women Singles,OFFICIAL,,,2025-03-28T17:00:00
10289818,3133,TTEMSINGLES-----------R32-000500----------,,Men Singles,OFFICIAL,,,2025-03-28T17:00:00
10289794,3133,TTEXDOUBLES-----------SFNL000100----------,,Mixed Doubles,OFFICIAL,,,2025-03-28T17:00:00
10289494,3133,TTEXDOUBLES-----------SFNL000200----------,,Mixed Doubles,OFFICIAL,,,2025-03-28T17:00:00
10286630,3133,TTEWSINGLES-----------R32-000800----------,,Women Singles,OFFICIAL,,,2025-03-28T14:30:00
10286125,3133,TTEWDOUBLES-----------QFNL000300----------,,Women Doubles,OFFICIAL,,,2025-03-28T13:55:00
10285916,3133,TTEMDOUBLES-----------QFNL000100----------,,Men Doubles,OFFICIAL,,,2025-03-28T14:30:00
10285824,3133,TTEWDOUBLES-----------QFNL000400----------,,Women Doubles,OFFICIAL,,,2025-03-28T14:30:00
10285458,3133,TTEMDOUBLES-----------QFNL000300----------,,Men Doubles,OFFICIAL,,,2025-03-28T14:30:00
10285390,3133,TTEMDOUBLES-----------QFNL000400----------,,Men Doubles,OFFICIAL,,,2025-03-28T13:20:00
10284836,3133,TTEMSINGLES-----------R32-001200----------,,Men Singles,OFFICIAL,,,2025-03-28T13:55:00
10284822,3133,TTEMDOUBLES-----------QFNL000200----------,,Men Doubles,OFFICIAL,,,2025-03-28T13:55:00
10284663,3133,TTEWDOUBLES-----------QFNL000100----------,,Women Doubles,OFFICIAL,,,2025-03-28T13:55:00
10284102,3133,TTEWDOUBLES-----------QFNL000200----------,,Women Doubles,OFFICIAL,,,2025-03-28T13:20:00
10284043,3133,TTEWSINGLES-----------R32-001200----------,,Women Singles,OFFICIAL,,,2025-03-28T13:20:00
10283979,3133,TTEMSINGLES-----------R32-000800----------,,Men Singles,OFFICIAL,,,2025-03-28T13:20:00
10283961,3133,TTEWSINGLES-----------R32-000600----------,,Women Singles,OFFICIAL,,,2025-03-28T12:45:00
10283611,3133,TTEMSINGLES-----------R32-000200----------,,Men Singles,OFFICIAL,,,2025-03-28T12:45:00
10283377,3133,TTEWSINGLES-----------R32-000500----------,,Women Singles,OFFICIAL,,,2025-03-28T12:45:00
10283206,3133,TTEMSINGLES-----------R32-000700----------,,Men Singles,OFFICIAL,,,2025-03-28T12:45:00
10282888,3133,TTEWSINGLES-----------R32-000300----------,,Women Singles,OFFICIAL,,,2025-03-28T12:10:00
10282685,3133,TTEWSINGLES-----------R32-001400----------,,Women Singles,OFFICIAL,,,2025-03-28T12:10:00
10282538,3133,TTEMSINGLES-----------R32-001300----------,,Men Singles,OFFICIAL,,,2025-03-28T12:10:00
10282431,3133,TTEMSINGLES-----------R32-000400----------,,Men Singles,OFFICIAL,,,2025-03-28T12:10:00
10282111,3133,TTEWSINGLES-----------R32-001100----------,,Women Singles,OFFICIAL,,,2025-03-28T11:35:00
10281817,3133,TTEMSINGLES-----------R32-001000----------,,Men Singles,OFFICIAL,,,2025-03-28T11:35:00
10281580,3133,TTEMSINGLES-----------R32-001400----------,,Men Singles,OFFICIAL,,,2025-03-28T11:35:00
10281536,3133,TTEWSINGLES-----------R32-000400----------,,Women Singles,OFFICIAL,,,2025-03-28T11:35:00
10281125,3133,TTEXDOUBLES-----------QFNL000300----------,,Mixed Doubles,OFFICIAL,,,2025-03-28T11:00:00
10281101,3133,TTEXDOUBLES-----------QFNL000400----------,,Mixed Doubles,OFFICIAL,,,2025-03-28T11:00:00
10281100,3133,TTEXDOUBLES-----------QFNL000200----------,,Mixed Doubles,OFFICIAL,,,2025-03-28T11:00:00
10280705,3133,TTEXDOUBLES-----------QFNL000100----------,,Mixed Doubles,OFFICIAL,,,2025-03-28T11:00:00
10272956,3133,TTEMSINGLES-----------R64-001800----------,,Men Singles,OFFICIAL,,,2025-03-27T20:30:00
10272625,3133,TTEWSINGLES-----------R64-001400----------,,Women Singles,OFFICIAL,,,2025-03-27T20:30:00
10272313,3133,TTEWSINGLES-----------R64-001900----------,,Women Singles,OFFICIAL,,,2025-03-27T20:30:00
10271994,3133,TTEMSINGLES-----------R64-001900----------,,Men Singles,OFFICIAL,,,2025-03-27T20:30:00
10271705,3133,TTEMSINGLES-----------R64-000700----------,,Men Singles,OFFICIAL,,,2025-03-27T19:55:00
10271049,3133,TTEWSINGLES-----------R64-003100----------,,Women Singles,OFFICIAL,,,2025-03-27T19:55:00
10270869,3133,TTEWSINGLES-----------R64-001500----------,,Women Singles,OFFICIAL,,,2025-03-27T19:55:00
10270472,3133,TTEMSINGLES-----------R64-002200----------,,Men Singles,OFFICIAL,,,2025-03-27T19:55:00
10269702,3133,TTEWDOUBLES-----------8FNL000500----------,,Women Doubles,OFFICIAL,,,2025-03-27T19:20:00
10268909,3133,TTEMSINGLES-----------R64-000600----------,,Men Singles,OFFICIAL,,,2025-03-27T19:20:00
10268901,3133,TTEWDOUBLES-----------8FNL000800----------,,Women Doubles,OFFICIAL,,,2025-03-27T19:20:00
10268847,3133,TTEMDOUBLES-----------8FNL000300----------,,Men Doubles,OFFICIAL,,,2025-03-27T19:20:00
10268740,3133,TTEMDOUBLES-----------8FNL000800----------,,Men Doubles,OFFICIAL,,,2025-03-27T18:45:00
10268156,3133,TTEWSINGLES-----------R64-002300----------,,Women Singles,OFFICIAL,,,2025-03-27T18:45:00
10267941,3133,TTEMDOUBLES-----------8FNL000600----------,,Men Doubles,OFFICIAL,,,2025-03-27T18:45:00
10267489,3133,TTEMSINGLES-----------R64-003100----------,,Men Singles,OFFICIAL,,,2025-03-27T18:10:00
10266413,3133,TTEWSINGLES-----------R64-001000----------,,Women Singles,OFFICIAL,,,2025-03-27T18:45:00
10266173,3133,TTEMDOUBLES-----------8FNL000700----------,,Men Doubles,OFFICIAL,,,2025-03-27T18:10:00
10265855,3133,TTEWDOUBLES-----------8FNL000700----------,,Women Doubles,OFFICIAL,,,2025-03-27T18:10:00
10264992,3133,TTEMSINGLES-----------R64-000200----------,,Men Singles,OFFICIAL,,,2025-03-27T18:10:00
10264509,3133,TTEWDOUBLES-----------8FNL000100----------,,Women Doubles,OFFICIAL,,,2025-03-27T17:35:00
10263639,3133,TTEMSINGLES-----------R64-001400----------,,Men Singles,OFFICIAL,,,2025-03-27T17:35:00
10263565,3133,TTEWSINGLES-----------R64-002700----------,,Women Singles,OFFICIAL,,,2025-03-27T17:35:00
10263279,3133,TTEWSINGLES-----------R64-000200----------,,Women Singles,OFFICIAL,,,2025-03-27T17:35:00
10263167,3133,TTEXDOUBLES-----------8FNL000700----------,,Mixed Doubles,OFFICIAL,,,2025-03-27T17:00:00
10262099,3133,TTEXDOUBLES-----------8FNL000300----------,,Mixed Doubles,OFFICIAL,,,2025-03-27T17:00:00
