id,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
471682,2346,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2021-11-29T18:39:44.27
471476,2346,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2021-11-29T17:07:18.859
471082,2346,TTEMDOUBLES-----------FNL-000100----------,,Men Doubles,OFFICIAL,,,2021-11-29T12:59:37.377
470800,2346,TTEWDOUBLES-----------FNL-000100----------,,Women Doubles,OFFICIAL,,,2021-11-29T12:08:20.813
470622,2346,TTEXDOUBLES-----------FNL-000100----------,,Mixed Doubles,OFFICIAL,,,2021-11-28T21:41:00.212
470472,2346,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2021-11-28T20:40:15.045
470204,2346,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2021-11-28T19:44:58.886
469931,2346,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2021-11-28T18:42:56.916
469574,2346,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2021-11-28T17:07:20.812
469155,2346,TTEMDOUBLES-----------SFNL000100----------,,Men Doubles,OFFICIAL,,,2021-11-28T15:31:39.069
468968,2346,TTEWDOUBLES-----------SFNL000100----------,,Women Doubles,OFFICIAL,,,2021-11-28T14:30:06.294
468714,2346,TTEMDOUBLES-----------SFNL000200----------,,Men Doubles,OFFICIAL,,,2021-11-28T13:38:35.555
468497,2346,TTEWDOUBLES-----------SFNL000200----------,,Women Doubles,OFFICIAL,,,2021-11-28T13:06:30.611
468332,2346,TTEXDOUBLES-----------SFNL000200----------,,Mixed Doubles,OFFICIAL,,,2021-11-28T10:58:03.692
468096,2346,TTEXDOUBLES-----------SFNL000100----------,,Mixed Doubles,OFFICIAL,,,2021-11-28T10:07:12.226
467875,2346,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2021-11-27T22:01:56.297
467657,2346,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2021-11-27T20:39:05.27
467278,2346,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2021-11-27T19:54:16.648
467081,2346,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2021-11-27T18:56:43.053
466817,2346,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2021-11-27T17:58:53.105
466555,2346,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2021-11-27T17:08:30.484
466233,2346,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2021-11-27T16:23:49.929
466007,2346,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2021-11-27T15:06:42.099
465702,2346,TTEMDOUBLES-----------QFNL000300----------,,Men Doubles,OFFICIAL,,,2021-11-27T14:14:55.606
465571,2346,TTEWDOUBLES-----------QFNL000300----------,,Women Doubles,OFFICIAL,,,2021-11-27T14:07:30.894
465347,2346,TTEMDOUBLES-----------QFNL000200----------,,Men Doubles,OFFICIAL,,,2021-11-27T13:17:31.416
465317,2346,TTEWDOUBLES-----------QFNL000200----------,,Women Doubles,OFFICIAL,,,2021-11-27T13:40:49.302
465006,2346,TTEMDOUBLES-----------QFNL000400----------,,Men Doubles,OFFICIAL,,,2021-11-27T12:49:31.038
464784,2346,TTEWDOUBLES-----------QFNL000100----------,,Women Doubles,OFFICIAL,,,2021-11-27T12:47:34.489
464541,2346,TTEWDOUBLES-----------QFNL000400----------,,Women Doubles,OFFICIAL,,,2021-11-27T11:48:46.617
464520,2346,TTEMDOUBLES-----------QFNL000100----------,,Men Doubles,OFFICIAL,,,2021-11-27T11:46:38.652
463994,2346,TTEXDOUBLES-----------QFNL000300----------,,Mixed Doubles,OFFICIAL,,,2021-11-27T10:56:47.837
463949,2346,TTEXDOUBLES-----------QFNL000100----------,,Mixed Doubles,OFFICIAL,,,2021-11-27T10:45:00.894
463609,2346,TTEXDOUBLES-----------QFNL000400----------,,Mixed Doubles,OFFICIAL,,,2021-11-27T10:07:03.532
463525,2346,TTEXDOUBLES-----------QFNL000200----------,,Mixed Doubles,OFFICIAL,,,2021-11-27T10:06:00.247
463154,2346,TTEMSINGLES-----------8FNL000600----------,,Men Singles,OFFICIAL,,,2021-11-26T21:57:45.302
463150,2346,TTEWSINGLES-----------8FNL000800----------,,Women Singles,OFFICIAL,,,2021-11-26T22:04:12.741
462487,2346,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,2021-11-26T20:54:20.703
462440,2346,TTEWSINGLES-----------8FNL000100----------,,Women Singles,OFFICIAL,,,2021-11-26T20:08:47.993
461865,2346,TTEWSINGLES-----------8FNL000300----------,,Women Singles,OFFICIAL,,,2021-11-26T19:59:16.509
461431,2346,TTEMSINGLES-----------8FNL000800----------,,Men Singles,OFFICIAL,,,2021-11-26T19:13:32.978
461394,2346,TTEMSINGLES-----------8FNL000300----------,,Men Singles,OFFICIAL,,,2021-11-26T18:42:00.109
460937,2346,TTEWSINGLES-----------8FNL000600----------,,Women Singles,OFFICIAL,,,2021-11-26T17:55:28.825
460668,2346,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2021-11-26T17:58:02.259
460200,2346,TTEMSINGLES-----------8FNL000200----------,,Men Singles,OFFICIAL,,,2021-11-26T17:09:16.255
460172,2346,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,2021-11-26T17:04:35.415
459686,2346,TTEMSINGLES-----------8FNL000700----------,,Men Singles,OFFICIAL,,,2021-11-26T14:50:00
459681,2346,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,2021-11-26T16:11:24.584
459628,2346,TTEWSINGLES-----------8FNL000500----------,,Women Singles,OFFICIAL,,,2021-11-26T15:56:04.41
459087,2346,TTEMSINGLES-----------8FNL000500----------,,Men Singles,OFFICIAL,,,2021-11-26T15:05:23.868
458883,2346,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,2021-11-26T15:07:28.023
458440,2346,TTEXDOUBLES-----------8FNL000600----------,,Mixed Doubles,OFFICIAL,,,2021-11-26T13:57:25.947
458322,2346,TTEXDOUBLES-----------8FNL000400----------,,Mixed Doubles,OFFICIAL,,,2021-11-26T13:57:14.838
458229,2346,TTEXDOUBLES-----------8FNL000800----------,,Mixed Doubles,OFFICIAL,,,2021-11-26T13:59:46.108
457873,2346,TTEXDOUBLES-----------8FNL000100----------,,Mixed Doubles,OFFICIAL,,,2021-11-26T13:37:42.166
457711,2346,TTEXDOUBLES-----------8FNL000200----------,,Mixed Doubles,OFFICIAL,,,2021-11-26T13:04:08.271
457636,2346,TTEXDOUBLES-----------8FNL000500----------,,Mixed Doubles,OFFICIAL,,,2021-11-26T13:12:53.948
457621,2346,TTEXDOUBLES-----------8FNL000700----------,,Mixed Doubles,OFFICIAL,,,2021-11-26T13:13:29.1
457258,2346,TTEXDOUBLES-----------8FNL000300----------,,Mixed Doubles,OFFICIAL,,,2021-11-26T13:02:25.721
456658,2346,TTEWDOUBLES-----------8FNL000800----------,,Women Doubles,OFFICIAL,,,2021-11-26T12:39:11.296
456640,2346,TTEMDOUBLES-----------8FNL000300----------,,Men Doubles,OFFICIAL,,,2021-11-26T12:18:21.631
456281,2346,TTEMDOUBLES-----------8FNL000800----------,,Men Doubles,OFFICIAL,,,2021-11-26T11:38:09.719
456220,2346,TTEWDOUBLES-----------8FNL000200----------,,Women Doubles,OFFICIAL,,,2021-11-26T11:54:49.448
456017,2346,TTEMDOUBLES-----------8FNL000700----------,,Men Doubles,OFFICIAL,,,2021-11-26T11:46:53.683
455900,2346,TTEWDOUBLES-----------8FNL000700----------,,Women Doubles,OFFICIAL,,,2021-11-26T11:25:57.661
455442,2346,TTEWDOUBLES-----------8FNL000100----------,,Women Doubles,OFFICIAL,,,2021-11-26T11:22:25.879
455328,2346,TTEWDOUBLES-----------8FNL000400----------,,Women Doubles,OFFICIAL,,,2021-11-26T10:53:45.135
455292,2346,TTEMDOUBLES-----------8FNL000600----------,,Men Doubles,OFFICIAL,,,2021-11-26T11:22:22.316
454865,2346,TTEMDOUBLES-----------8FNL000500----------,,Men Doubles,OFFICIAL,,,2021-11-26T10:33:03.587
454858,2346,TTEWDOUBLES-----------8FNL000500----------,,Women Doubles,OFFICIAL,,,2021-11-26T10:40:20.768
454833,2346,TTEMDOUBLES-----------8FNL000400----------,,Men Doubles,OFFICIAL,,,2021-11-26T10:43:47.946
454501,2346,TTEMDOUBLES-----------8FNL000200----------,,Men Doubles,OFFICIAL,,,2021-11-26T10:06:12.68
454040,2346,TTEWDOUBLES-----------8FNL000300----------,,Women Doubles,OFFICIAL,,,2021-11-26T10:02:29.56
453987,2346,TTEMDOUBLES-----------8FNL000100----------,,Men Doubles,OFFICIAL,,,2021-11-26T10:06:28.755
453888,2346,TTEWDOUBLES-----------8FNL000600----------,,Women Doubles,OFFICIAL,,,2021-11-26T10:01:42.932
453193,2346,TTEMSINGLES-----------R32-001300----------,,Men Singles,OFFICIAL,,,2021-11-25T21:59:08.082
453098,2346,TTEMSINGLES-----------R32-000800----------,,Men Singles,OFFICIAL,,,2021-11-25T21:11:00.022
452904,2346,TTEMSINGLES-----------R32-001400----------,,Men Singles,OFFICIAL,,,2021-11-25T20:59:14.224
452725,2346,TTEWSINGLES-----------R32-000100----------,,Women Singles,OFFICIAL,,,2021-11-25T21:15:46.297
452638,2346,TTEMSINGLES-----------R32-001600----------,,Men Singles,OFFICIAL,,,2021-11-25T21:01:24.213
452069,2346,TTEMSINGLES-----------R32-000100----------,,Men Singles,OFFICIAL,,,2021-11-25T20:25:52.951
451974,2346,TTEWSINGLES-----------R32-001200----------,,Women Singles,OFFICIAL,,,2021-11-25T20:30:32.805
451862,2346,TTEWSINGLES-----------R32-000700----------,,Women Singles,OFFICIAL,,,2021-11-25T20:20:41.088
451853,2346,TTEWSINGLES-----------R32-000300----------,,Women Singles,OFFICIAL,,,2021-11-25T20:03:21.449
451167,2346,TTEWSINGLES-----------R32-000800----------,,Women Singles,OFFICIAL,,,2021-11-25T19:39:40.517
451054,2346,TTEWSINGLES-----------R32-000400----------,,Women Singles,OFFICIAL,,,2021-11-25T19:51:55.325
451012,2346,TTEMSINGLES-----------R32-001200----------,,Men Singles,OFFICIAL,,,2021-11-25T19:19:15.966
450670,2346,TTEMSINGLES-----------R32-001000----------,,Men Singles,OFFICIAL,,,2021-11-25T18:55:50.522
450339,2346,TTEMSINGLES-----------R32-000500----------,,Men Singles,OFFICIAL,,,2021-11-25T19:00:05.393
450191,2346,TTEWSINGLES-----------R32-001100----------,,Women Singles,OFFICIAL,,,2021-11-25T18:59:06.156
