iD,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
2944760,2703,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2023-02-24T17:45:00
2944597,2703,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2023-02-24T17:10:00
2944463,2703,TTEMDOUBLES-----------FNL-000100----------,,Men Doubles,OFFICIAL,,,2023-02-24T16:35:00
2944205,2703,TTEWDOUBLES-----------FNL-000100----------,,Women Doubles,OFFICIAL,,,2023-02-24T16:00:00
2944061,2703,TTEXDOUBLES-----------FNL-000100----------,,Mixed Doubles,OFFICIAL,,,2023-02-24T12:20:00
2943898,2703,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2023-02-24T11:45:00
2943605,2703,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2023-02-24T11:10:00
2943360,2703,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2023-02-24T10:35:00
2943133,2703,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2023-02-24T10:00:00
2942909,2703,TTEWDOUBLES-----------8FNL000800----------,,Women Doubles,OFFICIAL,,,2023-02-22T19:00:00
2942907,2703,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2023-02-23T18:20:00
2942897,2703,TTEWDOUBLES-----------RND1000100----------,,Women Doubles,OFFICIAL,,,2023-02-21T12:30:00
2942882,2703,TTEWDOUBLES-----------RND1000400----------,,Women Doubles,OFFICIAL,,,2023-02-21T12:30:00
2942805,2703,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2023-02-23T18:20:00
2942771,2703,TTEWDOUBLES-----------8FNL000500----------,,Women Doubles,OFFICIAL,,,2023-02-22T19:00:00
2942577,2703,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2023-02-23T18:20:00
2942449,2703,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2023-02-23T18:20:00
2942118,2703,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2023-02-23T17:45:00
2941746,2703,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2023-02-23T17:45:00
2941315,2703,TTEXDOUBLES-----------SFNL000200----------,,Mixed Doubles,OFFICIAL,,,2023-02-23T17:10:00
2941293,2703,TTEXDOUBLES-----------SFNL000100----------,,Mixed Doubles,OFFICIAL,,,2023-02-23T17:10:00
2940946,2703,TTEMDOUBLES-----------SFNL000100----------,,Men Doubles,OFFICIAL,,,2023-02-23T16:35:00
2940910,2703,TTEMDOUBLES-----------SFNL000200----------,,Men Doubles,OFFICIAL,,,2023-02-23T16:35:00
2940592,2703,TTEWDOUBLES-----------SFNL000200----------,,Women Doubles,OFFICIAL,,,2023-02-23T16:00:00
2940578,2703,TTEWDOUBLES-----------SFNL000100----------,,Women Doubles,OFFICIAL,,,2023-02-23T16:00:00
2940256,2703,TTEMSINGLES-----------8FNL000600----------,,Men Singles,OFFICIAL,,,2023-02-23T13:45:00
2940234,2703,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,2023-02-23T13:10:00
2940227,2703,TTEMSINGLES-----------8FNL000800----------,,Men Singles,OFFICIAL,,,2023-02-23T13:45:00
2940196,2703,TTEMSINGLES-----------8FNL000700----------,,Men Singles,OFFICIAL,,,2023-02-23T13:45:00
2940061,2703,TTEMSINGLES-----------R64-001900----------,,Men Singles,OFFICIAL,,,2023-02-22T13:30:00
2939889,2703,TTEMSINGLES-----------8FNL000200----------,,Men Singles,OFFICIAL,,,2023-02-23T13:10:00
2939757,2703,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,2023-02-23T13:10:00
2939707,2703,TTEMSINGLES-----------8FNL000500----------,,Men Singles,OFFICIAL,,,2023-02-23T13:45:00
2939615,2703,TTEMSINGLES-----------8FNL000300----------,,Men Singles,OFFICIAL,,,2023-02-23T13:10:00
2938979,2703,TTEWSINGLES-----------8FNL000500----------,,Women Singles,OFFICIAL,,,2023-02-23T12:35:00
2938909,2703,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,2023-02-23T12:35:00
2938644,2703,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,2023-02-23T12:35:00
2938542,2703,TTEWSINGLES-----------8FNL000100----------,,Women Singles,OFFICIAL,,,2023-02-23T12:35:00
2938286,2703,TTEWSINGLES-----------8FNL000400----------,,Women Singles,OFFICIAL,,,2023-02-23T12:00:00
