id,eventId,documentCode,messagePayload,subEventType,fullResults,extended_info,match_card,startDateLocal
6517421,2904,TTEMSINGLES-----------FNL-000100----------,,Men Singles,OFFICIAL,,,2024-03-17T20:00:00
6517148,2904,TTEWSINGLES-----------FNL-000100----------,,Women Singles,OFFICIAL,,,2024-03-17T19:00:00
6514495,2904,TTEWDOUBLES-----------FNL-000100----------,,Women Doubles,OFFICIAL,,,2024-03-16T20:30:00
6514356,2904,TTEMSINGLES-----------SFNL000200----------,,Men Singles,OFFICIAL,,,2024-03-16T19:45:00
6514111,2904,TTEMSINGLES-----------SFNL000100----------,,Men Singles,OFFICIAL,,,2024-03-16T19:00:00
6511060,2904,TTEWSINGLES-----------SFNL000100----------,,Women Singles,OFFICIAL,,,2024-03-16T16:30:00
6510775,2904,TTEWSINGLES-----------SFNL000200----------,,Women Singles,OFFICIAL,,,2024-03-16T15:45:00
6509693,2904,TTEMDOUBLES-----------FNL-000100----------,,Men Doubles,OFFICIAL,,,2024-03-16T15:00:00
6504648,2904,TTEMSINGLES-----------QFNL000400----------,,Men Singles,OFFICIAL,,,2024-03-15T21:50:00
6504364,2904,TTEWSINGLES-----------QFNL000400----------,,Women Singles,OFFICIAL,,,2024-03-15T21:05:00
6504114,2904,TTEMSINGLES-----------QFNL000100----------,,Men Singles,OFFICIAL,,,2024-03-15T20:20:00
6503719,2904,TTEWSINGLES-----------QFNL000300----------,,Women Singles,OFFICIAL,,,2024-03-15T19:35:00
6502558,2904,TTEXDOUBLES-----------FNL-000100----------,,Mixed Doubles,OFFICIAL,,,2024-03-15T19:00:00
6499606,2904,TTEWDOUBLES-----------SFNL000200----------,,Women Doubles,OFFICIAL,,,2024-03-15T16:00:00
6498647,2904,TTEMSINGLES-----------QFNL000300----------,,Men Singles,OFFICIAL,,,2024-03-15T15:15:00
6497183,2904,TTEWSINGLES-----------QFNL000100----------,,Women Singles,OFFICIAL,,,2024-03-15T14:30:00
6494267,2904,TTEMSINGLES-----------QFNL000200----------,,Men Singles,OFFICIAL,,,2024-03-15T13:45:00
6492774,2904,TTEWSINGLES-----------QFNL000200----------,,Women Singles,OFFICIAL,,,2024-03-15T13:00:00
6492631,2904,TTEMDOUBLES-----------SFNL000100----------,,Men Doubles,OFFICIAL,,,2024-03-15T13:00:00
6492430,2904,TTEWDOUBLES-----------SFNL000100----------,,Women Doubles,OFFICIAL,,,2024-03-15T13:00:00
6491086,2904,TTEMDOUBLES-----------SFNL000200----------,,Men Doubles,OFFICIAL,,,2024-03-15T16:35:00
6486326,2904,TTEXDOUBLES-----------SFNL000100----------,,Mixed Doubles,OFFICIAL,,,2024-03-14T21:55:00
6486136,2904,TTEWSINGLES-----------8FNL000200----------,,Women Singles,OFFICIAL,,,2024-03-14T21:20:00
6486025,2904,TTEMSINGLES-----------8FNL000500----------,,Men Singles,OFFICIAL,,,2024-03-14T21:20:00
6485896,2904,TTEMSINGLES-----------8FNL000300----------,,Men Singles,OFFICIAL,,,2024-03-14T20:45:00
6485734,2904,TTEWSINGLES-----------8FNL000600----------,,Women Singles,OFFICIAL,,,2024-03-14T20:45:00
6485320,2904,TTEWSINGLES-----------8FNL000700----------,,Women Singles,OFFICIAL,,,2024-03-14T20:10:00
6485282,2904,TTEMSINGLES-----------8FNL000100----------,,Men Singles,OFFICIAL,,,2024-03-14T20:10:00
6484460,2904,TTEWDOUBLES-----------QFNL000200----------,,Women Doubles,OFFICIAL,,,2024-03-14T19:35:00
6484367,2904,TTEMSINGLES-----------8FNL000400----------,,Men Singles,OFFICIAL,,,2024-03-14T19:35:00
